hallmark	median_r	n_lineages	n_pos_fdr10	n_neg_fdr10
Allograft Rejection	0.7597929324891397	32	32	0
IL-6/JAK/STAT3 Signaling	0.7501036582512883	32	32	0
Complement	0.7379031669739484	32	32	0
Inflammatory Response	0.7296269099257253	32	32	0
Interferon Gamma Response	0.7217192268998405	32	32	0
IL-2/STAT5 Signaling	0.6836058129438168	32	32	0
KRAS Signaling Up	0.620517074756296	32	32	0
Apoptosis	0.603761825336026	32	32	0
Interferon Alpha Response	0.6020869361599006	32	31	0
TNF-alpha Signaling via NF-kB	0.566828275800471	32	32	0
PI3K/AKT/mTOR  Signaling	0.5528230878887237	32	30	0
Epithelial Mesenchymal Transition	0.452873632278255	32	29	0
Angiogenesis	0.4305713026120156	32	30	0
Coagulation	0.4294735963112437	32	30	0
Hypoxia	0.3956777520768978	32	29	0
Apical Junction	0.3842697653260933	32	29	0
Apical Surface	0.3762659940111469	32	29	1
UV Response Dn	0.3704852824589562	32	27	0
TGF-beta Signaling	0.3656924591169648	32	27	0
Androgen Response	0.3525546553472511	32	28	1
UV Response Up	0.3465027814746801	32	30	0
p53 Pathway	0.3109571350261411	32	26	1
Mitotic Spindle	0.3008447153135064	32	23	3
heme Metabolism	0.2804505288244531	32	27	3
mTORC1 Signaling	0.2803140341675685	32	23	2
Hedgehog Signaling	0.2693751975463925	32	22	1
Xenobiotic Metabolism	0.2520201957782707	32	22	2
Notch Signaling	0.240532889883319	32	22	2
Glycolysis	0.2144356874574847	32	20	4
Reactive Oxygen Species Pathway	0.2093387470780001	32	22	0
Unfolded Protein Response	0.2055998774342544	32	19	3
Myogenesis	0.2035600353692488	32	21	2
Protein Secretion	0.1889323134582123	32	19	1
Wnt-beta Catenin Signaling	0.1859613736200602	32	20	3
KRAS Signaling Dn	0.162313547807027	32	18	2
G2-M Checkpoint	0.1597637592155852	32	20	3
Estrogen Response Early	0.1564271851023785	32	20	3
Estrogen Response Late	0.1427200713712552	32	18	2
E2F Targets	0.1351951592523499	32	18	2
Bile Acid Metabolism	0.1295123433176652	32	17	8
Spermatogenesis	0.1196689568919258	32	18	3
Pancreas Beta Cells	0.0755316603747409	32	14	5
Pperoxisome	0.0610428987385699	32	14	10
Cholesterol Homeostasis	0.0558100991425384	32	13	5
Adipogenesis	0.0443099964597154	32	12	6
Myc Targets V1	0.0349500936966029	32	12	8
Myc Targets V2	-0.0379057635714619	32	10	7
Fatty Acid Metabolism	-0.0531783869693174	32	7	12
DNA Repair	-0.054284847731699	32	6	8
Oxidative Phosphorylation	-0.1509413973733615	32	1	17
