mode	target	metric	value	p	n
UNI_cell_stage	infercnv_aneuploidy_high	AUROC	0.46717818726855936		3200
UNI_cell_stage	infercnv_aneuploidy_high	average_precision	0.3151436675604523		3200
UNI_cell_stage	infercnv_aneuploidy_high	balanced_accuracy@0.5	0.5025039675542232		3200
UNI_cell_stage	infercnv_aneuploidy_score	spearman	0.41854463328072583	6.105910471293475e-136	3200
UNI_cell_stage	infercnv_bin_sd	spearman	0.7395985844334553	0.0	3200
UNI_cell_stage	infercnv_t00_high	AUROC	0.5011108652052999		3200
UNI_cell_stage	infercnv_t00_high	average_precision	0.359169570181918		3200
UNI_cell_stage	infercnv_t00_high	balanced_accuracy@0.5	0.4879344598106983		3200
UNI_cell_stage	infercnv_t00_signature	spearman	-0.022078577961775186	0.21180511640291957	3200
UNI_image_only	infercnv_aneuploidy_high	AUROC	0.46547213895256573		3200
UNI_image_only	infercnv_aneuploidy_high	average_precision	0.31543481913900584		3200
UNI_image_only	infercnv_aneuploidy_high	balanced_accuracy@0.5	0.4863956974078646		3200
UNI_image_only	infercnv_aneuploidy_score	spearman	0.4653116356505503	1.0873589660036703e-171	3200
UNI_image_only	infercnv_bin_sd	spearman	0.7402684699969208	0.0	3200
UNI_image_only	infercnv_t00_high	AUROC	0.5057408999123317		3200
UNI_image_only	infercnv_t00_high	average_precision	0.363001717158136		3200
UNI_image_only	infercnv_t00_high	balanced_accuracy@0.5	0.49363804494586355		3200
UNI_image_only	infercnv_t00_signature	spearman	0.08621990771190503	1.0367759492027192e-06	3200
UNI_plus_cell_morph	infercnv_aneuploidy_high	AUROC	0.46623170516663726		3200
UNI_plus_cell_morph	infercnv_aneuploidy_high	average_precision	0.31335856616607605		3200
UNI_plus_cell_morph	infercnv_aneuploidy_high	balanced_accuracy@0.5	0.4908393581378946		3200
UNI_plus_cell_morph	infercnv_aneuploidy_score	spearman	0.4470086953865912	4.994924492595507e-157	3200
UNI_plus_cell_morph	infercnv_bin_sd	spearman	0.7388197661200943	0.0	3200
UNI_plus_cell_morph	infercnv_t00_high	AUROC	0.5068594854163557		3200
UNI_plus_cell_morph	infercnv_t00_high	average_precision	0.36501949224204555		3200
UNI_plus_cell_morph	infercnv_t00_high	balanced_accuracy@0.5	0.4961694451163964		3200
UNI_plus_cell_morph	infercnv_t00_signature	spearman	0.07503392395350819	2.1483064244585574e-05	3200
UNI_plus_stage_text	infercnv_aneuploidy_high	AUROC	0.46598351260800563		3200
UNI_plus_stage_text	infercnv_aneuploidy_high	average_precision	0.31671843839383373		3200
UNI_plus_stage_text	infercnv_aneuploidy_high	balanced_accuracy@0.5	0.49946658437665314		3200
UNI_plus_stage_text	infercnv_aneuploidy_score	spearman	0.4345949322114191	1.3934613968688568e-147	3200
UNI_plus_stage_text	infercnv_bin_sd	spearman	0.7421532308010966	0.0	3200
UNI_plus_stage_text	infercnv_t00_high	AUROC	0.49912631952772357		3200
UNI_plus_stage_text	infercnv_t00_high	average_precision	0.3570668800222199		3200
UNI_plus_stage_text	infercnv_t00_high	balanced_accuracy@0.5	0.4878362404547084		3200
UNI_plus_stage_text	infercnv_t00_signature	spearman	-0.013201029243264573	0.45536316576421026	3200
cell_morph_only	infercnv_aneuploidy_high	AUROC	0.47501587021689295		3200
cell_morph_only	infercnv_aneuploidy_high	average_precision	0.3144366902542064		3200
cell_morph_only	infercnv_aneuploidy_high	balanced_accuracy@0.5	0.47604038088520545		3200
cell_morph_only	infercnv_aneuploidy_score	spearman	-0.22890173993590307	2.59287625247948e-39	3200
cell_morph_only	infercnv_bin_sd	spearman	-0.09784599996880981	2.920196204539029e-08	3200
cell_morph_only	infercnv_t00_high	AUROC	0.545891600143426		3200
cell_morph_only	infercnv_t00_high	average_precision	0.3583202007374696		3200
cell_morph_only	infercnv_t00_high	balanced_accuracy@0.5	0.5414953189255403		3200
cell_morph_only	infercnv_t00_signature	spearman	-0.18776610974479727	8.852326839647191e-27	3200
stage_text_only	infercnv_aneuploidy_high	AUROC	0.48298360077587726		3200
stage_text_only	infercnv_aneuploidy_high	average_precision	0.33028903257382025		3200
stage_text_only	infercnv_aneuploidy_high	balanced_accuracy@0.5	0.5298007406101217		3200
stage_text_only	infercnv_aneuploidy_score	spearman	0.3926833053395265	1.8011853967217886e-118	3200
stage_text_only	infercnv_bin_sd	spearman	0.5923432375193617	1.969942964950023e-302	3200
stage_text_only	infercnv_t00_high	AUROC	0.4915076714034988		3200
stage_text_only	infercnv_t00_high	average_precision	0.33743496625181124		3200
stage_text_only	infercnv_t00_high	balanced_accuracy@0.5	0.564507384894635		3200
stage_text_only	infercnv_t00_signature	spearman	-0.2790577152909341	2.525887979333958e-58	3200
