scope	condition	n	territory_ARI	signature_spearman	signature_spearman_p	infercnv_signature_to_arm_high_AUROC	high_jaccard	arm_high_rate	infercnv_high_rate
pooled_all	mixed	57997	0.6803369051100864	0.9999999999999998	0.0	0.6399657354269	0.8014294592914853	0.3484145731675776	0.3512595479076504
pooled_cancer	mixed	43180	0.7058445025500444	1.0	0.0	0.6482086187295881	0.8013223777121582	0.33198239925891615	0.3178786475220009
GSM7980860_N-1	N	3401	0.6973630937248931	1.0	0.0	0.6820628703825696	0.8341543513957307	0.15348426933254924	0.17494854454572184
GSM7980861_N-2	N	3839	0.7363716012538436	0.9999999999999998	0.0	0.6252820616651803	0.8700460829493087	0.4996092732482417	0.5574368325084658
GSM7980862_N-3	N	4547	0.4826729893827464	1.0	0.0	0.576100614090456	0.7415094339622641	0.4365515724653618	0.5784033428634264
GSM7980863_N-4	N	3030	0.6012381959317412	1.0	0.0	0.5675314033303923	0.7959183673469388	0.4775577557755776	0.42277227722772276
GSM7980864_PTC-1	PTC	2270	0.7530147137284181	0.9999999999999998	0.0	0.6301094903351558	0.8364312267657993	0.32863436123348017	0.32422907488986785
GSM7980865_PTC-2	PTC	4952	0.7013420705038782	0.9999999999999999	0.0	0.5766226549898856	0.8435927216415021	0.4697092084006462	0.49192245557350567
GSM7980866_PTC-3	PTC	4524	0.5409715897287656	1.0	0.0	0.5538289362316138	0.7496957403651116	0.490053050397878	0.46330680813439434
GSM7980867_PTC-4	PTC	4748	0.8199818225564314	0.9999999999999999	0.0	0.5780642590450861	0.7639612807148176	0.2512636899747262	0.2476832350463353
GSM7980868_LPTC-1	LPTC	1520	0.634654919890011	1.0	0.0	0.6380750767548397	0.8229665071770335	0.40328947368421053	0.34868421052631576
GSM7980869_LPTC-2	LPTC	4174	0.7739404065394219	1.0	0.0	0.6390909247420432	0.8916666666666667	0.27647340680402493	0.2673694298035458
GSM7980870_LPTC-3	LPTC	4633	0.851110992699229	1.0	0.0	0.6409857084779684	0.7803855825649623	0.23311029570472697	0.2253399525145694
GSM7980871_LPTC-4	LPTC	4737	0.8316206363129955	0.9999999999999999	0.0	0.7061595197657144	0.7045060658578857	0.21279290690310323	0.20244880726198017
GSM7980872_ATC-1	ATC	4722	0.6332874989835778	1.0	0.0	0.7804733711698677	0.8385150812064965	0.44578568403218977	0.39326556543837354
GSM7980873_ATC-2	ATC	2684	0.7965169989080976	1.0	0.0	0.6315469659039263	0.8762376237623762	0.3301043219076006	0.3759314456035768
GSM7980874_ATC-3	ATC	1622	0.3791839764879922	1.0	0.0	0.53826391976681	0.8676470588235294	0.040073982737361284	0.03822441430332922
GSM7980875_ATC-4	ATC	2594	0.519647669555211	1.0	0.0	0.603992201436334	0.6927029804727647	0.36314572089437164	0.271781033153431
