sample_id	condition	median_ARI_bin_bootstrap	min_ARI_bin_bootstrap	max_ARI_bin_bootstrap
GSM7980860_N-1	N	0.9065158985658637	0.7876470548728766	0.9357273790366856
GSM7980861_N-2	N	0.8361880031172055	0.6541601848569891	0.9704755289016979
GSM7980862_N-3	N	0.4754646378752864	0.43578207883427694	0.6559019176113815
GSM7980863_N-4	N	0.784133934893207	0.46786109576654134	0.9091330978220167
GSM7980864_PTC-1	PTC	0.9111457643518162	0.8320656303401941	0.9423169449927367
GSM7980865_PTC-2	PTC	0.9078255513256375	0.8767539356166364	0.9419959737542799
GSM7980866_PTC-3	PTC	0.7964037226644525	0.3163366976350144	0.8966160652929798
GSM7980867_PTC-4	PTC	0.8907203032614895	0.8839871211843107	0.9661325603182328
GSM7980868_LPTC-1	LPTC	0.7565509571971979	0.4783570207633464	0.9110862056760467
GSM7980869_LPTC-2	LPTC	0.9408106558705496	0.8385074731443214	0.9530706563333549
GSM7980870_LPTC-3	LPTC	0.9369934072386956	0.8942981748250676	0.9757621644859182
GSM7980871_LPTC-4	LPTC	0.8427395721557748	0.8052176926271638	0.9655050990067608
GSM7980872_ATC-1	ATC	0.7472209595372055	0.6329147708477507	0.9405333320017778
GSM7980873_ATC-2	ATC	0.8747166079784026	0.8446120248534925	0.9816357861416781
GSM7980874_ATC-3	ATC	0.7537167269191016	0.3300288346545141	0.8882801307496184
GSM7980875_ATC-4	ATC	0.5582559090532395	0.5177599835680259	0.9053281040381508
