sample_id	condition	infercnv_clone_raw	infercnv_t00_territory	infercnv_aneuploidy_territory	n_spots	mean_t00_signature	mean_aneuploidy	mean_bin_sd
GSM7980860_N-1	N	0	T2_high	A1_mid	595	0.010904946009185408	0.07718327214721411	0.06335616680009827
GSM7980860_N-1	N	1	T0_low	A2_high	1458	-0.015111449418478678	0.10800815646681243	0.06322514692270542
GSM7980860_N-1	N	2	T1_mid	A0_low	1348	-0.00171351142974052	0.061860104930165534	0.06337435723661623
GSM7980861_N-2	N	0	T0_low	A2_high	638	-0.01217434052628189	0.12824367896844613	0.057877261966652695
GSM7980861_N-2	N	1	T2_high	A1_mid	2140	0.011662706229626375	0.07027012727030482	0.054401900247508676
GSM7980861_N-2	N	2	T1_mid	A0_low	1061	0.0061488536157259105	0.05199522755791801	0.05879045628592877
GSM7980862_N-3	N	0	T2_high	A0_low	2630	-0.006659673903925482	0.04657468200304016	0.05013344134909607
GSM7980862_N-3	N	1	T0_low	A2_high	477	-0.016431562459627604	0.10593824944510588	0.05782057150259265
GSM7980862_N-3	N	2	T1_mid	A1_mid	1440	-0.010274141738077962	0.05377293827134511	0.05549136879032817
GSM7980863_N-4	N	0	T1_mid	A0_low	1240	0.011789461635833295	0.057275721286020764	0.06165569311907253
GSM7980863_N-4	N	1	T0_low	A1_mid	509	0.0020703596778901103	0.0634112166069463	0.06483367017163466
GSM7980863_N-4	N	2	T2_high	A2_high	1281	0.014530666886001768	0.08661345710548292	0.05793036918470312
GSM7980864_PTC-1	PTC	0	T1_mid	A0_low	854	-0.02884649797740935	0.06904669948984166	0.08572666201990278
GSM7980864_PTC-1	PTC	1	T0_low	A2_high	680	-0.038112099970050675	0.12390742527612966	0.07718369610873473
GSM7980864_PTC-1	PTC	2	T2_high	A1_mid	736	-0.017901452497006465	0.10409700656651294	0.08697297179016958
GSM7980865_PTC-2	PTC	0	T1_mid	A0_low	1645	0.002864336904610999	0.05851097891461791	0.07094666592091511
GSM7980865_PTC-2	PTC	1	T2_high	A1_mid	2436	0.007520444548296755	0.08608999680461149	0.06715876312489985
GSM7980865_PTC-2	PTC	2	T0_low	A2_high	871	-0.0010143334818101778	0.09900346641395516	0.07584782559942915
GSM7980866_PTC-3	PTC	0	T1_mid	A0_low	1914	-0.0020373569801193443	0.07175070074169537	0.07947295410072706
GSM7980866_PTC-3	PTC	1	T0_low	A1_mid	514	-0.003586661175680377	0.09272306012399613	0.07829003419991276
GSM7980866_PTC-3	PTC	2	T2_high	A2_high	2096	-0.001314926014676839	0.09991928067292324	0.08035844075485149
GSM7980867_PTC-4	PTC	0	T0_low	A2_high	1085	-0.010297146128103788	0.14045528250272848	0.07398833642277527
GSM7980867_PTC-4	PTC	1	T1_mid	A1_mid	2487	-0.0013831762674672446	0.08041518454326556	0.0706693503052268
GSM7980867_PTC-4	PTC	2	T2_high	A0_low	1176	0.006063639553025487	0.06540274685097554	0.07895571011701669
GSM7980868_LPTC-1	LPTC	0	T0_low	A0_low	317	-0.022949743966993254	0.06313815790151422	0.07255833566486841
GSM7980868_LPTC-1	LPTC	1	T2_high	A2_high	530	-0.003601013666960148	0.12224048173551984	0.0648478138735647
GSM7980868_LPTC-1	LPTC	2	T1_mid	A1_mid	673	-0.015480931065040626	0.07126824020162105	0.06807478806788618
