sample	precision	lift	pred_top	obs_top	overlap
P1	0.2958904109589041	2.958904109589041	365	365	108
P2	0.31329113924050633	3.132911392405063	316	316	99
P3	0.3194103194103194	3.1941031941031937	407	407	130
P4	0.38660907127429806	3.8660907127429804	463	463	179
