eval	model	fold	AUROC	AUPRC	ECE	n	held_out	subset	n_pos	split	aggregator
in_domain_5fold	BayesianMLP_seed0	0.0	0.8331761006289309	0.7719213333573474	0.10795412172533772	409					
in_domain_5fold	BayesianMLP_seed0	1.0	0.8233276157804461	0.7154223454470667	0.09799961574996512	408					
in_domain_5fold	BayesianMLP_seed0	2.0	0.7867000923604698	0.6961509480435607	0.0736391307128703	408					
in_domain_5fold	BayesianMLP_seed0	3.0	0.7798918063069008	0.6982623383329006	0.09227381809158067	408					
in_domain_5fold	BayesianMLP_seed0	4.0	0.8316400580551524	0.7628903603073958	0.18951959020512946	408					
in_domain_5fold	DeepEnsemble	0.0	0.8430817610062893	0.7845191418780869	0.11896405108546276	409					
in_domain_5fold	DeepEnsemble	1.0	0.8225095659057924	0.7051165206333943	0.11395593036842698	408					
in_domain_5fold	DeepEnsemble	2.0	0.7858820424858162	0.6992697746747922	0.08412214518323832	408					
in_domain_5fold	DeepEnsemble	3.0	0.7840084443858029	0.7101709582355435	0.10367235742217186	408					
in_domain_5fold	DeepEnsemble	4.0	0.8528565773848792	0.7883995380377777	0.1518834375356342	408					
cross_source_loso	DeepEnsemble		0.5907201766348464	0.9284927430714662	0.5851284852330471	589	CEDAR				
cross_source_loso	DeepEnsemble		0.5908608990670059	0.31529673861677976	0.13807808051451181	537	NEPdb				
cross_source_loso	DeepEnsemble		0.6709649790635707	0.10303836541480722	0.44928724335983766	605	TESLA_mmc4				
cross_source_loso	DeepEnsemble		0.47957516339869277	0.01517083546841589	0.43889059996412644	310	TESLA_mmc7_validation				
ITSNdb	DeepEnsemble		0.5638045540796963	0.7151476769444378	0.1721500262307624	192		ITSNdb_main	124.0		
ITSNdb	DeepEnsemble		0.7831858407079646	0.5936431623931624	0.23309919350788375	119		ITSNdb_Val	6.0		
ITSNdb	DeepEnsemble		0.7840628984275395	0.6912313334954805	0.10567243061839961	311		ITSNdb_combined	130.0		
ITSNdb	DeepEnsemble		0.4106514084507042	0.2738878834649987	0.22030873003515222	103		ITSNdb_no_overlap	32.0		
VenusVaccine	DeepEnsemble		0.7023223082336383	0.5690846541713107	0.46530805795620644	78				ext_venus_test	max_score
VenusVaccine	DeepEnsemble		0.6002814919071077	0.5060535666486516	0.026662998474561234	78				ext_venus_test	mean_score
VenusVaccine	DeepEnsemble		0.7375087966220971	0.6210594121989976	0.4355435103942186	78				ext_venus_test	top10_mean
VenusVaccine	DeepEnsemble		0.6326530612244898	0.5103354945509008	0.39150764774053526	78				ext_venus_test	top1pct_mean
VenusVaccine	DeepEnsemble		0.7227179135209334	0.5697104760278054	0.42979983717967307	78				ext_venus_valid	max_score
VenusVaccine	DeepEnsemble		0.514070006863418	0.44712380939441343	0.045790311617728986	78				ext_venus_valid	mean_score
VenusVaccine	DeepEnsemble		0.7364447494852437	0.5756995688395369	0.4004484552603501	78				ext_venus_valid	top10_mean
VenusVaccine	DeepEnsemble		0.5902539464653397	0.47443044095303694	0.354900252360564	78				ext_venus_valid	top1pct_mean
VenusVaccine	DeepEnsemble		0.7079861111111111	0.5573799876827435	0.4475539475679397	156				both	max_score
VenusVaccine	DeepEnsemble		0.5546874999999999	0.4669344744928803	0.020460897531264864	156				both	mean_score
VenusVaccine	DeepEnsemble		0.7336805555555557	0.5885704546814103	0.41799598282728445	156				both	top10_mean
VenusVaccine	DeepEnsemble		0.6112847222222222	0.486709922061139	0.3732039500505496	156				both	top1pct_mean
