AUROC	AUPRC	Brier	ECE	n	n_pos	split	aggregator
0.7023223082336383	0.5690846541713107	0.43890637978639074	0.46530805795620644	78	29	ext_venus_test	max_score
0.6002814919071077	0.5060535666486516	0.22677872110193711	0.026662998474561234	78	29	ext_venus_test	mean_score
0.7375087966220971	0.6210594121989976	0.40914788900719196	0.4355435103942186	78	29	ext_venus_test	top10_mean
0.6326530612244898	0.5103354945509008	0.3779312306779952	0.39150764774053526	78	29	ext_venus_test	top1pct_mean
0.7227179135209334	0.5697104760278054	0.41067785250795924	0.42979983717967307	78	31	ext_venus_valid	max_score
0.514070006863418	0.44712380939441343	0.2399796304407372	0.045790311617728986	78	31	ext_venus_valid	mean_score
0.7364447494852437	0.5756995688395369	0.3845185151107788	0.4004484552603501	78	31	ext_venus_valid	top10_mean
0.5902539464653397	0.47443044095303694	0.3605351841228518	0.354900252360564	78	31	ext_venus_valid	top1pct_mean
0.7079861111111111	0.5573799876827435	0.4247921161471751	0.4475539475679397	156	60	both	max_score
0.5546874999999999	0.4669344744928803	0.2333791757713372	0.020460897531264864	156	60	both	mean_score
0.7336805555555557	0.5885704546814103	0.39683320205898537	0.41799598282728445	156	60	both	top10_mean
0.6112847222222222	0.486709922061139	0.36923320740042354	0.3732039500505496	156	60	both	top1pct_mean
