algorithm	score_column	n	hits	hit_rate	AUROC	AUPRC	top1_hits	top1_precision	top2_hits	top2_precision	top3_hits	top3_precision	top5_hits	top5_precision	top10_hits	top10_precision	top12_hits	top12_precision	top24_hits	top24_precision
BigMHC_EL	bigmhc_el_score	24	17	0.7083333333333334	0.6638655462184875	0.8655989677980208	1	1.0	2	1.0	3	1.0	5	1.0	8	0.8	9	0.75	17	0.7083333333333334
CROSS_Neo_integrated_immunogenicity	immunogenicity_discovery_score	24	17	0.7083333333333334	0.5966386554621849	0.7904919353918902	1	1.0	2	1.0	2	0.6666666666666666	4	0.8	8	0.8	9	0.75	17	0.7083333333333334
CROSS_Neo_claim_safe_integrated	immunogenicity_claim_safe_score	24	17	0.7083333333333334	0.5882352941176471	0.7880839546557361	1	1.0	2	1.0	2	0.6666666666666666	4	0.8	8	0.8	9	0.75	17	0.7083333333333334
CROSS_Neo_stress_guarded	stress_guarded_discovery_score	24	17	0.7083333333333334	0.5210084033613446	0.7769582844865125	1	1.0	2	1.0	3	1.0	4	0.8	7	0.7	9	0.75	17	0.7083333333333334
CROSS_Neo_BMA_v2	bma_v2_discovery_score	24	17	0.7083333333333334	0.453781512605042	0.7668044808767176	1	1.0	2	1.0	3	1.0	4	0.8	6	0.6	7	0.5833333333333334	17	0.7083333333333334
CROSS_Neo_finetuned_priority	finetuned_experiment_priority_score	24	17	0.7083333333333334	0.4201680672268908	0.6811424234115911	0	0.0	1	0.5	2	0.6666666666666666	3	0.6	7	0.7	8	0.6666666666666666	17	0.7083333333333334
BigMHC_IM	bigmhc_im_score	24	17	0.7083333333333334	0.45378151260504207	0.6723249645394974	0	0.0	1	0.5	1	0.3333333333333333	3	0.6	7	0.7	8	0.6666666666666666	17	0.7083333333333334
