sample	n_cells	median_DM	pct_hashi_like	median_HLA_II
PTC06	417	0.3782913	0.0383693045563549	0.034471042
PTC07	2727	0.3623136	0.0311697836450311	0.036023594
PTC01	3565	0.27931005	0.0151472650771388	-0.21659787
PTC05	629	0.19714457	0.6693163751987281	1.4552323
PTC03	86	0.19387409	0.0116279069767441	-0.37768584
PTC04	1197	0.11349656	0.0969089390142021	-0.0326608
