cohort	sample_id	histology	diff_score	score_type
TCGA-THCA	TCGA-DJ-A2Q6-01A	PTC	-0.6797813043563707	tds_score (z)
TCGA-THCA	TCGA-FK-A3SE-01A	PTC	0.044971500055623	tds_score (z)
TCGA-THCA	TCGA-DJ-A2QA-01A	PTC	0.2628668154902555	tds_score (z)
TCGA-THCA	TCGA-FY-A2QD-01A	PTC	1.7081226927001183	tds_score (z)
TCGA-THCA	TCGA-EL-A3GR-01A	PTC	0.1809482088731521	tds_score (z)
TCGA-THCA	TCGA-EL-A3T7-01A	PTC	-1.0940985437527604	tds_score (z)
TCGA-THCA	TCGA-FE-A230-01A	PTC	-0.7260775353027465	tds_score (z)
TCGA-THCA	TCGA-EM-A3FO-01A	PTC	-0.8969888649503804	tds_score (z)
TCGA-THCA	TCGA-DJ-A3VB-01A	PTC	-1.1936964843915243	tds_score (z)
TCGA-THCA	TCGA-BJ-A28X-01A	PTC	-0.6302018797529405	tds_score (z)
TCGA-THCA	TCGA-DJ-A2QB-01A	PTC	0.9735906468308756	tds_score (z)
TCGA-THCA	TCGA-DO-A1K0-01A	PTC	-0.5132237480707365	tds_score (z)
TCGA-THCA	TCGA-EL-A4KD-01A	PTC	0.9235447108126984	tds_score (z)
TCGA-THCA	TCGA-BJ-A192-01A	PTC	0.7657380589851506	tds_score (z)
TCGA-THCA	TCGA-L6-A4EU-01A	PTC	-1.0514449345947428	tds_score (z)
TCGA-THCA	TCGA-DJ-A3V0-01A	PTC	-0.7303096093864339	tds_score (z)
TCGA-THCA	TCGA-EM-A2P2-01A	PTC	-0.116025456657322	tds_score (z)
TCGA-THCA	TCGA-BJ-A45G-01A	PTC	1.5297583039736216	tds_score (z)
TCGA-THCA	TCGA-FY-A3R7-01A	PTC	0.99387438883867	tds_score (z)
TCGA-THCA	TCGA-DJ-A3VG-01A	PTC	1.2534223539666962	tds_score (z)
TCGA-THCA	TCGA-ET-A25O-01A	PTC	-0.5165031164878486	tds_score (z)
TCGA-THCA	TCGA-DJ-A3UR-01A	PTC	-0.2446230146053881	tds_score (z)
TCGA-THCA	TCGA-E8-A415-01A	PTC	0.534554209141073	tds_score (z)
TCGA-THCA	TCGA-DJ-A4UR-01A	PTC	0.6211852118061014	tds_score (z)
TCGA-THCA	TCGA-DJ-A13L-01A	PTC	-1.133487793327533	tds_score (z)
TCGA-THCA	TCGA-BJ-A45I-01A	PTC	-1.5442773745372531	tds_score (z)
TCGA-THCA	TCGA-ET-A40S-01A	PTC	-0.0829078416749247	tds_score (z)
TCGA-THCA	TCGA-EL-A3CZ-01A	PTC	1.685040306670453	tds_score (z)
TCGA-THCA	TCGA-EM-A2P3-01A	PTC	-0.5218429429726943	tds_score (z)
TCGA-THCA	TCGA-BJ-A2N7-01A	PTC	0.8938418385469433	tds_score (z)
TCGA-THCA	TCGA-EL-A3GW-01A	PTC	0.6513100133817787	tds_score (z)
TCGA-THCA	TCGA-DJ-A13P-01A	PTC	-0.1243837369393633	tds_score (z)
TCGA-THCA	TCGA-ET-A39O-01A	PTC	-1.1489356726890496	tds_score (z)
TCGA-THCA	TCGA-IM-A3ED-01A	PTC	-0.0741486147343214	tds_score (z)
TCGA-THCA	TCGA-ET-A39L-01A	PTC	0.649935479231513	tds_score (z)
TCGA-THCA	TCGA-FY-A3YR-01A	PTC	-1.2412379408636285	tds_score (z)
TCGA-THCA	TCGA-KS-A4IB-01A	PTC	-1.026354035073006	tds_score (z)
TCGA-THCA	TCGA-EM-A3ST-01A	PTC	-0.3687852651797215	tds_score (z)
TCGA-THCA	TCGA-E8-A413-01A	PTC	0.0300378909515126	tds_score (z)
TCGA-THCA	TCGA-EL-A3TA-01A	PTC	0.561879792159763	tds_score (z)
TCGA-THCA	TCGA-DJ-A2PW-01A	PTC	-0.8434365369238573	tds_score (z)
TCGA-THCA	TCGA-DJ-A2PO-01A	PTC	-0.4016190674945917	tds_score (z)
TCGA-THCA	TCGA-ET-A3BT-01A	PTC	-0.4358797080141948	tds_score (z)
TCGA-THCA	TCGA-EM-A2CJ-01A	PTC	1.4107306756598046	tds_score (z)
TCGA-THCA	TCGA-DJ-A3VD-01A	PTC	-0.2976199428217701	tds_score (z)
TCGA-THCA	TCGA-DJ-A1QE-01A	PTC	-0.7359465516994241	tds_score (z)
TCGA-THCA	TCGA-BJ-A0ZB-01A	PTC	-0.5934412795501905	tds_score (z)
TCGA-THCA	TCGA-IM-A3U3-01A	PTC	-0.7924711405404659	tds_score (z)
TCGA-THCA	TCGA-BJ-A45F-01A	PTC	0.7413331793698067	tds_score (z)
TCGA-THCA	TCGA-EL-A4KG-01A	PTC	-1.4315630077736927	tds_score (z)
TCGA-THCA	TCGA-ET-A39S-01A	PTC	0.8549919325408535	tds_score (z)
TCGA-THCA	TCGA-E8-A436-01A	PTC	0.0269574569442309	tds_score (z)
TCGA-THCA	TCGA-EM-A22K-01A	PTC	1.075846236485552	tds_score (z)
TCGA-THCA	TCGA-E3-A3DY-01A	PTC	-0.5522176900872813	tds_score (z)
TCGA-THCA	TCGA-KS-A4I7-01A	PTC	-0.6218646797163914	tds_score (z)
TCGA-THCA	TCGA-4C-A93U-01A	PTC	-1.4271013830354582	tds_score (z)
TCGA-THCA	TCGA-ET-A25G-01A	PTC	-0.655643182341194	tds_score (z)
TCGA-THCA	TCGA-EL-A3H4-01A	PTC	-0.6552161497429456	tds_score (z)
TCGA-THCA	TCGA-EL-A3ZL-01A	PTC	-1.1335745466892515	tds_score (z)
TCGA-THCA	TCGA-DJ-A3VE-01A	PTC	-0.8443351297744557	tds_score (z)
TCGA-THCA	TCGA-DJ-A1QL-01A	PTC	1.5134025065653185	tds_score (z)
TCGA-THCA	TCGA-FE-A234-01A	PTC	-1.0913370016113977	tds_score (z)
TCGA-THCA	TCGA-H2-A26U-01A	PTC	-1.1762329543368313	tds_score (z)
TCGA-THCA	TCGA-EM-A1CS-01A	PTC	-0.0232745543251989	tds_score (z)
TCGA-THCA	TCGA-CE-A484-01A	PTC	0.2021537394527527	tds_score (z)
TCGA-THCA	TCGA-DJ-A3VJ-01A	PTC	-0.3130514587246198	tds_score (z)
TCGA-THCA	TCGA-ET-A39M-01A	PTC	-0.6367534725883428	tds_score (z)
TCGA-THCA	TCGA-BJ-A2P4-01A	PTC	0.8075481609223933	tds_score (z)
TCGA-THCA	TCGA-ET-A2MY-01A	PTC	-0.6540885970207515	tds_score (z)
TCGA-THCA	TCGA-EL-A3ZP-01A	PTC	0.038073302208991	tds_score (z)
TCGA-THCA	TCGA-E8-A418-01A	PTC	-0.9732235981905708	tds_score (z)
TCGA-THCA	TCGA-DJ-A2Q4-01A	PTC	-0.4394676015962797	tds_score (z)
TCGA-THCA	TCGA-EL-A3MW-01A	PTC	-0.4702619161751478	tds_score (z)
TCGA-THCA	TCGA-BJ-A0YZ-01A	PTC	0.4915446637255211	tds_score (z)
TCGA-THCA	TCGA-E8-A2JQ-01A	PTC	-1.2191156755705452	tds_score (z)
TCGA-THCA	TCGA-FY-A3NM-01A	PTC	2.1656915624759527	tds_score (z)
TCGA-THCA	TCGA-EM-A4FN-01A	PTC	-1.2608959559322126	tds_score (z)
TCGA-THCA	TCGA-EL-A3H7-01A	PTC	-1.5804973200408048	tds_score (z)
TCGA-THCA	TCGA-DJ-A1QF-01A	PTC	-0.5366671458402638	tds_score (z)
TCGA-THCA	TCGA-BJ-A2NA-01A	PTC	-0.4360661765747996	tds_score (z)
TCGA-THCA	TCGA-BJ-A3PR-01A	PTC	-0.2547568285091638	tds_score (z)
TCGA-THCA	TCGA-KS-A4I3-01A	PTC	-0.6459965321540352	tds_score (z)
TCGA-THCA	TCGA-DJ-A2PY-01A	PTC	-1.0085603564570182	tds_score (z)
TCGA-THCA	TCGA-EL-A3H8-01A	PTC	-0.5277588494187263	tds_score (z)
TCGA-THCA	TCGA-EL-A3CO-01A	PTC	0.9145436042363844	tds_score (z)
TCGA-THCA	TCGA-EL-A4K2-01A	PTC	1.344234055064745	tds_score (z)
TCGA-THCA	TCGA-FE-A23A-01A	PTC	-1.233063522552649	tds_score (z)
TCGA-THCA	TCGA-EL-A4K1-01A	PTC	-1.3399120295464717	tds_score (z)
TCGA-THCA	TCGA-DJ-A3VF-01A	PTC	-1.6242302709494334	tds_score (z)
TCGA-THCA	TCGA-CE-A482-01A	PTC	-0.4892474537146037	tds_score (z)
TCGA-THCA	TCGA-EM-A3SU-01A	PTC	-1.222188469339294	tds_score (z)
TCGA-THCA	TCGA-FE-A3PC-01A	PTC	-0.6877732310877123	tds_score (z)
TCGA-THCA	TCGA-EM-A3FQ-01A	PTC	0.6132787885303377	tds_score (z)
TCGA-THCA	TCGA-EL-A3GO-01A	PTC	0.6678690902646143	tds_score (z)
TCGA-THCA	TCGA-E8-A44K-01A	PTC	-1.0199291949334095	tds_score (z)
TCGA-THCA	TCGA-EM-A3SU-06A	PTC	-1.0276161940766708	tds_score (z)
TCGA-THCA	TCGA-DJ-A3UZ-01A	PTC	0.9353769801374796	tds_score (z)
TCGA-THCA	TCGA-BJ-A0ZE-01A	PTC	0.8239265004384874	tds_score (z)
TCGA-THCA	TCGA-E8-A432-01A	PTC	-0.5065807030656515	tds_score (z)
TCGA-THCA	TCGA-BJ-A18Y-01A	PTC	1.543569323497441	tds_score (z)
TCGA-THCA	TCGA-DJ-A4UT-01A	PTC	-0.2573095130648642	tds_score (z)
TCGA-THCA	TCGA-DJ-A2Q3-01A	PTC	-0.0767395553226839	tds_score (z)
TCGA-THCA	TCGA-ET-A40R-01A	PTC	1.3335924715785723	tds_score (z)
TCGA-THCA	TCGA-EM-A2CR-01A	PTC	0.0328676331473715	tds_score (z)
TCGA-THCA	TCGA-J8-A4HY-01A	PTC	0.6466108012795105	tds_score (z)
TCGA-THCA	TCGA-DJ-A3UP-01A	PTC	0.8073324418694845	tds_score (z)
TCGA-THCA	TCGA-EM-A3FR-01A	PTC	0.9129404079378448	tds_score (z)
TCGA-THCA	TCGA-DJ-A4UQ-01A	PTC	0.293167765236729	tds_score (z)
TCGA-THCA	TCGA-ET-A4KQ-01A	PTC	1.58759298165693	tds_score (z)
TCGA-THCA	TCGA-CE-A481-01A	PTC	0.4887263262543533	tds_score (z)
TCGA-THCA	TCGA-EM-A3O3-01A	PTC	-1.8329893240660395	tds_score (z)
TCGA-THCA	TCGA-EM-A2CP-01A	PTC	0.4552905020955636	tds_score (z)
TCGA-THCA	TCGA-EL-A3H3-01A	PTC	-0.7112578135334929	tds_score (z)
TCGA-THCA	TCGA-EL-A3CS-01A	PTC	-1.133125691452482	tds_score (z)
TCGA-THCA	TCGA-BJ-A0Z3-01A	PTC	-0.4182362609634004	tds_score (z)
TCGA-THCA	TCGA-DJ-A2PT-01A	PTC	-1.5000894695950535	tds_score (z)
TCGA-THCA	TCGA-ET-A39I-01A	PTC	1.7306119941795222	tds_score (z)
TCGA-THCA	TCGA-FK-A3SD-01A	PTC	1.6286209447034996	tds_score (z)
TCGA-THCA	TCGA-DJ-A13W-01A	PTC	-0.4657176214274874	tds_score (z)
TCGA-THCA	TCGA-DJ-A13R-01A	PTC	-0.415481964856332	tds_score (z)
TCGA-THCA	TCGA-DJ-A1QI-01A	PTC	-0.7799940192785486	tds_score (z)
TCGA-THCA	TCGA-EL-A3ZK-01A	PTC	-0.3979931050535572	tds_score (z)
TCGA-THCA	TCGA-EL-A4JZ-01A	PTC	-0.8467587474473973	tds_score (z)
TCGA-THCA	TCGA-ET-A2N4-01A	PTC	-0.5190662372588638	tds_score (z)
TCGA-THCA	TCGA-ET-A3DS-01A	PTC	2.231158515698626	tds_score (z)
TCGA-THCA	TCGA-EL-A3D4-01A	PTC	0.6171667616154537	tds_score (z)
TCGA-THCA	TCGA-DJ-A2PZ-01A	PTC	-0.0141941710734853	tds_score (z)
TCGA-THCA	TCGA-FY-A3RA-01A	PTC	-0.8219696013365009	tds_score (z)
TCGA-THCA	TCGA-EM-A4FV-01A	PTC	0.5358860026467848	tds_score (z)
TCGA-THCA	TCGA-EM-A3AN-01A	PTC	0.2728788219133419	tds_score (z)
TCGA-THCA	TCGA-DJ-A3UN-01A	PTC	0.0123869912459289	tds_score (z)
