cohort	histology	median_z	n	q25	q75
GSE213647 (Kim Korean)	ATC	-1.9859276449571395	8	-3.5651812217243135	-1.6728613803738175
GSE213647 (Kim Korean)	Normal	0.49547984118992816	262	0.24130515970517735	0.7263180893412904
GSE213647 (Kim Korean)	PDTC	-0.7764112349272349	9	-1.173618937495865	-0.5959570376285903
GSE213647 (Kim Korean)	PTC	-0.5055488800172262	353	-0.8628399200248755	-0.0031802618860926
GSE76039	ATC	0.0	20	0.0	0.0
GSE76039	PDTC	-2.2026418562316006	17	-2.2035920187499354	-1.2299256330910853
K2 (PRJEB11591 Yoo 2016)	PTC	0.0	260	-1.0134706406181602	0.4921072503385086
TCGA-THCA	PTC	0.0	513	-0.5361736645650665	0.9768631166056049
