method_name	method_role	method_family	bma_v2_weight	bma_v2_utility_norm	bma_v2_use_class	stress_min_floor	stress_delta_floor	redundancy_penalty_proxy	public_or_clean_comparator_penalty	fallback_role_cap	uses_public_pretraining	clean_comparator_allowed	overall_mean_AUPRC	source_heldout_median_AUPRC	source_heldout_min_AUPRC	source_heldout_median_delta_AUPRC	source_heldout_loss_rate_vs_anchor	study_heldout_median_AUPRC	hla_stress_median_AUPRC	hla_stress_min_AUPRC	hla_stress_median_delta_AUPRC	korean_hla_median_AUPRC	korean_hla_median_delta_AUPRC	low_prevalence_AUPRC	low_prevalence_median_delta_AUPRC	mean_top10_precision	mean_ECE	mean_AUPRC	median_AUPRC	reviewer_safe_score	n_split_rows	stress_flags	recommended_use	stress_safe_score	mean_AUPRC_leaderboard	mean_top10_precision_leaderboard	mean_ECE_leaderboard	reviewer_safe_score_leaderboard	n_split_rows_leaderboard	source_stress_prior	hla_stress_prior	korean_hla_prior	low_prevalence_prior	calibration_prior	role_prior	stress_guarded_base_utility	stress_guarded_base_weight	bma_v2_weight_raw
Structure_LR	anchor	structure_proxy	0.05549760750490112	1.0	primary_internal_expert	0.3333784271284271	0.0	0.6944444444444444	1.0	0.85	False	True	0.5692695458531903	0.6011062990257935	0.5147005835141049			0.6011062990257935	0.786734693877551	0.3333784271284271		0.5472956778379152		0.8093260868661938		0.7765625	0.1658988010037126	0.6623858274802117	0.6055242272347535	0.8446498858561731	30	calibration_risk	honest local anchor	0.2787510848524604	0.6623858274802117	0.7899999999999999	0.1573594162403874	0.8446498858561731	30	0.5	0.5	0.5	0.5	0.7511517984944311	0.8	0.6439893107742667	0.5151914486194134	0.18306951198841703
W7B_stacked	internal_candidate	ensemble_or_fusion	0.03385562167036503	0.6100374987764141	primary_internal_expert	0.2982026143790849	0.0297490159622512	0.2717391304347826	1.0	1.0	False	True	0.7181572909779651	0.8917527587594107	0.4639564276246304	0.1728167702766632	0.3333333333333333	0.8917527587594107	0.8333333333333333	0.2982026143790849	0.0297490159622512	0.7532482441517933	0.205952566313878	0.982142857142857	0.1728167702766632	0.8107794361525704	0.2192868908219404	0.6905238146782089	0.6429313251390525	0.8496797851443287	32	calibration_risk	candidate internal support with stress caveats	0.8329586805613026	0.6905238146782089	0.8083333333333333	0.2251069620054684	0.8496797851443287	32	0.6728167702766632	0.5297490159622512	0.705952566313878	0.6728167702766632	0.6710696637670894	1.0	0.7059713850051356	0.7059713850051356	0.11167926719563269
anchor_lr	anchor	internal_baseline	0.030289041764893023	0.5457720274197069	secondary_diversity_expert	0.09734392303433	-0.2441170252896789	0.6578947368421053	1.0	0.85	False	True	0.4593487844371471	0.585363400076123	0.4769059908645841	-0.0766499351140262	1.0	0.585363400076123	0.5385017479508147	0.09734392303433	-0.2441170252896789	0.4934892301301579	-0.0538064477077573	0.693820809287662	-0.1155052775785318	0.6065040650406505	0.1703021846014905	0.526168165769229	0.4982942652735618	0.6690709305801377	17	source_shift_collapse; hla_shift_collapse; korean_hla_collapse; low_prevalence_collapse; calibration_risk	honest local anchor	0.1780017855749418	0.526168165769229	0.6032679738562092	0.1775082996033321	0.6690709305801377	17	0.4233500648859738	0.255882974710321	0.4461935522922427	0.3844947224214682	0.7445467230977643	0.8	0.5090169968763372	0.4072135975010698	0.09991421871665469
Stack_mean_E1	internal_candidate	ensemble_or_fusion	0.0301173388691738	0.5426781481798845	secondary_diversity_expert	0.256140350877193	-0.0020124716553287	0.2717391304347826	1.0	1.0	False	True	0.599587523214283	0.6812368216659963	0.516072936029006	0.0801305226402028	0.0	0.6812368216659963	0.7678571428571429	0.256140350877193	-0.0020124716553287	0.7509909333273496	0.2036952554894343	0.927643784786642	0.1183176979204482	0.7883913764510779	0.2322102456099854	0.6547226088365166	0.6812368216659963	0.8113326986546913	32	calibration_risk	candidate internal support with stress caveats	0.6572405040295799	0.6547226088365166	0.7927083333333333	0.2193157684849198	0.8113326986546913	32	0.5801305226402028	0.4979875283446713	0.7036952554894342	0.6183176979204482	0.6516846315850219	1.0	0.663511754266302	0.663511754266302	0.09934782375406932
anchor_rf_retrained_cf	anchor	internal_baseline	0.029765978069015653	0.5363470500307055	secondary_diversity_expert	0.0193743808682918	-0.7722236021652791	0.6578947368421053	1.0	0.85	False	True	0.5447970582816675	0.1835492604628449	0.0193743808682918	-0.2868142781511238	0.25	0.1835492604628449	0.8068342151675485	0.0277777777777777	-0.1602127645574855	0.417110274297698	-0.1301854035402172	0.0371024847009147	-0.7722236021652791	0.7298743907011622	0.2707983147513114	0.6338654497872817	0.7435897435897436	0.7951719582264749	70	source_shift_collapse; source_low_floor; hla_shift_collapse; korean_hla_collapse; low_prevalence_collapse; calibration_risk	honest local anchor	0.0773466007665542	0.6338654497872817	0.7443877551020408	0.2757104258121499	0.7951719582264749	70	0.2131857218488762	0.3397872354425145	0.3698145964597827	0.05	0.5938025278730329	0.8	0.5176603827698946	0.4141283062159157	0.09818879270554834
Stack_LR_inmaster_E3a	internal_candidate	ensemble_or_fusion	0.029332162943203125	0.5285302243094486	secondary_diversity_expert	0.2033613445378151	-0.0206632653061224	0.2717391304347826	1.0	1.0	False	True	0.6113417727582381	0.8169765711630143	0.4577374190769182	0.1387258611857542	0.3333333333333333	0.8169765711630143	0.7813618612917081	0.2033613445378151	-0.0206632653061224	0.7611196978805195	0.2138240200426042	0.948051948051948	0.1387258611857542	0.7854063018242121	0.2295477854817517	0.6557758318401355	0.7305555555555555	0.8114993186777328	32	calibration_risk	candidate internal support with stress caveats	0.7000141290756129	0.6557758318401355	0.7958333333333333	0.2344317982906944	0.8114993186777328	32	0.6387258611857543	0.4793367346938776	0.7138240200426043	0.6387258611857543	0.6556783217773725	1.0	0.6730352627392472	0.6730352627392472	0.09675777023545934
Stack_median_E2	internal_candidate	ensemble_or_fusion	0.026920776276930278	0.48507994285254263	secondary_diversity_expert	0.2088876036244457	-0.0589923156417517	0.2717391304347826	1.0	1.0	False	True	0.5395408502384662	0.6085650464522606	0.4801729194058401	0.0074587474264671	0.3333333333333333	0.6085650464522606	0.7783882783882784	0.2088876036244457	-0.0589923156417517	0.734713210804963	0.1874175329670477	0.948051948051948	0.1387258611857542	0.7674958540630182	0.226851175373846	0.6129595859237941	0.6085650464522606	0.7671535013191434	32	hla_shift_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.4887687577300127	0.6129595859237941	0.7770833333333333	0.212227512713173	0.7671535013191434	32	0.5074587474264671	0.4410076843582483	0.6874175329670477	0.6387258611857543	0.659723236939231	1.0	0.6220348953485703	0.6220348953485703	0.0888033484133842
Wave8_TCR_SelfSim_no_exact	internal_candidate	tcr_aware	0.026017260848609686	0.46879968377577436	secondary_diversity_expert	0.1926098458707154	-0.2213260671876947	0.2717391304347826	1.0	1.0	False	True	0.5405467743747571	0.5083721741374267	0.4659765670762248	-0.04872401643788	0.6666666666666666	0.5083721741374267	0.5582130788018536	0.1926098458707154	-0.2213260671876947	0.6517869726538877	0.1044912948159725	0.9676989676989676	0.1583728808327738	0.8132352941176472	0.1713325525347067	0.5640159289183905	0.5582130788018536	0.7335396950723696	32	hla_shift_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.292157058912088	0.5640159289183905	0.821875	0.1485123384602096	0.7335396950723696	32	0.45127598356212	0.2786739328123053	0.6044912948159725	0.6583728808327738	0.74300117119794	1.0	0.5693273409871151	0.5693273409871151	0.08582292932915524
anchor_rf	anchor	internal_baseline	0.025981099926247423	0.4681481075369415	secondary_diversity_expert	0.0101981655912951	-0.7267115667969799	0.6578947368421053	1.0	0.85	False	True	0.5276446976860942	0.223074924068222	0.0101981655912951	-0.3223599512729392	0.5	0.223074924068222	0.8200000000000001	0.027027027027027	-0.3209882964229389	0.4418842682196475	-0.1054114096182677	0.0826145200692139	-0.7267115667969799	0.6602160815664465	0.2751440548386801	0.6145059707030316	0.6928571428571428	0.7682675736993567	72	source_shift_collapse; source_low_floor; hla_shift_collapse; korean_hla_collapse; low_prevalence_collapse; calibration_risk	honest local anchor	-0.1502247288352015	0.6145059707030316	0.7098214285714285	0.2820268271796063	0.7682675736993567	72	0.1776400487270608	0.1790117035770611	0.3945885903817323	0.05	0.5872839177419799	0.8	0.4820711042419697	0.3856568833935758	0.08570364558508886
RF_biophys	internal_candidate	internal_baseline	0.025481148007991568	0.4591395765257317	secondary_diversity_expert	0.1741071428571428	-0.1629689754689754	0.2777777777777778	1.0	1.0	False	True	0.6019232838616885	0.8299152602565358	0.4168074256285534	0.152408607011357	0.3333333333333333	0.8299152602565358	0.598786016118563	0.1741071428571428	-0.1629689754689754	0.5894432659821273	0.042147588144212	0.9617346938775508	0.152408607011357	0.7749585406301824	0.2476105326551899	0.5706072727927642	0.4933862433862434	0.7210407254538579	32	hla_shift_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.4628698243410494	0.5706072727927642	0.7770833333333333	0.2498321400557297	0.7210407254538579	32	0.6524086070113571	0.3370310245310246	0.542147588144212	0.6524086070113571	0.6285842010172151	1.0	0.5964825034652608	0.5964825034652608	0.08405445820913415
Wave8_TCR_motif_only	internal_candidate	tcr_aware	0.023289715749758296	0.41965260840661517	secondary_diversity_expert	0.1468691802025135	-0.2544917760926533	0.2717391304347826	1.0	1.0	False	True	0.5380495438990032	0.5394572158563865	0.5315686001579615	0.0247566323422816	0.3333333333333333	0.5394572158563865	0.5402046783625731	0.1468691802025135	-0.2544917760926533	0.6251719197823086	0.0778762419443933	0.8809132996632997	0.0715872127971058	0.763235294117647	0.1647491484068274	0.5201255818036871	0.5402046783625731	0.6825603639715837	32	hla_shift_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.2880760718143846	0.5201255818036871	0.78125	0.1381521783210339	0.6825603639715837	32	0.5247566323422816	0.2455082239073467	0.5778762419443932	0.5715872127971058	0.7528762773897589	1.0	0.5457274838028277	0.5457274838028277	0.07682559822566531
Wave8_SelfSim_no_exact	internal_candidate	tcr_aware	0.022556100698441953	0.40643374935487037	secondary_diversity_expert	0.1499682034976152	-0.1695915399959517	0.2717391304347826	1.0	1.0	False	True	0.4706165702986158	0.4438208350077318	0.419994353212838	-0.0947062303012668	0.6666666666666666	0.4438208350077318	0.5908467857951908	0.1499682034976152	-0.1695915399959517	0.5873198096053889	0.0400241317674736	0.9095238095238096	0.1001977226576158	0.7540630182421225	0.1801277575566021	0.5251991143609056	0.5060506133332515	0.6833031685334955	32	source_shift_collapse; hla_shift_collapse; calibration_risk	high-value internal candidate but abstain or downweight under source shift	0.2388776406796748	0.5251991143609056	0.7708333333333334	0.1606261249407685	0.6833031685334955	32	0.4052937696987332	0.3304084600040483	0.5400241317674737	0.6001977226576158	0.7298083636650968	1.0	0.5357507479661272	0.5357507479661272	0.07440562815001872
Wave8_TCR_SelfSim_full	internal_candidate	tcr_aware	0.021326842676065223	0.38428400132711665	secondary_diversity_expert	0.143032059314954	-0.3240910324243659	0.2717391304347826	1.0	1.0	False	True	0.5365877882622012	0.5431712484214699	0.4840385691532086	-0.0539842065243135	1.0	0.5431712484214699	0.4966422466422466	0.143032059314954	-0.3240910324243659	0.65069090772786	0.1033952298899447	0.7553418803418802	-0.0539842065243135	0.7808823529411765	0.181992868666299	0.4843528280615256	0.532984807360311	0.647618191169275	32	source_shift_collapse; hla_shift_collapse; low_prevalence_collapse; calibration_risk	high-value internal candidate but abstain or downweight under source shift	0.0875500835542966	0.4843528280615256	0.79375	0.154846368922506	0.647618191169275	32	0.4460157934756865	0.1759089675756341	0.6033952298899448	0.4460157934756865	0.7270106970005515	1.0	0.5001287602792771	0.5001287602792771	0.07035068458791145
Wave8_TCR_only	internal_candidate	tcr_aware	0.021191731975657692	0.3818494693448939	secondary_diversity_expert	0.1584033613445378	-0.2533376308777377	0.2717391304347826	1.0	1.0	False	True	0.5594058021535382	0.5625007510425544	0.555988455988456	-0.0386055479832391	0.6666666666666666	0.5625007510425544	0.5809523809523809	0.1584033613445378	-0.2342089906137894	0.6393190643358296	0.0920233864979144	0.555988455988456	-0.2533376308777377	0.7525704809286898	0.2029356643058292	0.4996462215008605	0.5625007510425544	0.6560625163039255	32	hla_shift_collapse; low_prevalence_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.1803123134010677	0.4996462215008605	0.7739583333333333	0.1837537186360169	0.6560625163039255	32	0.4613944520167609	0.2657910093862106	0.5920233864979144	0.2466623691222623	0.6955965035412561	1.0	0.5075417183652364	0.5075417183652364	0.06990499600600573
sourceheld_counterfactual_rf	internal_candidate	internal_baseline	0.020761249600559993	0.3740926957747957	secondary_diversity_expert	0.0109732995762407	-0.7740333278534717	0.2777777777777778	1.0	1.0	False	True	0.7203112563490297	0.1747121813681515	0.0109732995762407	-0.3040196270341281	0.25	0.1747121813681515	0.8766666666666667	0.0344827586206896	-0.0098814316950036	0.5433643923652993	-0.0039312854726158	0.0352927590127221	-0.7740333278534717	0.7448350206224222	0.2558773845038352	0.6960135224342753	0.8766666666666667	0.8415008439128107	70	source_shift_collapse; source_low_floor; low_prevalence_collapse; calibration_risk	high-value internal candidate but abstain or downweight under source shift	0.2717224006798436	0.6960135224342753	0.7601020408163265	0.2653308668472999	0.8415008439128107	70	0.1959803729658719	0.4901185683049964	0.4960687145273842	0.05	0.6161839232442472	1.0	0.5739300404648991	0.5739300404648991	0.06848496725392321
