method_name	method_family	method_role	uses_public_pretraining	clean_comparator_allowed	hla_stress_n_splits	hla_stress_median_AUPRC	hla_stress_min_AUPRC	hla_stress_median_top10_precision	hla_stress_median_ECE	other_n_splits	other_median_AUPRC	other_min_AUPRC	other_median_top10_precision	other_median_ECE	overall_n_splits	overall_median_AUPRC	overall_min_AUPRC	overall_median_top10_precision	overall_median_ECE	overlap_audit_n_splits	overlap_audit_median_AUPRC	overlap_audit_min_AUPRC	overlap_audit_median_top10_precision	overlap_audit_median_ECE	source_heldout_n_splits	source_heldout_median_AUPRC	source_heldout_min_AUPRC	source_heldout_median_top10_precision	source_heldout_median_ECE	study_heldout_n_splits	study_heldout_median_AUPRC	study_heldout_min_AUPRC	study_heldout_median_top10_precision	study_heldout_median_ECE	bma_v2_weight	bma_v2_utility_norm	bma_v2_use_class	stress_min_floor	stress_delta_floor	public_or_clean_comparator_penalty	fallback_role_cap	contract_source_heldout_pass	contract_hla_stress_pass	contract_low_prevalence_pass	contract_topk_pass	contract_calibration_pass	contract_clean_internal_pass	external_claim_contract_v2	required_next_evidence
Structure_LR	structure_proxy	anchor	False	True	27	0.6887031567012769	0.3333784271284271	1.0	0.170678367244242	28	0.7718820861678004	0.1677007805821339	1.0	0.1972813115314332	1	0.5692695458531903	0.5692695458531903	0.9	0.0490325738934398	1	0.4937651314526342	0.4937651314526342	0.6	0.0651084639170213	4	0.7052161929459937	0.5147005835141049	0.7	0.14966728020888714	3	0.6011062990257935	0.5147005835141049	0.7	0.1128111240566833	0.05549760750490112	1.0	primary_internal_expert	0.3333784271284271	0.0	1.0	0.85	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
W7B_stacked	ensemble_or_fusion	internal_candidate	False	True	29	0.6980897846454228	0.2982026143790849	1.0	0.1873603191164862	29	0.7796451593959884	0.2982026143790849	1.0	0.2003305098325843	1	0.7181572909779651	0.7181572909779651	1.0	0.0657285785930237	1	0.4776228804271816	0.4776228804271816	0.6	0.2015058564580169	4	0.9369478079511339	0.4639564276246304	0.7	0.23448697928892348	3	0.8917527587594107	0.4639564276246304	0.7	0.2233095253195464	0.03385562167036503	0.6100374987764141	primary_internal_expert	0.2982026143790849	0.0297490159622512	1.0	1.0	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
Stack_mean_E1	ensemble_or_fusion	internal_candidate	False	True	29	0.7411065523764133	0.256140350877193	1.0	0.24359525036517823	29	0.7306843430824206	0.1541760146439949	1.0	0.2823369447154556	1	0.599587523214283	0.599587523214283	0.8	0.0553074460748968	1	0.5346244176394445	0.5346244176394445	0.6	0.0952096804098313	4	0.8044403032263192	0.516072936029006	0.6	0.19373471405631518	3	0.6812368216659963	0.516072936029006	0.6	0.1042086573518596	0.0301173388691738	0.5426781481798845	secondary_diversity_expert	0.256140350877193	-0.0020124716553287	1.0	1.0	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
Stack_LR_inmaster_E3a	ensemble_or_fusion	internal_candidate	False	True	29	0.7458376267180375	0.2033613445378151	1.0	0.19312949830442294	29	0.7305555555555555	0.2033613445378151	1.0	0.2359788359788359	1	0.6113417727582381	0.6113417727582381	0.4	0.0551799895445243	1	0.4857966779903597	0.4857966779903597	0.5	0.1236012315302987	4	0.8825142596074811	0.4577374190769182	0.6	0.2349578040063038	3	0.8169765711630143	0.4577374190769182	0.6	0.1659652654259014	0.029332162943203125	0.5285302243094486	secondary_diversity_expert	0.2033613445378151	-0.0206632653061224	1.0	1.0	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
Stack_median_E2	ensemble_or_fusion	internal_candidate	False	True	29	0.7253014516368114	0.2088876036244457	1.0	0.2565280723471065	29	0.716021307494959	0.0835647017977845	1.0	0.2907202390808949	1	0.5395408502384662	0.5395408502384662	0.5	0.039817503418347	1	0.4778495263915177	0.4778495263915177	0.4	0.1026921775451294	4	0.7783084972521044	0.4801729194058401	0.6	0.19720821944816302	3	0.6085650464522606	0.4801729194058401	0.6	0.11614525020718	0.026920776276930278	0.48507994285254263	secondary_diversity_expert	0.2088876036244457	-0.0589923156417517	1.0	1.0	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
W7A_full	classical_biophysical	internal_candidate	False	True	29	0.6986367667064302	0.2650857914015808	1.0	0.2201321330570118	29	0.7399718877012962	0.1504414632986061	1.0	0.2219125847775362	1	0.6615400509129399	0.6615400509129399	0.8	0.0806714842455652	1	0.5012289433197663	0.5012289433197663	0.6	0.2022907630236978	4	0.8810066799206775	0.5079622653786052	0.7	0.2959475901379917	3	0.8141675548526927	0.5079622653786052	0.7	0.2163673914327344	0.020110322182016152	0.36236376820820904	secondary_diversity_expert	0.2650857914015808	0.0398393589840957	1.0	1.0	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
kNN	classical_biophysical	internal_candidate	False	True	29	0.6279907032932746	0.272156862745098	1.0	0.19232623903581575	29	0.6663267870583871	0.272156862745098	1.0	0.1661985737076455	1	0.6913090564353344	0.6913090564353344	0.9	0.0728958628653452	1	0.5122244708001223	0.5122244708001223	0.6	0.205146598943247	4	0.9449547715884381	0.4979108449005301	0.7	0.2559249714629067	3	0.9077666860340192	0.4979108449005301	0.7	0.2302501594532971	0.018551155489693095	0.33426946356299775	bounded_fallback_only	0.272156862745098	-0.1108180014430014	1.0	1.0	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
MultiTask_A_only	classical_biophysical	internal_candidate	False	True	27	0.5802325464886029	0.3220255183413078	1.0	0.2537902633921184	27	0.5802325464886029	0.3220255183413078	1.0	0.2537902633921184	1	0.6863300275279725	0.6863300275279725	1.0	0.0773523790410847	1	0.4703041765763929	0.4703041765763929	0.6	0.2331403465616626	4	0.9055555555555556	0.4591108805846967	0.6	0.24620414609037586	3	0.9055555555555556	0.4591108805846967	0.6	0.1996231707980694	0.018043764131052506	0.3251268828022725	bounded_fallback_only	0.3220255183413078	-0.1504144004144004	1.0	1.0	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
MultiTask_AC	classical_biophysical	internal_candidate	False	True	27	0.5709533475050463	0.306060606060606	1.0	0.21064226367768146	27	0.5709533475050463	0.306060606060606	1.0	0.1955366177254331	1	0.6507418958076681	0.6507418958076681	0.7	0.0646220548987465	1	0.4448011693776152	0.4448011693776152	0.5	0.2221999554995719	4	0.9049517717334545	0.4399722854131332	0.6	0.2636361755966973	3	0.8932368768002426	0.4399722854131332	0.6	0.2179614961250813	0.01728729225646104	0.3114961713427801	bounded_fallback_only	0.306060606060606	-0.1443738360405027	1.0	1.0	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
MultiTask_AD	classical_biophysical	internal_candidate	False	True	27	0.5589363635058658	0.3333333333333333	1.0	0.2405523843956276	27	0.5589363635058658	0.3333333333333333	1.0	0.24192969102391215	1	0.6436117926728063	0.6436117926728063	0.8	0.0990101942733387	1	0.4370352812628147	0.4370352812628147	0.4	0.2292534378858353	4	0.8854824539096502	0.4290623557490777	0.6	0.26708167232091173	3	0.8741395109939035	0.4290623557490777	0.6	0.1887556106354149	0.01724243636745377	0.3106879222844165	bounded_fallback_only	0.3333333333333333	-0.1619183285849953	1.0	1.0	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
MultiTask_AB	classical_biophysical	internal_candidate	False	True	27	0.5754309930830017	0.2776315789473684	1.0	0.2910577325451046	27	0.5754309930830017	0.2776315789473684	1.0	0.2910577325451046	1	0.6628772997661977	0.6628772997661977	0.7	0.0781864126038772	1	0.4394471384670373	0.4394471384670373	0.3	0.2404548271671106	4	0.9089127369513701	0.434705957167148	0.6	0.2907755391407306	3	0.9011588072360736	0.434705957167148	0.6	0.2355294051331469	0.016273246406776732	0.29322428728733224	bounded_fallback_only	0.2776315789473684	-0.1619183285849953	1.0	1.0	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
MultiTask_full	classical_biophysical	internal_candidate	False	True	27	0.5694400456679556	0.2479745744451627	1.0	0.24995998323693766	27	0.5900040622434853	0.2479745744451627	1.0	0.2377293915058837	1	0.6338191447945472	0.6338191447945472	0.6	0.065100464691977	1	0.4175973139716901	0.4175973139716901	0.5	0.2190984229349029	4	0.9085348279060861	0.4109084220316377	0.6	0.2684869100818492	3	0.9004029891455054	0.4109084220316377	0.6	0.2220252651344982	0.01613695836489572	0.29076854103072153	bounded_fallback_only	0.2479745744451627	-0.1596736596736597	1.0	1.0	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
TENT	classical_biophysical	internal_candidate	False	True	27	0.5123637338076993	0.2635416666666667	1.0	0.25189816892257727	27	0.5123637338076993	0.2635416666666667	1.0	0.25463913231404367	1	0.6028986598472791	0.6028986598472791	0.6	0.0665110550353968	1	0.4218383325678865	0.4218383325678865	0.2	0.2010173799220774	4	0.8580445178421654	0.4245858092897968	0.6	0.26228888040565224	3	0.8105334801287751	0.4245858092897968	0.6	0.1823254442934905	0.014709363457127827	0.26504500136927184	bounded_fallback_only	0.2635416666666667	-0.266346773521229	1.0	1.0	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
W7A_QK_only	qk_fallback	bounded_fallback	False	True	29	0.713336884508361	0.4238095238095238	1.0	0.20181377576434362	29	0.7694805194805195	0.182511895011895	1.0	0.2235396471402626	1	0.6767484970911705	0.6767484970911705	1.0	0.0958233777601782	1	0.5417806808012325	0.5417806808012325	0.6	0.2068170423222107	4	0.8426185072408608	0.5456275846691616	0.7	0.2771073945605256	3	0.7876179668626742	0.5456275846691616	0.7	0.2031868074784368	0.0037544671379200396	0.0676509728385764	bounded_fallback_only	0.4238095238095238	0.0727112008362007	1.0	0.45	True	True	False	True	True	True	benchmark_claim_with_low_prevalence_caveat	low-prevalence stress rescue
MHCflurry	deep_immunogenicity	caveated_public_comparator	True	False	29	0.6174987323126218	0.2308641975308641	1.0	0.1852213187452389	30	0.5890745499756003	0.1577010291296005	1.0	0.2028139566065566	1	0.5444044766262264	0.5444044766262264	0.7	0.0277579924791631	1	0.5865530588521137	0.5865530588521137	1.0	0.0532385723010688	4	0.7401304424264239	0.5141641862123371	0.9	0.1334250815475334	3	0.5509679555599183	0.5141641862123371	0.9	0.0684466067299619	0.0004742896407305683	0.008546127699084735	caveated_public_or_overlap_expert	0.2308641975308641	-0.0412015233443804	0.35	0.25	True	True	False	True	True	False	diagnostic_or_ablation_only	remove public/overlap dependence or demote to ablation
BigMHC_IM	deep_immunogenicity	caveated_public_comparator	True	False	29	0.6189737756683882	0.1417073965461062	1.0	0.2128764566216014	30	0.6639629422593023	0.1417073965461062	1.0	0.2128764566216014	1	0.5257856218750203	0.5257856218750203	0.5	0.0437969044498565	1	0.3964952455535089	0.3964952455535089	0.2	0.1206965702438389	4	0.8298634524073663	0.3629568005546864	0.9	0.24140575309554851	3	0.7429114286242562	0.3629568005546864	0.9	0.134167105248902	0.000438011887382267	0.007892446306691421	caveated_public_or_overlap_expert	0.1417073965461062	0.0167766096337524	0.35	0.25	True	False	False	True	True	False	diagnostic_or_ablation_only	remove public/overlap dependence or demote to ablation
MHCnuggets_2	deep_immunogenicity	caveated_public_comparator	True	False	29	0.6304309931030246	0.1854031385281385	1.0	0.15291084199132404	28	0.66189448902191	0.1854031385281385	1.0	0.2512364763101569	1	0.5363970821798515	0.5363970821798515	0.9	0.0725582118149094	1	0.4578077382896742	0.4578077382896742	0.5	0.1367888131789852	4	0.7481881294594892	0.4406540683616334	0.6	0.2031262624681216	3	0.6054671680098876	0.4406540683616334	0.6	0.1504329870800255	0.0004194212608306799	0.007557465622164701	caveated_public_or_overlap_expert	0.1854031385281385	-0.1525590728715728	0.35	0.25	True	False	False	True	True	False	diagnostic_or_ablation_only	remove public/overlap dependence or demote to ablation
TSCAPE_TITANiAN	deep_immunogenicity	caveated_public_comparator	True	False	29	0.5568242753002861	0.2317927170868347	1.0	0.2162126355657103	29	0.5767965367965368	0.0821787550924998	1.0	0.2791048116393501	1	0.4957332437349081	0.4957332437349081	0.5	0.053079949091485	1	0.4760272028892224	0.4760272028892224	0.5	0.1133531652379438	4	0.7302871951087662	0.4788423492964105	0.6	0.21407212332847375	3	0.5125224421655843	0.4788423492964105	0.6	0.1367437807466777	0.0004001957642799653	0.007211045345416433	caveated_public_or_overlap_expert	0.2317927170868347	-0.1353120321094944	0.35	0.25	True	True	False	True	True	False	diagnostic_or_ablation_only	remove public/overlap dependence or demote to ablation
DeepImmuno	deep_immunogenicity	caveated_public_comparator	True	False	29	0.5446026621849909	0.1729514312847646	1.0	0.25794828434103767	29	0.6285673733347276	0.1729514312847646	1.0	0.3193457504019323	1	0.5637124397359685	0.5637124397359685	0.7	0.0763130071839045	1	0.4718444603957493	0.4718444603957493	0.5	0.1439582766060655	4	0.8129268652893497	0.4503677393943143	0.6	0.2736549619787382	3	0.6778017825267513	0.4503677393943143	0.6	0.1698963892424315	0.00039022568025956326	0.007031396447587431	caveated_public_or_overlap_expert	0.1729514312847646	-0.1593253968253968	0.35	0.25	True	False	False	True	True	False	diagnostic_or_ablation_only	remove public/overlap dependence or demote to ablation
NetMHCstabpan	deep_immunogenicity	caveated_public_comparator	True	False	29	0.5447899406637762	0.1851880145997793	1.0	0.2232124072965394	29	0.5836179218052946	0.0714570630683884	1.0	0.2730071928268795	1	0.4348329109728769	0.4348329109728769	0.5	0.0388028263209689	1	0.428251767565128	0.428251767565128	0.4	0.0809023354272652	4	0.6420163748535692	0.4180350458861532	0.6	0.1554102336056025	3	0.4566157222901111	0.4180350458861532	0.6	0.0731691318797697	0.0003735075294601088	0.00673015551935502	caveated_public_or_overlap_expert	0.1851880145997793	-0.1441197691197691	0.35	0.25	True	False	False	True	True	False	diagnostic_or_ablation_only	remove public/overlap dependence or demote to ablation
TransPHLA	deep_immunogenicity	caveated_public_comparator	True	False	29	0.53499751481209	0.1764880952380952	1.0	0.22579585036476751	28	0.5998588962694449	0.0618252523516947	1.0	0.2451009575663819	1	0.4602644218991634	0.4602644218991634	0.7	0.0261232254136475	1	0.4560544338255843	0.4560544338255843	0.3	0.049381282604394	4	0.5841674272254087	0.4594898040401584	0.6	0.1510256871801431	3	0.4631400492560124	0.4594898040401584	0.6	0.0454092913327941	0.0003626122045417319	0.006533834895670211	caveated_public_or_overlap_expert	0.1764880952380952	-0.1047654505987839	0.35	0.25	True	False	False	True	True	False	diagnostic_or_ablation_only	remove public/overlap dependence or demote to ablation
PRIME	deep_immunogenicity	caveated_public_comparator	True	False	29	0.5781219468970705	0.1522498743086978	1.0	0.23142326040304784	30	0.5803730399980696	0.0617519573638631	1.0	0.2549354614573567	1	0.4077493702386812	0.4077493702386812	0.2	0.0319378338494743	1	0.3757351876888375	0.3757351876888375	0.2	0.0567452099046208	4	0.5712518873977392	0.3740732383763238	0.44999999999999996	0.14589096804134566	3	0.4300879226737442	0.3740732383763238	0.3	0.0441722744127921	0.00033239618926929386	0.005989378717631012	caveated_public_or_overlap_expert	0.1522498743086978	-0.1572309430765312	0.35	0.25	True	False	False	False	True	False	diagnostic_or_ablation_only	remove public/overlap dependence or demote to ablation
NetMHCpan_4.1	deep_immunogenicity	caveated_public_comparator	True	False	29	0.5011374173591836	0.1453431372549019	1.0	0.1712218274836125	30	0.5028156909035002	0.0682926397980161	1.0	0.24405759338119065	1	0.4168241714571027	0.4168241714571027	0.5	0.0458198804570488	1	0.4116485054467135	0.4116485054467135	0.4	0.0333200951365261	4	0.572953052609395	0.3887201406130849	0.55	0.1571935690850888	3	0.4384986978113825	0.3887201406130849	0.5	0.061492711925093	0.0003319360564540638	0.005981087678865252	caveated_public_or_overlap_expert	0.1453431372549019	-0.1606843116034292	0.35	0.25	True	False	False	True	True	False	diagnostic_or_ablation_only	remove public/overlap dependence or demote to ablation
anchor_lr	internal_baseline	anchor	False	True	18	0.4873165777306329	0.09734392303433	0.5777777777777777	0.0860891735390653	14	0.5196825396825396	0.09734392303433	0.5777777777777777	0.1839906612869545	1	0.4593487844371471	0.4593487844371471	1.0	0.017934981706288	2	0.40661578338800297	0.3773754536315619	0.55	0.04647546047411524	3	0.693820809287662	0.4769059908645841	0.9	0.3541859355532065	3	0.693820809287662	0.4769059908645841	0.9	0.3541859355532065	0.030289041764893023	0.5457720274197069	secondary_diversity_expert	0.09734392303433	-0.2441170252896789	1.0	0.85	True	False	False	True	True	True	internal_support_only_until_stress_axes_pass	HLA stress rescue or allele support cap
