study	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10
ITSNdb_Val	9	5	0.5555555555555556	0.7226190476190477	0.6	0.2682967839676183	0.6	0.6	1.0799999999999998	0.5555555555555556	1.0	1.0
ITSNdb_main	80	16	0.2	0.3603151789434605	0.62890625	0.18713164855925712	0.6	0.1875	2.9999999999999996	0.4	0.25	2.0
