split_name	fusion	status	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	top10_precision
near_peptide_cluster_holdout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.25	exploratory	89	21	0.23595505617977527	0.48480557584726297	0.6897759103641457	0.2090571517035862	0.8	0.6
hla_stratified_group_5fold	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.47418151699319866	0.7128851540616247	0.19565178506313505	0.6	0.4
hla_stratified_group_5fold	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.5	prespecified_equal_weight	89	21	0.23595505617977527	0.4729134259114012	0.6918767507002801	0.19700674019016992	0.8	0.5
hla_supertype_heldout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.75	exploratory	72	15	0.20833333333333334	0.47034360676774223	0.7216374269005847	0.18819853845955262	0.6	0.4
hla_supertype_heldout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.25	exploratory	72	15	0.20833333333333334	0.4563471334116662	0.6467836257309941	0.226130522309292	0.6	0.5
hla_supertype_heldout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.5	prespecified_equal_weight	72	15	0.20833333333333334	0.45461605838186425	0.6795321637426901	0.20230478478443212	0.6	0.4
hla_stratified_group_5fold	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.4524003922071473	0.6799719887955181	0.19300916761435002	0.8	0.5
hla_stratified_group_5fold	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.5	prespecified_equal_weight	89	21	0.23595505617977527	0.44278256585611037	0.6939775910364144	0.20488928449314675	0.4	0.4
hla_stratified_group_5fold	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.25	exploratory	89	21	0.23595505617977527	0.4362840638245858	0.6708683473389356	0.22305185717148607	0.6	0.5
repeated_stratified_5x5_internal	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.5	prespecified_equal_weight	445	105	0.23595505617977527	0.4321762011216237	0.6446498599439776	0.2037655233327202	1.0	0.7
hla_stratified_group_5fold	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.25	exploratory	89	21	0.23595505617977527	0.4286277553370145	0.6680672268907563	0.2073320766089105	0.6	0.4
repeated_stratified_5x5_internal	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.75	exploratory	445	105	0.23595505617977527	0.4283128881896253	0.6341456582633054	0.1954295048258543	1.0	1.0
near_peptide_cluster_holdout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.5	prespecified_equal_weight	89	21	0.23595505617977527	0.4205459063493113	0.6743697478991597	0.20036353855917155	0.4	0.6
hla_stratified_group_5fold	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.4204219230008906	0.6554621848739496	0.19796963942096316	0.6	0.5
repeated_stratified_5x5_internal	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.5	prespecified_equal_weight	445	105	0.23595505617977527	0.41655749990178303	0.6575910364145658	0.19986316027947584	0.6	0.7
repeated_stratified_5x5_internal	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.25	exploratory	445	105	0.23595505617977527	0.4034290539593225	0.646358543417367	0.2130464378388018	0.6	0.7
repeated_stratified_5x5_internal	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.75	exploratory	445	105	0.23595505617977527	0.3984649719433039	0.6548459383753503	0.19374694477402923	0.8	0.7
hla_supertype_heldout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.75	exploratory	72	15	0.20833333333333334	0.39612994961710785	0.7087719298245614	0.18722206152058155	0.4	0.3
repeated_stratified_5x5_internal	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.75	exploratory	445	105	0.23595505617977527	0.3846424479999941	0.646610644257703	0.196268863970071	0.8	0.8
hla_stratified_group_5fold	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.5	prespecified_equal_weight	89	21	0.23595505617977527	0.38436052291271916	0.6484593837535013	0.20786288138237927	0.6	0.5
repeated_stratified_5x5_internal	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.25	exploratory	445	105	0.23595505617977527	0.38146522060276	0.6333333333333334	0.21970584684305958	0.4	0.4
near_peptide_cluster_holdout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.37944950585012177	0.634453781512605	0.1977172342194638	0.4	0.5
hla_supertype_heldout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.5	prespecified_equal_weight	72	15	0.20833333333333334	0.3759371933687476	0.7251461988304093	0.19732200967749888	0.4	0.4
repeated_stratified_5x5_internal	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.5	prespecified_equal_weight	445	105	0.23595505617977527	0.37432918316387853	0.6470868347338936	0.205799722832232	0.4	0.7
near_peptide_cluster_holdout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.3716287647284307	0.6414565826330532	0.19918634034447164	0.4	0.3
near_peptide_cluster_holdout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.25	exploratory	89	21	0.23595505617977527	0.3656169844226298	0.6659663865546218	0.21599077015779072	0.4	0.5
near_peptide_cluster_holdout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.5	prespecified_equal_weight	89	21	0.23595505617977527	0.3652954501610432	0.6547619047619048	0.2041438508355809	0.6	0.4
hla_supertype_heldout	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.75	exploratory	72	15	0.20833333333333334	0.3536172466351495	0.688888888888889	0.18985174545602224	0.4	0.3
hla_supertype_heldout	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.5	prespecified_equal_weight	72	15	0.20833333333333334	0.34910904327588177	0.6783625730994153	0.20394417236928294	0.4	0.3
hla_supertype_heldout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.25	exploratory	72	15	0.20833333333333334	0.34104372010104167	0.6853801169590643	0.21411162780540552	0.4	0.3
repeated_stratified_5x5_internal	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.25	exploratory	445	105	0.23595505617977527	0.34047323894475257	0.6336974789915967	0.22329036790894488	0.4	0.4
hla_stratified_group_5fold	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.25	exploratory	89	21	0.23595505617977527	0.32757994388824185	0.6274509803921569	0.22501908476569937	0.2	0.2
near_peptide_cluster_holdout	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.5	prespecified_equal_weight	89	21	0.23595505617977527	0.30926781778614737	0.6134453781512605	0.21519565476332286	0.2	0.3
hla_supertype_heldout	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.25	exploratory	72	15	0.20833333333333334	0.30767722780174644	0.656140350877193	0.22608906407443563	0.2	0.2
near_peptide_cluster_holdout	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.3067395794208295	0.603641456582633	0.20456726674844497	0.2	0.3
near_peptide_cluster_holdout	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.25	exploratory	89	21	0.23595505617977527	0.2911449666672095	0.6050420168067226	0.23300340272909656	0.0	0.2
