failure_mode	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10	note
retrieval_clean_no_reference	89.0	21.0	0.23595505617977527	0.3882280067494419	0.6281512605042017	0.195339358881451	0.6	0.14285714285714285	2.5428571428571427	0.4	0.19047619047619047	1.6952380952380954	
source_protein_window_holdout													not available: source windows missing
study_heldout													not available: strict rows all ITSNdb
time_heldout_if_date_available													not available: only ITSNdb publication year currently populated
public_corpus_overlap_audit													partial only: in-house master overlap flag exists; public tool train rows not downloaded/audited
