endpoint	ep_label	panel	n_total	n_events	hr_per_sd	hr_ci_lo	hr_ci_hi	cox_p	hr_stageadj	cox_p_stageadj	hr_highstage	cox_p_highstage	n_highstage	ev_highstage	logrank_top30_p
OS	Overall Survival	DM1_truth_label	477	14	1.1564014090809815	0.31998566823815194	4.179137854165425	0.8245657558829647	1.3407019993619025	0.6555538382091757	9.459175028056652e-08	0.9954314554577903	140	8	0.8243435720901964
OS	Overall Survival	Full-8_score	477	14	1.1150443609170961	0.6535388471558988	1.9024483888352943	0.6895292133665487	1.203261098120293	0.49666378404323663	0.5787271575713413	0.23836591912104305	140	8	0.626321270425241
OS	Overall Survival	TSO500-3_score	477	14	0.8573007224948352	0.5144739958481673	1.4285746893358453	0.5545487887573228	0.9041526019855668	0.7242137706771145	0.6025228136032822	0.09788706489687776	140	8	0.8198049979879325
OS	Overall Survival	Compact-5_score	477	14	1.2688400697204478	0.75303103873287	2.1379664844058386	0.37108881679687433	1.4056071607381149	0.22991077680751654	0.5897652010400878	0.2717192916374179	140	8	0.9195836490383407
PFI	Progression-Free Interval	DM1_truth_label	477	49	0.8438875973346941	0.4207203927702126	1.6926830483453177	0.6326869273572913	0.9020240360305138	0.7730496226734748	0.6370286135377055	0.5464196699598141	140	19	0.6337332487344531
PFI	Progression-Free Interval	Full-8_score	477	49	0.8089592323853407	0.6015416356303968	1.0878964994263003	0.16073467141022474	0.8241923737405666	0.2040773632744234	0.8591681778720748	0.5180559468323409	140	19	0.032924997118632886
PFI	Progression-Free Interval	TSO500-3_score	477	49	0.9206746084363306	0.7062142728252726	1.2002614039904984	0.54130333686811	0.9296044755571949	0.599036479479695	1.307017360794509	0.3633541363681916	140	19	0.4672577051081216
PFI	Progression-Free Interval	Compact-5_score	477	49	0.9752009966629192	0.7309020687657031	1.3011551403847612	0.8644753942431733	0.9942946821429406	0.9693791774468291	1.1677026514499733	0.5060646582726405	140	19	0.42213753888890515
DSS	Disease-Specific Survival	DM1_truth_label	471	5	0.9374350568124387	0.10384269403043948	8.462651069928345	0.9541058473490985	1.0733686772874742	0.949674003710968	2.4949525552444696e-07	0.9951763393116336	136	3	
DSS	Disease-Specific Survival	Full-8_score	471	5	0.9134213472815284	0.36274810341215113	2.3000494001801424	0.8475890045600902	0.9606454540825188	0.9331488162704498	0.3970218028681311	0.18811651125180107	136	3	
DSS	Disease-Specific Survival	TSO500-3_score	471	5	1.0090581906515954	0.3831598070803852	2.6573727549337085	0.9854378072008084	1.0454363525578159	0.9348296378952177	0.6491502782720179	0.37888747325371097	136	3	0.6962734033643976
DSS	Disease-Specific Survival	Compact-5_score	471	5	1.1362777266806352	0.46800755439944286	2.7587739984396484	0.7777200134112614	1.2139248088730146	0.6871825410384194	0.4375681180885231	0.22415582056218236	136	3	
