lineage	outcome	n	events	covariates	HR	HR_lower95	HR_upper95	p	concordance	fdr
brain lower grade glioma	DSS	521	123	DM1_like+age	44.73834840760912	8.120433158502506	246.47944009549886	1.2683393359069306e-05	0.7681967681967682	0.0003678184074130099
lung adenocarcinoma	DSS	508	125	DM1_like+age+stage_int	19.029118483441643	3.3672102331211797	107.53927589523002	0.0008562645495848132	0.7134239995531849	0.012415835968979792
uterine corpus endometrioid carcinoma	DSS	549	60	DM1_like+age	0.0822671492145754	0.016780919078250453	0.4033082936836866	0.0020735106503367694	0.6199672342749343	0.020043936286588772
liver hepatocellular carcinoma	DSS	375	77	DM1_like+age+stage_int	9.640121549023387	1.507567119010389	61.64365241724581	0.016684531679357	0.7150907091808686	0.11437758747718296
breast invasive carcinoma	DSS	1149	101	DM1_like+age+stage_int	11.406837868480311	1.4226461637693457	91.46051454779882	0.021913230545304252	0.7585039190320372	0.11437758747718296
lung squamous cell carcinoma	DSS	475	98	DM1_like+age+stage_int	11.3500022310209	1.383840075561096	93.09063447374628	0.023664328443555097	0.6556533571458945	0.11437758747718296
adrenocortical cancer	DSS	76	26	DM1_like+age+stage_int	0.011290630849535771	0.00016374354985357795	0.7785243760409616	0.03790582137639475	0.7743161094224924	0.149445556528103
colon adenocarcinoma	DSS	446	63	DM1_like+age+stage_int	11.62873421821529	1.0932566619391388	123.6923260801673	0.041964063437059294	0.8236243343553332	0.149445556528103
kidney papillary cell carcinoma	DSS	286	31	DM1_like+age+stage_int	16.246112931254363	1.0457426517491588	252.39114511930637	0.04637965547423886	0.9205541915117502	0.149445556528103
head & neck squamous cell carcinoma	DSS	463	133	DM1_like+age+stage_int	7.451733915551163	0.9651118646720082	57.53564988763938	0.05411536091684413	0.5996217374858152	0.1500016447427851
stomach adenocarcinoma	DSS	384	93	DM1_like+age+stage_int	0.14265055361028656	0.01921915473424823	1.0587968475564287	0.056897175592090905	0.6591513861338236	0.1500016447427851
glioblastoma multiforme	DSS	155	120	DM1_like+age	5.7834832901656625	0.7326391747216213	45.655051110711945	0.09594377087291034	0.6086559323969396	0.2196193255824223
thyroid carcinoma	DSS	563	10	DM1_like+age+stage_int	0.33925804115312147	0.09412002646361506	1.2228642809779373	0.09845004250246518	0.9393939393939394	0.2196193255824223
ovarian serous cystadenocarcinoma	DSS	284	156	DM1_like+age	0.2614324238992758	0.0411361089815154	1.6614821857984297	0.15506429384845036	0.602821593024395	0.3002158932166334
uveal melanoma	DSS	79	20	DM1_like+age+stage_int	40.40217506894419	0.24597447250807827	6636.199820483431	0.15528408269825864	0.7805405405405406	0.3002158932166334
mesothelioma	DSS	65	43	DM1_like+age+stage_int	33.96267191992774	0.20515438997976096	5622.414826484779	0.1762704916478519	0.5777202072538861	0.31113227452034453
uterine carcinosarcoma	DSS	54	31	DM1_like+age	0.2017110536682321	0.019177053542363685	2.1216684347293877	0.18238788506365025	0.6323676323676324	0.31113227452034453
cervical & endocervical cancer	DSS	292	56	DM1_like+age	4.176773361608018	0.4054231518935682	43.0301911293367	0.22963861172581748	0.5782535330099136	0.36997331889159485
kidney clear cell carcinoma	DSS	587	125	DM1_like+age+stage_int	2.421524261316094	0.5319171308356453	11.02385956047405	0.2527697349302835	0.8415004514487401	0.3809328725183545
pancreatic adenocarcinoma	DSS	173	74	DM1_like+age+stage_int	5.996300038617283	0.25388154505038585	141.6235833368109	0.2669006983312961	0.580450917238482	0.3809328725183545
rectum adenocarcinoma	DSS	148	13	DM1_like+age+stage_int	24.37630308572362	0.07803981106864086	7614.115718507051	0.2758479421684636	0.759956942949408	0.3809328725183545
skin cutaneous melanoma	DSS	405	169	DM1_like+age+stage_int	0.40618256323929675	0.05757381904914798	2.865612832437018	0.3660881435548524	0.6267157584683358	0.48257073468594186
kidney chromophobe	DSS	89	10	DM1_like+age+stage_int	13.864193132750316	0.024573036953430223	7822.2261084977135	0.41597741952517675	0.9463414634146341	0.5244932680969621
esophageal carcinoma	DSS	168	40	DM1_like+age+stage_int	0.37873011644855736	0.02226643937972113	6.4418247865786205	0.5018723931965412	0.7955112219451371	0.5864515874714095
cholangiocarcinoma	DSS	43	20	DM1_like+age+stage_int	0.36985256877148776	0.017398156627567853	7.862380225392334	0.5236271220867583	0.5717439293598234	0.5864515874714095
