	sig_score	HLA_II	HLA_I	B_cell	TLS	g8_RAI	hashi_GMM	hashi_otsu	hashi_top10	hashi_top20	hashi_top30
GSM6590734	-1.3832632449515216	-0.6808663694494916	-0.43516722766912724	-0.6239083290474768	-0.522898100683085	0.6304513689456064	0	0	0	0	0
GSM6590735	-0.5535004230054311	-1.0626068993963773	-0.6605427011998071	-0.824964990105305	-0.4143601834406568	0.27607461999894933	0	0	0	0	0
GSM6590736	0.7168279323089901	1.052325448536532	0.9014440199889732	1.343062983426509	1.4874865618000264	0.21569197755917735	1	1	0	0	1
GSM6590737	-1.1144413908515256	-0.8502811019556896	-0.541323689675002	-0.6746585886937045	-0.30546208429303146	0.8667150791223509	0	0	0	0	0
GSM6590738	-1.2506008518830223	-0.7572154960425587	-0.7715984073492188	-0.609547629868231	-0.2924548844108195	0.6721873030319477	0	0	0	0	0
GSM6590739	-1.477503144931107	-1.011171902028447	-0.7752209882000929	-0.7343997547398247	-0.7495183335367005	1.0651051535862142	0	0	0	0	0
GSM6590740	-1.2118254116250342	-0.28117822669779446	-0.2546314607278396	-0.6437635509510344	-0.27485383851423834	0.8166410176086167	0	0	0	0	0
GSM6590741	-1.467711983325287	-0.5755052500924493	-1.0081827652950586	-0.48983177866275684	-0.3726019499751014	0.8376075687296134	0	0	0	0	0
GSM6590742	1.8004469675460133	1.413658602385021	1.3638069403344382	2.0452467989854446	1.9691766388976275	0.5316912110282487	1	1	1	1	1
GSM6590743	-1.2533217291737468	-0.10000507429389478	-0.3022650026503555	-0.5053430032940095	-0.13369453229263414	0.5429195339901107	0	0	0	0	0
GSM6590744	2.1386422118447186	1.8781987801912376	1.672915599037206	2.3554752599804463	2.5728221614248437	0.12414663224074254	1	1	1	1	1
GSM6590745	-0.9471134074247212	-0.46074985491178405	-0.4476836138417448	0.49353078883916773	0.22557582771884985	0.792747302002464	0	0	0	0	0
