	sig_score	HLA_II	HLA_I	B_cell	TLS	g8_RAI	hashi_GMM	hashi_otsu	hashi_top10	hashi_top20	hashi_top30
GSM6590746	-0.8457092573704501	-0.8864952609827981	-0.8602408116767593	-0.5700216062498792	-0.11561592902734567	0.2888763869653063	0	0	0	0	0
GSM6590747	-1.1106862683654057	-0.3324174578219825	0.18421497412123922	-0.6820355625187088	-0.28557743903761773	0.3103203139985401	0	0	0	0	0
GSM6590748	-1.2717503339648124	-0.7864544362984278	-0.5925663228082751	-0.21785156846830644	-0.26828568918088086	0.838867655272212	0	0	0	0	0
GSM6590749	2.2104804389692907	1.8988983686415737	1.5792994637708153	2.5473162609067788	2.7713399106763563	0.3296683231223583	1	1	1	1	1
GSM6590750	-0.935914818332109	0.044782325361752265	0.34321400076203457	-0.35048460574763984	0.12292541634083054	0.6779140695988622	0	0	0	0	0
GSM6590751	-1.4769988225550224	-0.5790564239129026	-0.5358238143240454	-0.5431108901043282	-0.3188253881202024	0.6368973863432104	0	0	0	0	0
GSM6590752	-0.24841331183202153	0.20867342316321272	0.354283881867693	0.6075024061517499	0.7437565631462918	0.9034660651568223	0	0	0	0	0
GSM6590753	-0.5104833671975257	-1.2223528792078349	-1.0788331252839127	-0.5435146396350062	-0.7356208148843323	0.5382042240723417	0	0	0	0	0
GSM6590754	-0.22575448007624416	0.6582186256592099	0.9609661744510759	0.3722147400839602	0.6685046315614969	0.9078934186050834	0	0	0	0	0
GSM6590755	-1.5658495070577616	-1.1265104120753549	-0.8762763729375774	-0.651919448136353	-0.6487581311387339	0.9456355770023269	0	0	0	0	0
GSM6590756	-0.6711129601235608	-0.40666237870310634	0.064673669338216	-0.2740638710979956	-0.21223000153051066	0.40400872186897996	0	0	0	0	0
GSM6590757	-1.4099102340111087	-1.0749744412433055	-0.7154055932675186	-0.6603026966651946	-0.5678277949381451	0.7493848229145578	0	0	0	0	0
GSM6590758	-1.1118116166524594	-0.6298477231676782	-0.4643309777007965	-0.44062902818601035	-0.22487167799820565	0.7280180115703523	0	0	0	0	0
GSM6590759	-1.2453168484074948	-1.0474744793850177	-0.6589131061095528	-0.6799088597400543	-0.6347723014958232	0.7701749074607646	0	0	0	0	0
GSM6590760	-1.1905106602191573	-0.2538300405492357	-0.03354509093093494	-0.5353730851538743	-0.4186303038141613	0.6911701351547518	0	0	0	0	0
GSM6590761	0.7531015728256407	1.047314124304074	1.0501999176294607	1.274793895275855	1.476875957199996	0.22496476344462207	1	1	0	0	1
GSM6590762	-1.0866389794398572	-0.631545548611445	-0.5109149278035563	-0.5013118770276548	-0.4211980759783998	0.6410886974292258	0	0	0	0	0
GSM6590763	0.2749033238138802	1.5034426250426653	1.6987200032323952	0.502727182849425	1.100497520693011	0.710538891563324	0	0	0	0	0
GSM6590764	-1.293679878391939	-0.5514064086825191	-0.23382300135189726	-0.4370986444913116	-0.536182470932281	0.9148709053791743	0	0	0	0	0
GSM6590765	-0.15050150061910245	0.051141564070243464	-0.06719277515843898	0.4318887057493224	0.41920240934988845	0.7132897850404911	0	0	0	0	0
GSM6590766	0.78920774141038	0.7134744006374707	0.8805094419176945	1.0830240469310113	1.11571849018662	0.7153384094808475	1	1	0	0	1
GSM6590767	1.4661682410721169	1.4643891805091425	0.9869260037236849	2.1954957871875536	2.3585593295232337	-0.16411881773002177	1	1	0	1	1
GSM6590768	-0.841727428353551	-0.6479903606853235	-0.6152251121877412	-0.3395469683756529	-0.30084396483864	0.7785004588455307	0	0	0	0	0
GSM6590769	-0.9740353167556417	-0.3999262004418661	-0.20436158615455846	-0.43562576710618145	-0.29878957142653406	0.8048031583106063	0	0	0	0	0
GSM6590770	-0.884628648131692	-0.542784652642261	-0.3672310012505183	-0.22791867430979781	-0.3508151977858018	0.7924564429482532	0	0	0	0	0
GSM6590771	0.31131362855851524	0.6439593039950504	0.7079347430288577	1.2422186675306726	1.2517296917539527	0.4356839990086457	0	0	0	0	0
GSM6590772	-1.3702728446978805	-0.5119154291676772	-0.5782064691188702	-0.6050255841535993	-0.5713028145023805	0.5647124198933527	0	0	0	0	0
GSM6590773	-1.138332207542589	-0.7698435464936835	-0.30524450237844253	-0.5141654844164142	-0.5198777614907818	0.8935683598198149	0	0	0	0	0
GSM6590774	-0.41213186118899814	0.32076132840316707	0.1860257741329697	0.5338977241793905	0.7724706112409065	0.45294435667051836	0	0	0	0	0
GSM6590775	2.3376404052243385	1.6252140189545905	1.3871969625496923	2.6024068170594985	2.8002190108833815	0.24892331332830697	1	1	1	1	1
GSM6590776	-0.7890383168655412	-0.2406257802360865	-0.2667592481067009	-0.3990061665199707	-0.07104272929817279	0.7011660991508298	0	0	0	0	0
GSM6590777	-1.2639947464871084	-0.5080803052247618	-0.5043030818622128	-0.47245321015191893	-0.24323491103648673	0.5493126099637907	0	0	0	0	0
GSM6590778	0.24076441928647319	1.2978623344643918	1.3461234781660523	0.10710239034804463	0.8289271456295241	0.020005109995323928	0	0	0	0	0
GSM6590779	0.44319595210427676	0.7978758128627899	0.5152250399347414	1.2994674579897534	1.5406434948339138	0.373740919907668	0	1	0	0	1
GSM6590780	-1.3941122333279172	-1.0052762412438234	-0.4581303108902504	-0.4740012083256399	-0.632789421788356	0.8441814130764094	0	0	0	0	0
GSM6590781	0.13986676697436362	0.3483000921902645	0.6296166366045098	1.1735056841793394	1.12604456506222	0.5201573857893456	0	0	0	0	0
GSM6590782	-0.9422124230845772	-0.11240857260572748	0.18589585788767796	-0.48626448407099687	-0.3396106826794894	0.47809837250841725	0	0	0	0	0
GSM6590783	-1.4741021566382755	-0.6644445231354634	-0.1277589253944838	-0.5415785535967665	-0.4946142737991432	0.5208278704250935	0	0	0	0	0
GSM6590784	-1.462057481585357	-0.6034601812565332	-0.5542543192681986	-0.545381192031318	-0.4324275380948203	0.6300882585602885	0	0	0	0	0
GSM6590785	0.31815524573795084	-1.1292455987549521	-1.9699325401551806	-1.2902965221637495	-0.9771648370857265	-2.5842017044569636	0	0	0	0	0
GSM6590786	-0.357009756304576	0.09182499955650035	-0.1306217671816866	0.31477388193305883	0.495031105719415	0.736794958444641	0	0	0	0	0
GSM6590787	-0.4695871275584438	-0.6299508529689981	-0.2081054764221389	-0.19976331355230237	-0.19255992543292966	0.8077960844621601	0	0	0	0	0
GSM6590788	0.261567444428785	0.09593078437976435	0.34729582616121313	0.4219742481462137	0.17272839118898545	0.5003544491433123	0	0	0	0	0
GSM6590789	-0.3119607630103053	-0.7430669594188115	-0.24902172592209526	-0.0537854897433478	-0.2468878620036917	0.3935556413202875	0	0	0	0	0
GSM6590790	0.273402815958223	0.12440856516740997	0.5164749495238493	0.8248632114497391	0.4848492111906045	0.5216981953551425	0	0	0	0	0
GSM6590791	-0.3947202355978745	-0.7333975451199736	-0.9408634915006472	-0.0940351471039909	-0.29985517749683815	0.6471734065560947	0	0	0	0	0
GSM6590792	-0.9226533339761325	-1.0311137978324738	-1.2568310916762062	-0.4647461567375515	-0.6850533541346496	0.6534928299102829	0	0	0	0	0
GSM6590793	-0.8415925287425587	-1.5892500442654718	-1.3656901990102468	-0.49735334423814387	-0.7627631878722684	0.6904234891470844	0	0	0	0	0
GSM6590794	2.5999903318517497	1.1272731790054922	0.9933583252860948	2.6806289407128756	1.8072406439370294	-0.6001772142155055	1	1	1	1	1
GSM6590795	1.5379934886900217	0.39084014914185344	0.41884197033714166	2.262339333784697	1.6174729089961495	0.2986916516189763	1	1	1	1	1
GSM6590796	-0.7794957110775773	-1.240463510728349	-1.0208390733103176	-0.6692253888262826	-0.7259051559564912	0.3458882780659237	0	0	0	0	0
GSM6590797	-0.7994448810173435	-1.2292303769309032	-1.2304850669958358	-0.6261010799173807	-0.8259069172453365	0.9603927931400351	0	0	0	0	0
GSM6590798	-0.8374137396817842	-1.3595128258524825	-0.6661298472056248	-0.29400239614329565	-0.5444132187257945	0.5607491545312915	0	0	0	0	0
GSM6590799	-0.64473662232945	-0.7942088938038341	-0.8502963514097759	-0.6691831921961895	-0.5792391694073998	0.0495003680786434	0	0	0	0	0
GSM6590800	-0.2572080761117764	-0.6810077389173206	-0.7073466635035629	0.05438216629369321	-0.30408084019029996	0.8235361408097457	0	0	0	0	0
GSM6590801	1.5999074392268988	0.3936572013326655	0.4262366539950552	2.2593314872157215	1.2962345879536752	0.07655650602085586	1	1	1	1	1
GSM6590802	-0.622741260064694	-0.5703657958236314	-0.6782374977148802	-0.5498104717592388	-0.5287059943628106	0.3132947077371633	0	0	0	0	0
GSM6590803	0.2805259624512425	0.1841006174625775	0.061260549189847815	0.024726090340316375	-0.02021701685002802	0.270642899277557	0	0	0	0	0
GSM6590804	-0.7639029646974721	-0.7097943878603638	-0.7389394657216671	-0.550930831965709	-0.7282508916229421	0.4748438277967457	0	0	0	0	0
GSM6590805	0.062138726572156466	-0.519366155370788	-1.0499247078877112	-0.756216721941878	-0.8543022689056259	-0.6842185014583606	0	0	0	0	0
GSM6590806	-0.8828993358751633	-1.286125945960557	-1.1433840238963997	-0.6560776354824952	-0.7786268891789258	0.5617676978184587	0	0	0	0	0
GSM6590807	-0.38945823401493673	-1.4706574872603073	-1.6094154298200505	-0.14951328609449271	-0.6323072791715528	0.013889792790165601	0	0	0	0	0
GSM6590808	0.09602731878164225	-0.4306856928551165	-0.48547072190200385	0.9773343908909737	0.35703880190506615	0.7368363173217752	0	0	0	0	0
GSM6590809	-0.9269332675533363	-1.0519386239081328	-0.9218302835875161	-0.5623103490509774	-0.7404957613850752	0.31438693284950514	0	0	0	0	0
GSM6590810	-0.5864490043921423	-1.3493070482907885	-1.5131256262812385	-0.4413233682977657	-0.7099975682105106	0.09478025324844153	0	0	0	0	0
GSM6590811	-0.7818681569374566	-1.6586289536489716	-1.4880380994206648	-0.6084870266815254	-0.8459251100536589	0.47317006765239644	0	0	0	0	0
GSM6590812	-0.7595374214445729	-1.1522551422183773	-1.164371695017244	-0.5756914048595808	-0.6654148393618035	0.3702623795092034	0	0	0	0	0
GSM6590813	-0.030932436508773642	-0.3182540357075287	-0.1463152888732874	-0.9717004838522221	-0.6694047724943347	-0.6760870954631103	0	0	0	0	0
GSM6590814	-0.438331112465902	-0.6774446641516321	-0.14416423022001962	-0.14041014798496834	-0.3331074877966472	0.4531689413481048	0	0	0	0	0
GSM6590815	-0.8167904509788506	-1.4471048332852177	-1.0592593999306947	-0.3815326986120495	-0.7558396135031528	0.5981223626521057	0	0	0	0	0
GSM6590816	-0.8168768434348136	-1.2975416797655814	-0.9187146174063705	-0.6066537957923089	-0.851532815594461	0.6561942605990849	0	0	0	0	0
GSM6590817	-0.11904695804356308	-0.9890656458237943	-0.9123840595860712	0.4809713425740967	0.12639073493017486	0.3170752629027241	0	0	0	0	0
GSM6590818	2.260260862022644	0.9424529098349297	1.2051428310557932	2.0411813787517272	1.5731817503304928	-0.1926780675182134	1	1	1	1	1
GSM6590819	-0.9297962517820642	-0.7595984261576472	-0.631126288373098	-0.5410230795557635	-0.7216458508024033	0.48039205942535096	0	0	0	0	0
GSM6590820	-0.9513458901370885	-0.9599376242374257	-1.0931546120101485	-0.579104430666324	-0.6704779619105117	0.5138462990067962	0	0	0	0	0
GSM6590821	0.03248995859471761	-0.3813204585823862	-0.35476368271230346	0.6964206553182254	0.21131900924410027	0.5972673814848436	0	0	0	0	0
GSM6590822	-0.4382986736715295	-0.9952439879960299	-1.2596686915989403	-0.31908729344202846	-0.6608748462773387	0.0018801853199414686	0	0	0	0	0
GSM6590823	-0.17524391742705753	-0.9129991209126631	-0.31447707073678316	-0.23718665734912117	-0.44514942852327705	0.6914447093504466	0	0	0	0	0
GSM6590824	-1.0954437277759954	-0.5580058295556094	-0.0842536378100415	-0.6062093572200578	-0.26860938839202736	0.707780917093944	0	0	0	0	0
GSM6590825	-1.3085567854575277	-0.9946841348454608	-0.5844077257414596	-0.6702916736192189	-0.6154691780611864	0.8186714485933465	0	0	0	0	0
GSM6590826	1.6998120169140152	0.6776898326999417	0.8349707592190153	1.909425531768006	1.2628132632771034	0.448667134569579	1	1	1	1	1
GSM6590827	2.0818677258433267	0.21286246416600835	0.9008076086393663	1.8105361421846133	1.2191702273080245	0.23569476494583994	1	1	1	1	1
GSM6590828	-0.6150928397317001	-1.0407298236037814	-1.291517104216586	-0.4230503249950184	-0.5787963926163843	0.12475028927189277	0	0	0	0	0
GSM6590829	-0.9573473211034661	-1.5610877688121687	-0.7589408383791132	-0.4766722231971295	-0.8007798829788862	0.9373239325527412	0	0	0	0	0
GSM6590830	0.03292150364901952	-0.6525336780217954	-0.401712995580421	-0.16756368785050477	0.16872444008558526	-3.779698684277839	0	0	0	0	0
GSM6590831	-0.6622291468855496	-0.7271798390332092	-0.6509618850093649	-0.059391940637098434	-0.14013192548741865	0.9294864627954994	0	0	0	0	0
GSM6590832	1.317242616794027	0.17967836789944558	0.38572635124327764	0.9393185226017162	0.5226829026030329	0.6508941331561141	1	1	0	1	1
GSM6590833	-0.7001658809375995	-1.3612500538687788	-1.588496816908711	-0.5723355052298378	-0.7913691257541128	0.6679069417703581	0	0	0	0	0
GSM6590834	3.002541106335865	1.1281767845358979	1.005782024648946	3.0494596780494962	2.1487269233440993	-0.952526375361681	1	1	1	1	1
GSM6590835	-0.9177608341565613	-1.4315533077764604	-1.239519877798922	-0.6192415901670588	-0.8708736166609564	0.4929064896513492	0	0	0	0	0
GSM6590836	-1.4118283499058897	-0.07041615878362566	-0.39471838414278654	-0.6505120054522143	-0.19381464684377656	0.5370079288237258	0	0	0	0	0
GSM6590837	0.6936888739743184	1.1152602170284007	1.413302217321196	1.6334320815832974	1.6739515345660942	0.6954993848673748	0	1	0	0	1
GSM6590838	0.22019606703592232	-0.9944084861493812	-1.215071413932016	0.9499497392740347	0.34617675473062004	0.27373079650962506	0	0	0	0	0
GSM6590839	-1.34915243374491	-1.3658291934558917	-1.0780829706796295	-0.6384777287897633	-0.7921735141634042	0.9528199095034534	0	0	0	0	0
GSM6590840	-1.7344257989979408	-0.738410987350873	-0.7855737417023384	-0.638488545116742	-0.5760161540741884	0.5002417658151466	0	0	0	0	0
GSM6590841	-1.3889467463138572	-0.6029599290313665	-0.4577889251601406	-0.33196814593333196	-0.3275391446977578	0.5251740505244212	0	0	0	0	0
GSM6590842	-1.7073461329330089	-1.0484007003226004	-0.667434195381284	-0.5697851709122222	-0.5886194236248861	0.975371069662095	0	0	0	0	0
GSM6590843	-1.5177517483866065	-0.7487822733764473	-0.6123932506451623	-0.28515911154233115	-0.559805622593618	0.9586424575367887	0	0	0	0	0
GSM6590844	-1.3906512415363064	-0.9196659060023379	-0.8318676158164998	-0.6265944613919133	-0.5559609388815409	0.8250022063930733	0	0	0	0	0
GSM6590845	0.6335970822873276	0.5487450877176091	0.17341129106696668	1.7899612003822536	1.6534519425537233	0.9664404975783638	0	1	0	0	1
GSM6590846	-1.5051941858890951	-0.836062954692754	-0.6308971619925585	-0.5661562791572571	-0.6215840733628769	1.050146777573721	0	0	0	0	0
GSM6590847	-1.745139247706717	-1.1949082190624256	-1.059828502757677	-0.6482843332124791	-0.5660202133021254	0.7883687827397946	0	0	0	0	0
GSM6590848	-1.5203898960543905	-1.1769065867368733	-0.9582116887381886	-0.6449783314515404	-0.6382561335379189	1.0187535976588065	0	0	0	0	0
GSM6590849	-0.48272599886163237	0.5077591810843759	0.5951840548832046	0.3047771236967215	0.470777490783533	0.7709869742740604	0	0	0	0	0
GSM6590850	-0.5885774307309208	0.31321291122609674	0.3377878754425883	0.5249621803262342	0.7426864035785089	0.3009543649702719	0	0	0	0	0
GSM6590851	-1.3908648710929574	-0.7614395638218683	-0.8234961514469895	-0.6297769137755052	-0.564624701437659	0.9800573721504322	0	0	0	0	0
GSM6590852	2.1500783683956386	1.6217817704079085	1.5142715090726684	2.699581612524112	2.7596288110458365	0.14841166642922113	1	1	1	1	1
GSM6590853	-0.49864120220722447	0.1836249575341974	0.09820166533242461	-0.3582627958704398	0.06252861343917826	0.3780100489384591	0	0	0	0	0
GSM6590854	-1.366949259743556	-0.5022456081555768	-0.632157091636264	-0.46974069938472923	-0.23716375789974622	0.7589596419066028	0	0	0	0	0
GSM6590855	1.9047690710140546	1.4623166185498564	1.4572990125015408	2.5190358899262044	2.5921974937134196	0.08166311586039038	1	1	1	1	1
GSM6590856	-0.7005177110466261	-0.15107846269396477	-0.19305407516852768	1.0523268319148047	0.8776758735766835	0.885605673584832	0	0	0	0	0
GSM6590857	-1.3798197006296387	-1.234255647901041	-1.4901953530936083	-0.6800345556431017	-0.7415117301692978	0.7456085890626244	0	0	0	0	0
GSM6590858	-1.385435088295917	-0.7422566498330327	-0.7556265076046433	-0.49207125547653074	-0.407679235216791	0.40628661518138687	0	0	0	0	0
GSM6590859	-1.5595771548755395	-0.3384220149571638	0.09997517747406581	-0.30364251693401006	-0.09858602583383885	0.6272462719726457	0	0	0	0	0
GSM6590860	-1.4545585378228008	-0.33053571152272393	-0.4274162242641651	-0.619512466917422	-0.47131245238046526	0.8490274015546551	0	0	0	0	0
GSM6590861	-1.1068726269587337	-1.4833736741210815	-0.8809635629381395	-0.6164569691014828	-0.6238605785602341	1.034883284280929	0	0	0	0	0
GSM6590862	-1.7180867553453996	-0.4369973257473096	-0.4095832379342077	-0.7038142375713304	-0.3949308816209492	0.8214033152168585	0	0	0	0	0
GSM6590863	-1.7740836907420592	-0.5497661038361139	-0.4284154266133035	-0.6674023795286791	-0.4629929150370635	0.6404924797583458	0	0	0	0	0
GSM6590864	-1.2034514304993051	-0.4483189647078795	-0.1815665638402229	-0.5885759902857238	-0.25288107982865954	0.6677090765448798	0	0	0	0	0
GSM6590865	-1.0181384625393632	-0.04317883483529835	0.2806552921103196	-0.2015184689104128	-0.0638033394370582	0.44444660310756556	0	0	0	0	0
GSM6590866	0.5483920590842026	0.7369873908395121	0.45379874635369766	1.9276692701808846	1.7259692659250365	0.6826919600281239	0	1	0	0	1
GSM6590867	-1.6308422836878158	-1.284248104368899	-0.9311038044305153	-0.786722016220761	-0.7522690050645404	0.9346912599693697	0	0	0	0	0
GSM6590868	-1.8330285883965483	-1.4284301635149919	-1.2122578203626768	-0.6345121014622653	-0.8979007120184627	0.9858545503235825	0	0	0	0	0
GSM6590869	-1.2649907207408895	-0.23882761262305965	-0.2185828607356736	-0.6736827968142235	-0.4641703205094778	0.9959768809044511	0	0	0	0	0
GSM6590870	-0.9499500560186052	-0.7394196297557734	-0.6024434159955965	-0.3429702563477073	-0.39514014799831415	0.9261639073079615	0	0	0	0	0
GSM6590871	-1.3933610681612332	-0.4058894024959342	-0.5191759533117146	-0.4818111094672332	-0.33021478685803923	0.6940695594312661	0	0	0	0	0
GSM6590872	0.4603359107959553	-0.3468025191436113	-0.20230789072979583	-0.7370665964459334	-0.3346802269726353	-3.077859636721175	0	1	0	0	1
GSM6590873	-1.1591693490639106	0.04748181059852987	0.010656521077135554	-0.17839357806149617	0.012155631853177029	0.8953651591755737	0	0	0	0	0
GSM6590874	-0.8480690971739697	-0.11560190549491389	0.06555310046483469	0.09325075277105077	0.17675546840608658	0.4358386128657322	0	0	0	0	0
GSM6590875	-1.670754628003511	-0.8578911426269403	-0.8017790479676966	-0.5292665658348942	-0.44947009334526933	0.7623275558482853	0	0	0	0	0
GSM6590876	0.7847107989796156	-0.21291894833027572	-0.040666909925343685	0.7156824907245446	0.12003314759609007	-0.6047813704729744	1	1	0	0	1
GSM6590877	-0.5450063031876649	-1.4003660616921294	-1.7677164897647133	-0.5424483803080448	-0.8014093984627708	0.624260717137424	0	0	0	0	0
GSM6590878	-0.4606385750606535	-0.9450308314656735	-1.4512747504329981	-0.5074390184208538	-0.6808311902748617	0.5908082319326754	0	0	0	0	0
GSM6590879	-0.6131826240064542	-1.040760662196326	-1.544208059716664	-0.5055976724688193	-0.6729394869498089	0.4975932881758268	0	0	0	0	0
GSM6590880	-0.8788527454918781	-1.319878781084622	-1.5932751302504966	-0.719234799543497	-0.9460711129522116	0.5464971332928041	0	0	0	0	0
GSM6590881	0.24615927406508564	0.6292587051289623	0.6728580457008979	1.486444647552857	1.4099634323229406	0.6993407870717026	0	0	0	0	0
GSM6590882	2.012674309112772	1.5360552903078957	2.0371640717617367	1.8172139936334955	1.992728942815163	-0.12553136376900198	1	1	1	1	1
GSM6590883	0.3510884963904547	0.5079105208969608	0.6089665840972572	1.3488282228606518	1.1331474776390202	0.26068000956780957	0	0	0	0	0
GSM6590884	-1.564424928594561	-0.5346263458655378	-0.6705885342881951	-0.4560079653795975	-0.418117840681752	0.8141164430775818	0	0	0	0	0
GSM6590885	-1.2901740143283909	-0.7403384606520388	-0.6283701726268194	-0.5284055680545492	-0.3529890095112638	0.8671562285570058	0	0	0	0	0
GSM6590886	1.0167466909612364	1.3119534194179898	1.135720466859892	2.4414692425322593	2.4987936470052325	0.4978083965008649	1	1	0	1	1
GSM6590887	-1.1553445425552877	-0.9312225129546613	-0.1254788232068573	-0.292819658981228	-0.3854373643330928	1.1670903344680839	0	0	0	0	0
GSM6590888	-0.15558986235684785	0.48739170555425826	0.6795111809224882	0.4462067317357232	0.25221708800205983	0.8267350934866735	0	0	0	0	0
GSM6590889	-0.9521202382906528	-0.2750176204219784	-0.14544697878028287	-0.34021580813064506	0.035558497889523775	0.4704980027838206	0	0	0	0	0
GSM6590890	-1.5511936139448894	-0.7346856906320732	-0.539299814115168	-0.46990797954629593	-0.4003281268521735	0.7854531337469643	0	0	0	0	0
GSM6590891	2.350085848848719	1.7436226028968427	1.2646871474504882	2.976018229392475	2.7713565703826464	0.33555947951676796	1	1	1	1	1
GSM6590892	-0.42593063225035543	0.39056201184542416	0.24340358828061437	1.0238576366183694	0.956945569695597	0.7833634279690325	0	0	0	0	0
GSM6590893	-1.4287911421154043	-1.3941637805945335	-1.07759263259994	-0.6017618451916377	-0.7337964607498227	0.7294719161190375	0	0	0	0	0
GSM6590894	2.2370001356316296	1.1627442250115938	1.2974905869339848	2.096062589827023	1.6648348988250383	-0.18340309392175314	1	1	1	1	1
GSM6590895	-0.9409351692954789	-1.0088645193735746	-0.5979236377825505	-0.7306332873361757	-0.7402870739395606	0.3868890134907975	0	0	0	0	0
GSM6590896	-1.4384841021650503	-0.3923115659699422	-0.3972625913767974	-0.5912060711407752	-0.20136472975891131	0.37405508329736475	0	0	0	0	0
GSM6590897	1.3514386394785922	-0.027949933027580663	0.0425636299334774	1.6799555797927248	1.0084630176310754	0.37293691884960767	1	1	0	1	1
GSM6590898	0.16303573314642583	-0.46291209802324634	-0.7091706219319234	-0.9264268452155123	-0.6884734961037199	-2.885687383232889	0	0	0	0	0
GSM6590899	-0.7553638690210835	-0.35406969127312515	-0.6683922245068945	0.4072167307189392	0.24620978401417518	0.7082477582843933	0	0	0	0	0
GSM6590900	-1.0271085166523906	-0.0903385611895544	-0.2693542959171191	-0.47726173200977556	-0.06364847923725431	0.4088967643279439	0	0	0	0	0
GSM6590901	-0.47682213082457436	-0.8319482801356317	-1.210211011524503	-0.48111213252156254	-0.692240558720374	0.6918479273378008	0	0	0	0	0
GSM6590902	-0.8550464548226026	-1.2195249293145078	-1.0351096524619683	-0.6661011381214389	-0.655317894041133	0.5202637333524789	0	0	0	0	0
GSM6590903	0.9483318741863322	-0.8052992908417318	-0.19581300575021152	-0.77591142443072	-0.1156726929656456	-3.330487685460284	1	1	0	1	1
GSM6590904	0.14552797824022037	-0.35134116600414583	-0.8430089803096599	0.3868431376209653	0.035627349329002814	0.39364371400248716	0	0	0	0	0
GSM6590905	-0.31321194442987166	-0.7049239236299982	-0.3672819504875138	0.417776298060545	-0.03968254874247747	0.5019863333414633	0	0	0	0	0
GSM6590906	1.018064728548629	0.5941212907943492	0.14068181653448664	1.8207860912898497	1.2212423719157837	0.42963548473842383	1	1	0	1	1
GSM6590907	-0.7725310507165528	-1.6330891241142091	-1.5438091356788712	-0.617162260673393	-0.9671980523842197	0.6320946840233701	0	0	0	0	0
GSM6590908	1.764366642151876	1.7455865182801649	1.7690026522586009	2.2506069020470885	2.363703622477784	0.47932148316953616	1	1	1	1	1
GSM6590909	-1.544659112712412	-0.6283335284174245	-0.2458916275868759	-0.4929760974586979	-0.42550791156142526	0.9637005367892124	0	0	0	0	0
GSM6590910	0.9134883476866983	0.059475507082331625	0.03714019927508035	1.5752945747261708	1.038570695157291	0.6776020545229303	1	1	0	1	1
GSM6590911	-1.6634942946006426	-1.2841308400819955	-0.9464366595664367	-0.6399174111880281	-0.7709956219970729	0.9407071115729071	0	0	0	0	0
GSM6590912	-1.1053039067893051	-0.27794157387126806	-0.31057594822575996	-0.2920765642442282	-0.07538269448000091	0.9200243858656537	0	0	0	0	0
GSM6590913	-1.5789882935555268	-1.231344209874378	-0.7772439858164519	-0.72645844406334	-0.605881848184459	0.7716545333076507	0	0	0	0	0
GSM6590914	1.5857576378542542	0.754254206232187	0.45584555000643057	2.0227200583486895	1.3940085838266902	0.2361763330043977	1	1	1	1	1
GSM6590915	-0.9629030590727556	-0.6101615048545772	-0.4940221720653554	-0.24971077107089903	-0.30309520055586986	0.5398696444860731	0	0	0	0	0
GSM6590916	-0.9039413569795567	-0.4170774180716726	-0.5201117722729784	-0.3160049236451908	-0.3039345136843882	0.6169382787087178	0	0	0	0	0
GSM6590917	-1.5240671507366081	-1.172975509599537	-0.8676058267312486	-0.6403391202431279	-0.6036866062745407	0.6415687886391414	0	0	0	0	0
GSM6590918	-0.19517643025415315	0.26313476113222	0.29371347370713796	0.6706074253418753	0.8211755769378374	0.2432788989128542	0	0	0	0	0
GSM6590919	1.0811470088155664	1.1379155146330813	1.3173971628702383	0.9525269172740627	1.0614320550915841	0.029405467119521772	1	1	0	1	1
GSM6590920	-1.1616764149026588	-1.2659904455624387	-1.0444023627980616	-0.478417822158349	-0.6540867919089476	0.7329334832687252	0	0	0	0	0
