run_accession	sample_accession	sample_title	sample_alias	library_strategy	read_count	base_count	fastq_bytes
SRR10039132	SAMN12661414	Human sample from Homo sapiens	140150003	RNA-Seq	65315421	9927943992	3359258930;3439916237
SRR10039134	SAMN12661411	Human sample from Homo sapiens	140130010	RNA-Seq	66263484	10072049568	3254655615;3363257569
SRR10039135	SAMN12661410	Human sample from Homo sapiens	140130007	RNA-Seq	36786347	5591524744	1922424933;1876551407
SRR10039140	SAMN12661403	Human sample from Homo sapiens	140060003	RNA-Seq	59894253	9103926456	3311674533;3404787722
SRR10039144	SAMN12661366	Human sample from Homo sapiens	100040007	RNA-Seq	63477878	9648637456	3571888211;3462952249
SRR10039148	SAMN12661463	Human sample from Homo sapiens	220070004	RNA-Seq	18040215	2742112680	977443250;983141109
SRR10039152	SAMN12661460	Human sample from Homo sapiens	220030024	RNA-Seq	68104317	10351856184	3426815207;3453706177
SRR10039159	SAMN12661404	Human sample from Homo sapiens	140060005	RNA-Seq	87102839	13239631528	5038566169;5147931211
SRR10039166	SAMN12661390	Human sample from Homo sapiens	120070007	RNA-Seq	52570306	7990686512	2612087668;2687569599
SRR10039174	SAMN12661379	Human sample from Homo sapiens	120020002	RNA-Seq	50708738	7707728176	3010149342;3091419150
SRR10039176	SAMN12661377	Human sample from Homo sapiens	120010006	RNA-Seq	63176844	9602880288	3060647519;3223988151
SRR10039179	SAMN12661440	Human sample from Homo sapiens	180040022	RNA-Seq	65910001	10018320152	3407671825;3437506123
SRR10039180	SAMN12661438	Human sample from Homo sapiens	180040017	RNA-Seq	73322579	11145032008	3790517112;3842147405
SRR10039183	SAMN12661435	Human sample from Homo sapiens	180040011	RNA-Seq	69812589	10611513528	3560818910;3614240367
SRR10039185	SAMN12661433	Human sample from Homo sapiens	160080003	RNA-Seq	85574687	13007352424	5151127922;5183863068
SRR10039186	SAMN12661368	Human sample from Homo sapiens	100060002	RNA-Seq	33660192	5116349184	1748440337;1807477889
SRR10039188	SAMN12661417	Human sample from Homo sapiens	160010003	RNA-Seq	76422140	11616165280	4436664445;4515673574
SRR10039189	SAMN12661431	Human sample from Homo sapiens	160040012	RNA-Seq	81169288	12337731776	4725016117;4759128237
SRR10039190	SAMN12661429	Human sample from Homo sapiens	160040004	RNA-Seq	78825319	11981448488	4584333886;4678887273
SRR10039197	SAMN12661424	Human sample from Homo sapiens	160020009	RNA-Seq	36190779	5500998408	2043315999;2045888791
SRR10039200	SAMN12661425	Human sample from Homo sapiens	160030001	RNA-Seq	76626575	11647239400	4321284600;4381300198
SRR10039201	SAMN12661443	Human sample from Homo sapiens	200020002	RNA-Seq	75704928	11507149056	4028989594;4042168154
SRR10039206	SAMN12661415	Human sample from Homo sapiens	140170001	RNA-Seq	84726835	12878478920	4707089029;4798927118
SRR10039207	SAMN12661412	Human sample from Homo sapiens	140130011	RNA-Seq	68406825	10397837400	3831545572;3948889886
SRR10039211	SAMN12661383	Human sample from Homo sapiens	120030005	RNA-Seq	62189153	9452751256	3648996257;3730447749
SRR10039215	SAMN12661482	Human sample from Homo sapiens	410020011	RNA-Seq	77621734	11798503568	4505475960;4585997315
SRR10039222	SAMN12661481	Human sample from Homo sapiens	410020005	RNA-Seq	72829135	11070028520	4410913884;4483432834
SRR10039224	SAMN12661464	Human sample from Homo sapiens	220090001	RNA-Seq	68077378	10347761456	3603976943;3727023919
SRR10039228	SAMN12661455	Human sample from Homo sapiens	220020014	RNA-Seq	81088013	12325377976	4526489092;4608657841
SRR10039229	SAMN12661454	Human sample from Homo sapiens	220020013	RNA-Seq	56064902	8521865104	2910820981;2941880874
SRR10039237	SAMN12661447	Human sample from Homo sapiens	200040002	RNA-Seq	18725894	2846335888	978370497;1001213965
SRR10039240	SAMN12661480	Human sample from Homo sapiens	350010002	RNA-Seq	49719700	7557394400	2806848317;2721797296
SRR10039241	SAMN12661479	Human sample from Homo sapiens	340030002	RNA-Seq	71974017	10940050584	4173843042;4223219709
SRR10039242	SAMN12661399	Human sample from Homo sapiens	140050038	RNA-Seq	65349689	9933152728	3683883083;3774937328
SRR10039245	SAMN12661472	Human sample from Homo sapiens	340010003	RNA-Seq	75202967	11430850984	4418584620;4577190064
SRR10039253	SAMN12661470	Human sample from Homo sapiens	300020003	RNA-Seq	95847623	14568838696	5549110855;5805923607
SRR10039256	SAMN12661362	Human sample from Homo sapiens	100040002	RNA-Seq	68372804	10392666208	3925267249;4065956280
SRR10039133	SAMN12661367	Human sample from Homo sapiens	100040009	RNA-Seq	70603704	10731763008	3622608948;3765064588
SRR10039137	SAMN12661405	Human sample from Homo sapiens	140080001	RNA-Seq	83833143	12742637736	4690235355;4755285492
SRR10039138	SAMN12661407	Human sample from Homo sapiens	140090005	RNA-Seq	10399760	1580763520	579519215;593444357
SRR10039139	SAMN12661406	Human sample from Homo sapiens	140080005	RNA-Seq	45726509	6950429368	2068055537;2165960013
SRR10039142	SAMN12661401	Human sample from Homo sapiens	140060001	RNA-Seq	110261892	16759807584	6668010410;6537373753
SRR10039151	SAMN12661459	Human sample from Homo sapiens	220030021	RNA-Seq	66967789	10179103928	3659580029;3704788244
SRR10039156	SAMN12661465	Human sample from Homo sapiens	220090002	RNA-Seq	76670645	11653938040	4243903269;4300541874
SRR10039160	SAMN12661397	Human sample from Homo sapiens	140050023	RNA-Seq	66169480	10057760960	4068092682;4255015185
SRR10039161	SAMN12661398	Human sample from Homo sapiens	140050027	RNA-Seq	72824939	11069390728	4441803254;4667682451
SRR10039165	SAMN12661391	Human sample from Homo sapiens	120080001	RNA-Seq	72006768	10945028736	3750955123;3859814774
SRR10039167	SAMN12661388	Human sample from Homo sapiens	120070001	RNA-Seq	83161857	12640602264	4074433904;4242055513
SRR10039169	SAMN12661387	Human sample from Homo sapiens	120060002	RNA-Seq	74040082	11254092464	3488405865;3595866623
SRR10039170	SAMN12661382	Human sample from Homo sapiens	120030004	RNA-Seq	86539352	13153981504	4837226166;4852972649
SRR10039171	SAMN12661364	Human sample from Homo sapiens	100040004	RNA-Seq	63101700	9591458400	3475547839;3388069848
SRR10039172	SAMN12661384	Human sample from Homo sapiens	120030007	RNA-Seq	63073504	9587172608	3610126436;3748874617
SRR10039177	SAMN12661444	Human sample from Homo sapiens	200020004	RNA-Seq	66381934	10090053968	3514668147;3573727014
SRR10039182	SAMN12661436	Human sample from Homo sapiens	180040012	RNA-Seq	66811005	10155272760	3367284382;3446051904
SRR10039192	SAMN12661428	Human sample from Homo sapiens	160030005	RNA-Seq	75301277	11445794104	4200304974;4288055288
SRR10039193	SAMN12661427	Human sample from Homo sapiens	160030004	RNA-Seq	72137318	10964872336	4099260389;4178071183
SRR10039195	SAMN12661423	Human sample from Homo sapiens	160020008	RNA-Seq	78204359	11887062568	4352405681;4486228375
SRR10039199	SAMN12661422	Human sample from Homo sapiens	160020007	RNA-Seq	74904389	11385467128	4250677556;4293651857
SRR10039202	SAMN12661421	Human sample from Homo sapiens	160010018	RNA-Seq	81248719	12349805288	4514632111;4600871519
SRR10039204	SAMN12661419	Human sample from Homo sapiens	160010015	RNA-Seq	71385606	10850612112	3957001203;4134721775
SRR10039205	SAMN12661416	Human sample from Homo sapiens	140180001	RNA-Seq	99011072	15049682944	5581323368;5765597729
SRR10039208	SAMN12661375	Human sample from Homo sapiens	120010002	RNA-Seq	82543576	12546623552	4575708703;4657902391
SRR10039209	SAMN12661413	Human sample from Homo sapiens	140150001	RNA-Seq	94450885	14356534520	5194385407;5258853463
SRR10039213	SAMN12661374	Human sample from Homo sapiens	100070009	RNA-Seq	79036669	12013573688	4267316203;4419546796
SRR10039214	SAMN12661385	Human sample from Homo sapiens	120040001	RNA-Seq	76799026	11673451952	4466840646;4500657989
SRR10039216	SAMN12661376	Human sample from Homo sapiens	120010005	RNA-Seq	67837909	10311362168	3904878881;4004054071
SRR10039218	SAMN12661437	Human sample from Homo sapiens	180040014	RNA-Seq	59343851	9020265352	3496196268;3569616813
SRR10039221	SAMN12661450	Human sample from Homo sapiens	220010003	RNA-Seq	74625048	11343007296	4461126809;4525327116
SRR10039230	SAMN12661483	Human sample from Homo sapiens	540020001	RNA-Seq	71937803	10934546056	3615283325;3623934760
SRR10039231	SAMN12661452	Human sample from Homo sapiens	220020004	RNA-Seq	68660191	10436349032	3315288791;3423912446
SRR10039233	SAMN12661394	Human sample from Homo sapiens	140030001	RNA-Seq	73945843	11239768136	4037896844;4075657178
SRR10039235	SAMN12661446	Human sample from Homo sapiens	200020007	RNA-Seq	84384017	12826370584	4105670022;4196494464
SRR10039236	SAMN12661448	Human sample from Homo sapiens	200040003	RNA-Seq	81754233	12426643416	4166628713;4226033631
SRR10039239	SAMN12661369	Human sample from Homo sapiens	100070001	RNA-Seq	67490995	10258631240	3816945083;3925088412
SRR10039244	SAMN12661476	Human sample from Homo sapiens	340020002	RNA-Seq	74524001	11327648152	4415999078;4441186295
SRR10039246	SAMN12661471	Human sample from Homo sapiens	340010001	RNA-Seq	78751339	11970203528	4691483258;4862502447
SRR10039249	SAMN12661473	Human sample from Homo sapiens	340010006	RNA-Seq	90874047	13812855144	5453422574;5604831294
SRR10039250	SAMN12661467	Human sample from Homo sapiens	300010001	RNA-Seq	91935405	13974181560	5161877159;5303576649
SRR10039251	SAMN12661475	Human sample from Homo sapiens	340020001	RNA-Seq	91947363	13975999176	5475181403;5670886250
SRR10039136	SAMN12661408	Human sample from Homo sapiens	140130005	RNA-Seq	70889251	10775166152	3743218103;3750198107
SRR10039141	SAMN12661402	Human sample from Homo sapiens	140060002	RNA-Seq	113119640	17194185280	6160560751;6279184800
SRR10039143	SAMN12661400	Human sample from Homo sapiens	140050042	RNA-Seq	37530705	5704667160	2147128736;2164030536
SRR10039145	SAMN12661395	Human sample from Homo sapiens	140030004	RNA-Seq	81644642	12409985584	4547821342;4695358377
SRR10039146	SAMN12661389	Human sample from Homo sapiens	120070004	RNA-Seq	72966022	11090835344	3898501551;3999058041
SRR10039147	SAMN12661466	Human sample from Homo sapiens	220090005	RNA-Seq	67589037	10273533624	3724661309;3818673939
SRR10039149	SAMN12661462	Human sample from Homo sapiens	220060004	RNA-Seq	29100230	4423234960	1718544103;1782175187
SRR10039150	SAMN12661461	Human sample from Homo sapiens	220060001	RNA-Seq	75624075	11494859400	4153990523;4191631007
SRR10039153	SAMN12661371	Human sample from Homo sapiens	100070004	RNA-Seq	79521676	12087294752	4273441346;4403626609
SRR10039154	SAMN12661485	Human sample from Homo sapiens	560030003	RNA-Seq	67478327	10256705704	3490824726;3569047102
SRR10039155	SAMN12661458	Human sample from Homo sapiens	220030020	RNA-Seq	67045838	10190967376	3501937194;3584604633
SRR10039157	SAMN12661486	Human sample from Homo sapiens	560050002	RNA-Seq	68310935	10383262120	3469797036;3472919590
