stage	n_spots	rho_DM1_vs_Epithelial	p_DM1_vs_Epi	rho_DM1_vs_Proliferation	p_DM1_vs_Prol	rho_DM1_vs_TDS	p_DM1_vs_TDS	DM1_mean	DM1_std	Epi_mean	Prol_mean
ATC	11276	-0.1307597831414203	3.443759227903244e-44	-0.1064937739730114	8.369846932946806e-30	-0.8903468605104846	0.0	6.579142433639804e-10	0.3482700556364463	-1.855330870813856e-08	1.0388495959963603e-09
LPTC	13634	-0.5486210049726842	0.0	-0.3184735038330544	0.0	-0.9157805477224092	0.0	1.0544840524892869e-08	0.4881886778710664	4.1314304752479546e-08	1.0822588340479631e-09
PT	14740	-0.2706569850622011	8.209434488132242e-246	-0.1311502423473601	1.4883115872684986e-57	-0.8856255945317084	0.0	3.9460142334755073e-08	0.4765916039318703	-1.7007140841958164e-08	4.407732628456726e-09
PTC	16223	-0.2919724121212944	0.0	-0.1584333663593558	1.1286955326783997e-91	-0.8810186080036105	0.0	-2.4141069949259994e-08	0.4655976282472142	1.7707121864700933e-08	6.1287192244483955e-09
