metric	mean_PTC_HT	mean_PTC	cohen_d	mw_p
IGLV_total	4785.185	85.254	2.588	0.00041229480206169127
IGHV_total	7288.785	83.835	2.38	0.00041229480206169127
IGKV_total	9848.738	146.65	2.278	0.00041229480206169127
IGHV_clonality	0.248	0.164	2.087	0.0010862466258220339
IGLV_clonality	0.245	0.165	1.739	0.01711823970479015
IGKV_clonality	0.24	0.19	1.408	0.034069195144143936
IGKV_entropy	2.994	2.8	1.179	0.010444271101370226
IGHV_entropy	3.237	2.911	1.162	0.004718198728115028
fam_IGHV6	0.007	0.017	-0.944	0.18532630419857943
IGKV_top3_pct	34.547	40.65	-0.833	0.25099827044292256
IGLV_entropy	2.814	2.608	0.828	0.0933976745287926
fam_IGHV5	0.026	0.054	-0.75	0.2507536199295268
IGHV_top3_pct	32.072	36.706	-0.568	0.42677673653298365
IGLV_top3_pct	37.782	43.304	-0.514	0.1577043874630777
IGHV_top1_pct	13.782	17.08	-0.505	0.42677673653298365
fam_IGHV8	0.0	0.0	0.471	0.37406279749088245
fam_IGHV4	0.212	0.191	0.411	0.25099827044292256
IGKV_top1_pct	14.851	16.401	-0.388	0.7910815129207817
fam_IGHV2	0.039	0.035	0.258	0.859819205054158
fam_IGHV1	0.147	0.136	0.247	0.37722461666745344
fam_IGHVI	0.0	0.0	0.244	0.02295107969988686
fam_IGHV7	0.019	0.021	-0.117	0.9296365245070707
fam_IGHV3	0.549	0.545	0.05	0.859819205054158
IGLV_top1_pct	16.714	16.91	-0.036	0.9296365245070707
