pathway	BRAF V600E	RAS hotspot	DM1	DM2
Thyroid_diff	7.117853494234033	8.849515170212047	7.728527808767579	9.156252326798214
MAPK_target	6.84472186422294	6.813062566417356	7.128272976168226	6.116508285490036
EMT	5.511964211647958	4.794861073170458	5.508670117291186	4.764953032779911
Epithelial	9.122795080032335	8.110915830981908	8.81140800354232	8.152518791831515
let7_targets	1.9299109529838954	1.515839511912063	1.897496382778076	0.9443974790847509
miR200_targets	4.124415862161217	4.006372844785623	4.30041074534583	4.057295869201907
Translation	5.970879262482299	5.9070779126074875	5.931488563364204	5.990109984997256
E2F_cycle	3.102444638403649	2.9315370543468515	3.082549204725508	2.902546966455557
Hypoxia	7.58829006811139	7.524341844458328	7.603763242767588	7.590684774753136
IFN_inflam	4.370068254220681	3.5786656625475177	4.533249329923522	3.6213676283380853
Immune_T_cell	2.7847550016844487	2.014693659494946	3.3613389707660324	1.9786537283584997
Immune_B_cell	1.6233164759926966	0.6749551668548669	2.482675011805143	0.9155193184178348
Endothelial	6.149096980987057	6.662623638150105	6.466365078474997	6.689034735236592
Stromal	7.18998623152505	5.661132592260815	7.112175118195288	5.5471855736816895
