label	n_samples	n_panel	n_fvptc	r	p	note
TCGA-THCA	572	8	7	0.9878142181458909	0.0	
GSE213647 (Thyroid)	632	0	0			insufficient genes
GSE126698 (Thyroid)	28	7	7	0.9963468259187807	2.5676556630544225e-29	
GSE33630 (Thyroid microarray)	105	0	0			insufficient genes
GSE29265 (Thyroid microarray)	49	0	0			insufficient genes
GSE39582 (COAD colon)	585	8	7	0.8382217468267573	1.168035502362009e-155	
GSE31210 (LUAD lung)	246	8	7	0.23523139268389495	0.00019683348787287097	
GSE22153 (SKCM)	57	7	6	0.42274726683325015	0.0010528038100158545	
