gene	mean_DM1	mean_DM2	log2FC_DM2vDM1	t	p	q_BH
RUNX2	4.3125204053485	1.2555142990829067	-3.057006106265593	19.169285768896327	4.445759694194691e-40	2.29285610468397e-35
LAMB3	7.207273603310871	2.4127818630342053	-4.794491740276666	17.90754157232647	2.4193858044515287e-37	6.238870173939158e-33
SLC22A31	5.315394258387683	0.7581959979093224	-4.557198260478361	17.6678627650105	8.679293341510562e-37	1.4920862493168858e-32
TIMP1	9.193830557394412	5.4470224291968	-3.7468081281976113	19.06141937772535	2.557465318611757e-36	3.1062576849213504e-32
NR2F1-AS1	3.955082685495735	1.52378272360824	-2.431299961887495	17.454996036187598	3.011457017994872e-36	3.1062576849213504e-32
KCNN4	5.073522615341349	1.0732768132755703	-4.000245802065779	19.59674545436952	4.461352287548128e-36	3.834829714633453e-32
TMSB4X	10.271343139309897	8.101110082661299	-2.1702330566485983	17.596258374443334	6.569919787239083e-35	4.840529187243836e-31
PDLIM4	6.205382539000283	2.3508240344432387	-3.854558504557044	17.734809660350177	3.148100311016586e-34	2.0295015680046175e-30
PTPRE	5.598568062679535	3.1459698433510153	-2.4525982193285194	16.8750445123732	4.526446649421236e-34	2.5938551055250096e-30
LRG1	3.489457616403843	0.7832074350266854	-2.7062501813771576	16.873122561482877	1.1275086717207027e-33	5.815013223532352e-30
IGFBP6	7.221169567561396	2.766602699333053	-4.454566868228342	16.015727430252277	6.396808051437926e-33	2.999172531316906e-29
ALOX5	5.648962843348804	1.9274865245700548	-3.721476318778749	16.047048735657913	1.1390836544911523e-32	4.8955916997272245e-29
JAK3	4.531510996133664	1.8662105273006533	-2.665300468833011	16.52318717563249	2.3612191503308427e-32	9.158309946585312e-29
KCNQ3	4.184574029732353	1.734940068382796	-2.449633961349557	15.81982159219767	2.547770939947528e-32	9.158309946585312e-29
MRC2	7.699945845178084	3.765890576246339	-3.9340552689317447	16.537033652539503	2.663641548043194e-32	9.158309946585312e-29
COL8A2	6.76281150971472	3.493665301555867	-3.2691462081588534	16.08580447105831	4.1446528316986017e-32	1.3359770321376482e-28
TMC8	4.99698822774856	2.2127211904792317	-2.784267037269329	15.7667878119928	5.992214933768952e-32	1.8178970176129408e-28
MYO1G	5.132322784226339	1.841340897612479	-3.29098188661386	15.579556305095767	1.357352304222404e-31	3.8891159854425706e-28
MIR31HG	3.4385660658160853	0.5847313346813159	-2.8538347311347696	15.40585980347095	1.8809972585682097e-31	5.105818558599834e-28
ICAM1	6.15508983647382	3.5557708583777403	-2.59931897809608	15.773506177136934	2.2438552437900825e-31	5.786229517161486e-28
PLAUR	4.840357734245395	2.1704159928144664	-2.6699417414309288	15.39980900908668	3.3068900243974253e-31	8.12140695801299e-28
PLAU	7.084378059378409	3.509775259839219	-3.57460279953919	15.69487582483257	1.332668842483826e-30	3.1241392219209476e-27
SLC4A4	3.960396607910854	6.713766749712266	2.7533701418014123	-14.99721396357303	5.9124717328016104e-30	1.3257818136848274e-26
SDC3	7.180598224163699	5.761460422597613	-1.4191378015660856	14.843082178809174	6.597552402986136e-30	1.4177590317983625e-26
IL1RAP	4.907201480750222	2.4963640992443077	-2.410837381505914	15.139441716915858	6.923613019387598e-30	1.428313671447584e-26
RASGRF1	3.029823082608166	0.3096322025531583	-2.7201908800550076	16.587071861872985	1.7692253743667875e-29	3.3984200560321204e-26
DUSP5	6.704339084009254	3.9462395971378927	-2.758099486871361	14.601551198131792	1.779139518223664e-29	3.3984200560321204e-26
SFTPB	8.123858664157941	2.4012028761409105	-5.722655788017031	14.543458082031648	2.432650324954371e-29	4.4807681378284547e-26
SYT12	4.728566197824686	0.6342948141819406	-4.094271383642746	15.839159633252768	2.9566177282527793e-29	5.144642739736e-26
MCUB	4.07770344271223	1.9190564309257854	-2.158647011786445	15.200744023790838	2.992579249080544e-29	5.144642739736e-26
SLPI	6.149521328166131	1.7965201082471773	-4.353001219918953	14.546160950933071	3.5457611983255815e-29	5.899002840078824e-26
RIN1	3.2603154534474434	1.6526964435378722	-1.6076190099095713	14.481428113865595	3.699251382787796e-29	5.962037212996807e-26
MVP	8.095998921860698	6.5179106865168	-1.5780882353438974	14.687074196234217	3.8648085149050276e-29	6.040110131748846e-26
CHI3L1	7.295761185454789	2.035825576181983	-5.259935609272806	14.415596618254444	5.206970200983017e-29	7.898361210161709e-26
TMEM154	3.6303399975798727	1.3963334058539094	-2.2340065917259633	14.717118388400781	9.960884016575707e-29	1.4677789493453586e-25
STING1	6.933027527265875	4.945959413372682	-1.9870681138931925	14.818178657484376	1.038566800290686e-28	1.4878623377275513e-25
EMILIN2	6.110381362908491	3.841620652623136	-2.2687607102853553	14.207146107791235	1.628432791342079e-28	2.2698592643426053e-25
SERPINA1	9.97613750349707	5.501930512857461	-4.474206990639608	16.01176510844821	1.8349075753027462e-28	2.4903558760174696e-25
PROS1	7.33143925372461	4.60839591057211	-2.7230433431525	14.297167851799543	3.4287031654355325e-28	4.534152232158261e-25
PELI1	5.253159452289596	3.361845296263509	-1.891314156026087	14.010523759364986	5.218524474018124e-28	6.728504530575268e-25
CREB5	3.77649863527263	1.5660055107334	-2.21049312453923	14.306558534860455	7.701003340458167e-28	9.687110884897306e-25
PDZK1IP1	5.311221880454592	1.1056422734508469	-4.205579607003745	13.962884998470857	1.2063030868873967e-27	1.4812827476935856e-24
S100A4	7.249128601004333	4.444126407959027	-2.805002193045306	13.842688257950766	1.3609302717742126e-27	1.6284540830881465e-24
RAC2	5.2067181196061885	2.34941012950808	-2.8573079900981084	13.843237602617977	1.3893042939442052e-27	1.6284540830881465e-24
PCED1B	3.663263337954502	1.7570488589798139	-1.906214478974688	13.966766406920337	1.5007648622457523e-27	1.7200099334547208e-24
CTSC	8.133285507516565	5.9443533819556675	-2.188932125560897	13.936550145588992	1.600788936481176e-27	1.7947627958713082e-24
MAMLD1	3.8816425210469117	1.9629180016216163	-1.9187245194252953	13.76539540233636	2.1133277333762165e-27	2.3189949898115957e-24
RIPOR2	4.233043225742216	2.049815869925457	-2.183227355816759	13.784272965186798	2.905296367528253e-27	3.1216198928937943e-24
SLC27A6	4.852727015448664	0.8097825450890933	-4.042944470359571	13.696313277066917	3.0765543063231757e-27	3.2381675876390096e-24
FCHO1	2.6409572808277146	0.756460519141177	-1.8844967616865378	13.719661542148515	3.195777434763809e-27	3.296380508410174e-24
UGCG	5.119568989468407	4.0642304583228155	-1.0553385311455914	13.581466322298477	5.888604743353743e-27	5.9548804124259985e-24
UNC5CL	2.7479230936091876	0.9869475669961966	-1.7609755266129912	13.695272416141563	6.440626024332742e-27	6.3878624342103244e-24
GJB3	3.546112237708336	0.8495124046589762	-2.69659983304936	13.604659609316332	8.456105876758146e-27	8.228588763923105e-24
TACSTD2	7.182947845043218	3.0392958963779293	-4.143651948665289	13.783466850334921	8.678337609127e-27	8.239895774386571e-24
BDH1	4.500719199984149	5.787351911962255	1.2866327119781058	-13.631581846450757	8.787262333564615e-27	8.239895774386571e-24
SDC4	9.546326857528502	7.430387670311513	-2.1159391872169895	13.54137402215899	9.338057512389982e-27	8.600017466857159e-24
CXCL14	6.981145332399009	1.7070685430883263	-5.2740767893106835	13.444159965066591	1.29586972887004e-26	1.1725120245042709e-23
IL17RD	3.6062584050933313	1.6424659718826613	-1.96379243321067	13.435089307050907	1.5750323673778326e-26	1.3770772243282034e-23
LGALS3	8.33837997334855	5.368903655629097	-2.9694763177194528	14.88288501323782	1.5753588287773684e-26	1.3770772243282034e-23
GABRB2	5.395294202196498	2.0570214042634922	-3.3382727979330054	13.556688263912859	1.6140105872252805e-26	1.3873497004259436e-23
EMP3	6.006464371841947	4.227344975134926	-1.7791193967070207	13.42967524776767	2.284941609459974e-26	1.9318619437096506e-23
ALOX15B	4.96339726229497	1.420346414451836	-3.5430508478431344	13.330153016647916	3.2080369837349315e-26	2.6685693451475057e-23
CXCL16	5.9074377270822405	4.641852907072712	-1.2655848200095283	13.638709374439706	3.6001279695834655e-26	2.947190474655518e-23
PLEKHN1	2.9491200669674242	1.1504076877302425	-1.7987123792371817	13.819640472775655	4.135589494871732e-26	3.332638947008043e-23
HAPLN3	3.7115623420934494	1.7820147538460407	-1.9295475882474087	13.283234428692158	4.228918503091161e-26	3.355419121206516e-23
SPOCK2	7.586417955712714	4.667061809154043	-2.9193561465586715	13.371017576784503	4.507873013271658e-26	3.522561254340492e-23
KRT15	2.7259597709354755	0.47458727761105063	-2.251372493324425	13.390849964232133	4.6463510185374506e-26	3.576580707911201e-23
FN1	12.087451442900521	8.161992134745576	-3.925459308154945	13.22463040213361	4.913644588965613e-26	3.72671038281342e-23
AHR	6.760332853149132	5.1273409384833455	-1.6329919146657863	13.244826618198049	5.316427186098972e-26	3.9737596477662087e-23
CARD11	3.4916924464130723	1.196113024768042	-2.29557942164503	13.319550038583579	6.32656269760379e-26	4.6612306366602553e-23
FMNL1	4.792149302206244	3.07186677084263	-1.720282531363614	13.206490628636757	6.569807500164198e-26	4.772271155119272e-23
STRA6	3.951024752680621	0.864520846051953	-3.0865039066286677	13.21637107320949	1.3380868560156867e-25	9.584790487799032e-23
TMC6	6.941494484246868	4.768801944794353	-2.172692539452515	14.77243050224581	1.4502174088078887e-25	1.0245686663268226e-22
AC080038.1	1.6662444374506018	0.21207539956204352	-1.4541690378885583	13.139727378787741	1.777727410625829e-25	1.2389799118326555e-22
STAT4	2.85123842257186	0.9983628109520691	-1.8528756116197909	13.378443723416659	2.2656553073217723e-25	1.5579854242641744e-22
EHBP1L1	5.77901988871561	4.262327600999787	-1.5166922877158235	13.339654078336233	2.3215905673413434e-25	1.5628229953395346e-22
CATSPER1	1.9034246042726264	0.2698303412314117	-1.6335942630412146	13.453035807373539	2.3332952774875743e-25	1.5628229953395346e-22
