Cohort	Type	n	DM%	DM1	DM2	DICER1+EIF1AX in DM%	8gene↔FVPTC r	Survival	Mutation
TCGA-THCA	Bulk RNA-seq + WES	482	28.4	89	55	10.9	n.a. (bulk)	PFI 50/482	Full
K2 (Yoo 2016)	Bulk RNA-seq	180	37.8	(predicted)	(predicted)	10.3	n.a. (bulk)	Pending	S6 supplement
GSE241184	scRNA-seq	1 patient	n.a.	—	—	n.a.	0.91	n.a.	n.a.
GSE193581	scRNA-seq	23 (PTC+ATC+NORM)	n.a.	—	—	n.a.	0.89 (PTC+ATC)	n.a.	n.a.
GSE184362	scRNA-seq	23 (T/P/LN multi-site)	n.a.	—	—	n.a.	0.89 / 0.91 multi-site	n.a.	n.a.
분당 SNUH	TBD	TBD	TBD	—	—	TBD	TBD	TBD (Korean follow-up critical)	TBD
