age_band	n	DM_n	DM_pct	BRAF_pct	RAS_pct	DM1_n	DM2_n	PFI_n	PFI_events	PFI_rate_pct
<35	109	38	34.9	53.2	11.9	32	7	109	10	9.17
35-54	214	49	22.9	65.9	11.2	29	19	214	14	6.54
≥55	148	47	31.8	57.4	11.5	19	28	148	24	16.22
