cell_type	DM1_mean	DM2_mean	delta	Cohen_d	p
Myeloid_M2	2.7575335027627017	1.4479677981024925	-1.3095657046602092	-1.868074149480151	8.404731624981023e-21
T_cell_CD4	2.708659068051512	1.4503335906443444	-1.2583254774071675	-1.6883753258784475	4.284687497768508e-18
Fibroblast	7.17567038503979	5.498519696460576	-1.6771506885792133	-1.4765159952199844	8.772853462529179e-15
T_cell_CD8	2.3233952539249385	1.279179155064257	-1.0442160988606815	-1.1210761333347832	3.581348402291396e-10
Myeloid_M1	2.448434698261504	2.043716902264717	-0.4047177959967869	-1.0774071439699193	3.4813464728520645e-09
B_cell	2.3563587817643055	0.8656228464273744	-1.490735935336931	-1.0251856940871744	5.649700367727073e-09
NK_cell	3.0134592222554164	2.6817212465157985	-0.33173797573961794	-0.38870292068787826	0.019895320948995043
Endothelial	7.1674580748619725	7.3968311304090255	0.229373055547053	0.31982369829650387	0.07206468136977015
