gene	log2FC	p	drugs
TPO	3.719613340314602	6.41417060967118e-20	Methimazole (anti-thyroid, indirect inhibitor)
DIO1	3.561250517704916	2.935511877856644e-20	Iopanoic acid, propylthiouracil (deiodinase inhibitor)
