pathway	DM1_mean	DM2_mean	delta	Cohen_d	t	p
let7_targets	2.8225796368167133	2.10977051769949	-0.7128091191172232	-2.088947471422491	12.03555285022585	1.060687281080159e-22
Thyroid_differentiation	7.728527808767579	9.156252326798214	1.4277245180306348	1.5416292160619656	-8.994111845758733	2.1799133524415467e-15
Inflammation_IFN	4.533249329923522	3.6213676283380853	-0.9118817015854366	-1.461721045228737	8.5003304863878	3.659315221658102e-14
EMT_markers	5.508670117291186	4.764953032779911	-0.7437170845112755	-1.331659437049664	7.601436015074261	7.1758309635711285e-12
MAPK_target	7.128272976168226	6.116508285490036	-1.0117646906781905	-1.2375277911762175	6.927533232952039	3.677255216629359e-10
Epithelial_markers	8.81140800354232	8.152518791831515	-0.6588892117108056	-0.8936820772066933	4.986847808118584	2.5466403354962544e-06
miR200_targets	4.30041074534583	4.057295869201907	-0.24311487614392302	-0.6310542403657777	3.6888708332317646	0.00032738330052634024
Cell_cycle_E2F	3.082549204725508	2.902546966455557	-0.18000223826995088	-0.42132882649943104	2.3986577244438503	0.018022114967709925
Translation_eIF1AX	6.124816354134132	6.182892835732043	0.05807648159791157	0.23716312713186824	-1.4332982349465786	0.15427941084703806
Hypoxia	7.857010538373837	7.812056294918887	-0.04495424345495014	-0.11813165907428229	0.7164766810240445	0.4750693229686019
PI3K_AKT	5.741250054873331	5.755822735564639	0.014572680691308015	0.039893535556303684	-0.2280395446491103	0.8200002704751674
