sample	n_cells	r	p
ATC08	213	0.78592346220352	6.1548568840782736e-46
ATC09	897	-0.1797192813389344	5.984549534821927e-08
ATC10	67	-0.16454942739857997	0.18330795582967602
ATC11	174	0.07528584443073191	0.32347963300985366
ATC12	1296	0.12346553190220301	8.290755425720806e-06
ATC13	3308	0.047198591840405826	0.006625088740973225
ATC15	56	0.9299901019562964	3.9205138012461156e-25
