studyId	name	description	allSampleCount	pmid	citation	cancerTypeId	referenceGenome
thca_tcga	Thyroid Carcinoma (TCGA, Firehose Legacy)	"TCGA Thyroid Carcinoma. Source data from <A HREF=""http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/THCA/20160128/"">GDAC Firehose</A>. Previously known as TCGA Provisional."	1			thpa	hg19
thca_tcga_pan_can_atlas_2018	Thyroid Carcinoma (TCGA, PanCancer Atlas)	"Thyroid Carcinoma TCGA PanCancer data. The original data is <a href=""https://gdc.cancer.gov/about-data/publications/pancanatlas"">here</a>. The publications are <a href=""https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html"">here</a>."	1	29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653,36334560	TCGA, Cell 2018	thpa	hg19
thca_tcga_pub	Papillary Thyroid Carcinoma (TCGA, Cell 2014)	Exome and whole genome sequencing of 496 papillary thyroid carcinoma tumor/normal pairs	1	25417114	TCGA, Cell 2014	thpa	hg19
thpa_tcga_gdc	Papillary Thyroid Cancer (TCGA GDC, 2025)	"TCGA Papillary Thyroid Cancer. Source data from <A HREF=""https://gdc.cancer.gov"">NCI GDC</A> and generated in Aug 2025 using <A HREF=""https://cda.readthedocs.io/en/latest/"">Cancer Data Aggregator</A>."	1			thpa	hg38
thym_tcga	Thymoma (TCGA, Firehose Legacy)	"TCGA Thymoma. Source data from <A HREF=""http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/THYM/20160128/"">GDAC Firehose</A>. Previously known as TCGA Provisional."	1			thym	hg19
thym_tcga_gdc	Thymoma (TCGA GDC, 2025)	"TCGA Thymoma. Source data from <A HREF=""https://gdc.cancer.gov"">NCI GDC</A> and generated in Aug 2025 using <A HREF=""https://cda.readthedocs.io/en/latest/"">Cancer Data Aggregator</A>."	1			thym	hg38
thym_tcga_pan_can_atlas_2018	Thymoma (TCGA, PanCancer Atlas)	"Thymoma TCGA PanCancer data. The original data is <a href=""https://gdc.cancer.gov/about-data/publications/pancanatlas"">here</a>. The publications are <a href=""https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html"">here</a>."	1	29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653,36334560	TCGA, Cell 2018	thym	hg19
thyroid_gatci_2024	Anaplastic Thyroid Cancers (GATCI, Cell Reports 2024)	Whole-genome or whole-exome sequencing of 190 anaplastic thyroid carcinoma (ATC) and co-occurring differentiated thyroid carcinoma (DTC) samples.	1	38412093	Zeng, Peter Y F et al. Cell reports	thyroid	hg38
thyroid_mskcc_2016	Poorly-Differentiated and Anaplastic Thyroid Cancers (MSK, JCI 2016)	Targeted sequencing of 341 cancer genes from 117 patient-derived PDTCs and ATCs	1	26878173	Landa et al. J Clin Invest 2016	thyroid	hg19
