entrezGeneId	hugoGeneSymbol	type
238	ALK	protein-coding
673	BRAF	protein-coding
6352	CCL5	protein-coding
1234	CCR5	protein-coding
1021	CDK6	protein-coding
1277	COL1A1	protein-coding
3627	CXCL10	protein-coding
10563	CXCL13	protein-coding
2833	CXCR3	protein-coding
1634	DCN	protein-coding
54487	DGCR8	protein-coding
23405	DICER1	protein-coding
1733	DIO1	protein-coding
1734	DIO2	protein-coding
1956	EGFR	protein-coding
1964	EIF1AX	protein-coding
2304	FOXE1	protein-coding
84868	HAVCR2	protein-coding
3122	HLA-DRA	protein-coding
3965	LGALS9	protein-coding
4233	MET	protein-coding
7080	NKX2-1	protein-coding
7849	PAX8	protein-coding
5979	RET	protein-coding
6423	SFRP2	protein-coding
6528	SLC5A5	protein-coding
4070	TACSTD2	protein-coding
7015	TERT	protein-coding
7038	TG	protein-coding
7173	TPO	protein-coding
7422	VEGFA	protein-coding
