gene	event	n_DM2	n_DM1	DM2_rate	DM1_rate	OR	p
DCN	gain_or_amp	47	68	0.2553191489361702	0.0	inf	8.473396827767447e-06
MET	gain_or_amp	47	68	0.2978723404255319	0.014705882352941176	28.424242424242426	1.0006313566194664e-05
CDK6	gain_or_amp	47	68	0.2765957446808511	0.014705882352941176	25.61764705882353	2.7833326149462654e-05
BRAF	gain_or_amp	47	68	0.2978723404255319	0.029411764705882353	14.0	5.5465195653528025e-05
HAVCR2	gain_or_amp	47	68	0.2127659574468085	0.0	inf	6.946658660602142e-05
TERT	gain_or_amp	47	68	0.2127659574468085	0.0	inf	6.946658660602142e-05
EGFR	gain_or_amp	47	68	0.2553191489361702	0.014705882352941176	22.97142857142857	7.560244354095421e-05
TPO	loss_or_del	47	68	0.19148936170212766	0.0	inf	0.00019377521526942816
COL1A1	gain_or_amp	47	68	0.2127659574468085	0.014705882352941176	18.10810810810811	0.0005193454331973981
CCL5	gain_or_amp	47	68	0.2127659574468085	0.014705882352941176	18.10810810810811	0.0005193454331973981
PAX8	loss_or_del	47	68	0.1702127659574468	0.0	inf	0.0005316396931750977
LGALS9	gain_or_amp	47	68	0.19148936170212766	0.014705882352941176	15.868421052631579	0.001312552873240089
DICER1	gain_or_amp	47	68	0.14893617021276595	0.0	inf	0.0014354271715727642
NKX2-1	gain_or_amp	47	68	0.14893617021276595	0.0	inf	0.0014354271715727642
DIO2	gain_or_amp	47	68	0.14893617021276595	0.0	inf	0.0014354271715727642
CXCR3	gain_or_amp	47	68	0.1276595744680851	0.0	inf	0.0038161356512544215
SLC5A5	gain_or_amp	47	68	0.1276595744680851	0.0	inf	0.0038161356512544215
ALK	loss_or_del	47	68	0.19148936170212766	0.029411764705882353	7.815789473684211	0.007036604404062249
EIF1AX	gain_or_amp	47	68	0.14893617021276595	0.014705882352941176	11.725	0.007761939520356427
TG	loss_or_del	47	68	0.10638297872340426	0.0	inf	0.009994640991380628
SLC5A5	loss_or_del	47	68	0.0851063829787234	0.0	inf	0.025800119768447663
TG	gain_or_amp	47	68	0.06382978723404255	0.0	inf	0.06567303213786678
SFRP2	gain_or_amp	47	68	0.06382978723404255	0.0	inf	0.06567303213786678
CXCL13	gain_or_amp	47	68	0.06382978723404255	0.0	inf	0.06567303213786678
CXCL10	gain_or_amp	47	68	0.06382978723404255	0.0	inf	0.06567303213786678
CCR5	gain_or_amp	47	68	0.0425531914893617	0.0	inf	0.1649122807017544
RET	gain_or_amp	47	68	0.0425531914893617	0.0	inf	0.1649122807017544
FOXE1	loss_or_del	47	68	0.1276595744680851	0.058823529411764705	2.341463414634146	0.3126927269496452
EIF1AX	loss_or_del	47	68	0.02127659574468085	0.0	inf	0.408695652173913
ALK	gain_or_amp	47	68	0.02127659574468085	0.0	inf	0.408695652173913
COL1A1	loss_or_del	47	68	0.02127659574468085	0.0	inf	0.408695652173913
CCR5	loss_or_del	47	68	0.02127659574468085	0.0	inf	0.408695652173913
VEGFA	gain_or_amp	47	68	0.02127659574468085	0.0	inf	0.408695652173913
VEGFA	loss_or_del	47	68	0.02127659574468085	0.0	inf	0.408695652173913
LGALS9	loss_or_del	47	68	0.02127659574468085	0.0	inf	0.408695652173913
NKX2-1	loss_or_del	47	68	0.02127659574468085	0.0	inf	0.408695652173913
HLA-DRA	loss_or_del	47	68	0.02127659574468085	0.0	inf	0.408695652173913
HLA-DRA	gain_or_amp	47	68	0.02127659574468085	0.0	inf	0.408695652173913
TPO	gain_or_amp	47	68	0.02127659574468085	0.0	inf	0.408695652173913
FOXE1	gain_or_amp	47	68	0.02127659574468085	0.0	inf	0.408695652173913
DICER1	loss_or_del	47	68	0.02127659574468085	0.0	inf	0.408695652173913
DIO2	loss_or_del	47	68	0.02127659574468085	0.0	inf	0.408695652173913
PAX8	gain_or_amp	47	68	0.02127659574468085	0.0	inf	0.408695652173913
CCL5	loss_or_del	47	68	0.02127659574468085	0.0	inf	0.408695652173913
DGCR8	gain_or_amp	47	68	0.0425531914893617	0.014705882352941176	2.977777777777778	0.5663676312751867
CXCR3	loss_or_del	47	68	0.0425531914893617	0.014705882352941176	2.977777777777778	0.5663676312751867
DIO1	loss_or_del	47	68	0.0425531914893617	0.014705882352941176	2.977777777777778	0.5663676312751867
TACSTD2	loss_or_del	47	68	0.0425531914893617	0.014705882352941176	2.977777777777778	0.5663676312751867
DGCR8	loss_or_del	47	68	0.10638297872340426	0.1323529411764706	0.7804232804232805	0.7770218742863277
EGFR	loss_or_del	47	68	0.0	0.0	inf	1.0
DCN	loss_or_del	47	68	0.0	0.0	inf	1.0
DIO1	gain_or_amp	47	68	0.02127659574468085	0.014705882352941176	1.4565217391304348	1.0
BRAF	loss_or_del	47	68	0.02127659574468085	0.014705882352941176	1.4565217391304348	1.0
CDK6	loss_or_del	47	68	0.0	0.0	inf	1.0
CXCL10	loss_or_del	47	68	0.0	0.0	inf	1.0
CXCL13	loss_or_del	47	68	0.0	0.0	inf	1.0
RET	loss_or_del	47	68	0.0425531914893617	0.029411764705882353	1.4666666666666666	1.0
MET	loss_or_del	47	68	0.0	0.0	inf	1.0
HAVCR2	loss_or_del	47	68	0.0	0.0	inf	1.0
SFRP2	loss_or_del	47	68	0.0	0.0	inf	1.0
TERT	loss_or_del	47	68	0.0	0.0	inf	1.0
TACSTD2	gain_or_amp	47	68	0.02127659574468085	0.014705882352941176	1.4565217391304348	1.0
