target	model	n	pooled_rho	pooled_p	sample_centered_rho	sample_centered_p	median_sample_rho	samples_rho_gt_0_2	n_features
AP_TLS_composite	HE_tile_features	16985	0.5901537167217378	0.0	-0.09030926241129497	4.245222267677978e-32	-0.04731966648446018	0	52
AP_TLS_composite	Coord_only	16985	0.0022404536225563293	0.7703100317658301	0.09578033858163393	6.535460799012733e-36	0.061101496452678386	3	2
AP_TLS_composite	Group_only	16985	0.7913785058449171	0.0	-0.013730773774730328	0.073544543142941	NA	0	3
AP_TLS_composite	Coord_group	16985	0.7611575114952861	0.0	0.07312241282476019	1.4028971605356822e-21	0.036053960832117024	3	5
HLA_II_AP	HE_tile_features	16985	0.582913527674179	0.0	-0.045652308040967295	2.6428458097971596e-09	-0.0637117049446771	1	52
HLA_II_AP	Coord_only	16985	0.09726194552292464	5.546392368838979e-37	0.18279321232918397	1.571765703413654e-127	0.17178943047941378	4	2
HLA_II_AP	Group_only	16985	0.5593304149396606	0.0	0.02135705492051434	0.005377534907480529	NA	0	3
HLA_II_AP	Coord_group	16985	0.5707064463490209	0.0	0.15802941939748705	2.0935718535640504e-95	0.1806464863741306	3	5
B_TLS	HE_tile_features	16985	0.5023079848279087	0.0	-0.10326716931589298	1.7068833267833525e-41	-0.09048724550646386	0	52
B_TLS	Coord_only	16985	-0.027178999811956827	0.0003962964065359152	0.02484863084874977	0.0012007702056056706	-0.07110254802611758	3	2
B_TLS	Group_only	16985	0.8265434137038855	0.0	-0.014553540607298916	0.05787110328046417	NA	0	3
B_TLS	Coord_group	16985	0.7875017383264441	0.0	-0.01329767564378512	0.08309766544523058	-0.08451889537734639	2	5
CD74_MIF_axis	HE_tile_features	16985	0.5394354112880507	0.0	-0.05530853228293069	5.466854220428441e-13	-0.03407519567023636	0	52
CD74_MIF_axis	Coord_only	16985	0.1167991362976583	1.1536575232866008e-52	0.113551605209399	7.414089127642264e-50	0.10534476423638651	4	2
CD74_MIF_axis	Group_only	16985	0.5139597557171094	0.0	-0.053746940338156815	2.3968115910518112e-12	NA	0	3
CD74_MIF_axis	Coord_group	16985	0.5431574821269305	0.0	0.10781234398379273	4.322717857368175e-45	0.09959935376453884	4	5
Thyrocyte	HE_tile_features	16985	0.3976345099984516	0.0	-0.010888046846354632	0.1559168590351123	0.027934145218463942	1	52
Thyrocyte	Coord_only	16985	-0.17603271072158913	2.860250358222999e-118	-0.05664463565791667	1.4940585353344887e-13	-0.0003839842524978633	2	2
Thyrocyte	Group_only	16985	0.522942297765664	0.0	-0.036401232705444264	2.082292942393444e-06	NA	0	3
Thyrocyte	Coord_group	16985	0.5891129050520242	0.0	-0.04008869274347537	1.7290219384879825e-07	0.08596881346055177	2	5
