	held_cohort	n_train	n_test	auc	auc_direction_invariant	note
0	GSE27155	609	70	0.0	1.0	small n
1	GSE76039	642	37			single-class test or train
2	TCGA-THCA	107	572	0.02167377011266395	0.9783262298873361	
