dataset	ATC	FTC	FVPTC	MTC	PDTC	cPTC	normal	unknown
GSE126698	10	6	0	0	0	6	6	0
GSE213647	27	11	0	0	8	579	0	7
GSE27155	0	13	0	2	0	51	0	33
GSE76039	20	0	0	0	17	0	0	0
GSE97466	0	0	0	0	0	0	50	91
TCGA-THCA	0	0	109	0	0	430	2	31
