dataset	label_confidence	n
GSE126698	high	28
GSE213647	high	614
GSE213647	low	7
GSE213647	medium→excluded_relabeling	11
GSE27155	high	66
GSE27155	medium	33
GSE76039	high	37
GSE97466	high	50
GSE97466	low	91
TCGA-THCA	high	541
TCGA-THCA	medium	31
