dataset	panel	coverage
TCGA-THCA	TDS16_coverage_frac	1.0
GSE213647	TDS16_coverage_frac	0.0
GSE126698	TDS16_coverage_frac	0.875
GSE27155	TDS16_coverage_frac	0.875
GSE76039	TDS16_coverage_frac	1.0
TCGA-THCA	BRS71_proxy_coverage_frac	1.0
GSE213647	BRS71_proxy_coverage_frac	0.0
GSE126698	BRS71_proxy_coverage_frac	0.7746478873239436
GSE27155	BRS71_proxy_coverage_frac	0.5633802816901409
GSE76039	BRS71_proxy_coverage_frac	0.7887323943661971
TCGA-THCA	TierA67_entries_coverage_frac	1.0
GSE213647	TierA67_entries_coverage_frac	0.0
GSE126698	TierA67_entries_coverage_frac	0.9552238805970148
GSE27155	TierA67_entries_coverage_frac	0.9253731343283582
GSE76039	TierA67_entries_coverage_frac	0.9850746268656716
