panel	category	n
TierA67	TDS_core	16
TierA67	MAPK_output_ERK	10
TierA67	Driver_anchor	12
TierA67	Aggressive_marker	10
TierA67	Dediff_invasion	10
TierA67	Immune_stromal_light	5
TierA67	Thyroid_lineage_extra	4
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
TDS16	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
BRS_proxy	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
