panel_model	truth	pred	value
TDS16__LogReg_l2	BRAF_like	BRAF_like	369
TDS16__LogReg_l2	BRAF_like	RAS_like	73
TDS16__LogReg_l2	RAS_like	BRAF_like	23
TDS16__LogReg_l2	RAS_like	RAS_like	96
