dataset	modality	n
GSE126698	bulk RNA-seq	28
GSE213647	bulk RNA-seq	632
GSE27155	microarray	99
GSE76039	microarray	37
GSE97466	methylation	141
TCGA-THCA	bulk RNA-seq	572
