panel_a	panel_b	overlap
TDS16	TDS16	16
TDS16	BRS_proxy	0
TDS16	TierA67	16
TDS16	ThyroSeq112_surrogate	16
BRS_proxy	TDS16	0
BRS_proxy	BRS_proxy	71
BRS_proxy	TierA67	0
BRS_proxy	ThyroSeq112_surrogate	46
TierA67	TDS16	16
TierA67	BRS_proxy	0
TierA67	TierA67	66
TierA67	ThyroSeq112_surrogate	66
ThyroSeq112_surrogate	TDS16	16
ThyroSeq112_surrogate	BRS_proxy	46
ThyroSeq112_surrogate	TierA67	66
ThyroSeq112_surrogate	ThyroSeq112_surrogate	112
