	sample	stage	pc1	pc2	cohort
100	TCGA-FE-A3PC-01A	pre	-5.745095595949628	-7.327319248523501	TCGA-THCA
101	TCGA-EM-A3FQ-01A	pre	12.064836696861361	-1.0449385219965108	TCGA-THCA
102	TCGA-EL-A3GO-01A	pre	2.4256141595693927	-6.973746231967533	TCGA-THCA
103	TCGA-E8-A44K-01A	pre	-1.0129999663365068	-9.058220182087574	TCGA-THCA
104	TCGA-EM-A3SU-06A	pre	7.633081312709097	-2.8701372954730036	TCGA-THCA
105	TCGA-DJ-A3UZ-01A	pre	5.990754801433216	-10.215886242724533	TCGA-THCA
106	TCGA-BJ-A0ZE-01A	pre	-12.395013909865673	-11.909199847426924	TCGA-THCA
107	TCGA-E8-A432-01A	pre	9.400524716319932	-4.793599171534989	TCGA-THCA
108	TCGA-BJ-A18Y-01A	pre	0.4040896153998497	-12.333718001643932	TCGA-THCA
109	TCGA-DJ-A4UT-01A	pre	6.933655384594424	-6.136716562538682	TCGA-THCA
110	TCGA-DJ-A2Q3-01A	pre	8.462776293893207	-7.367815934103456	TCGA-THCA
111	TCGA-ET-A40R-01A	pre	6.544427102306301	-7.427343255408605	TCGA-THCA
112	TCGA-EM-A2CR-01A	pre	-14.39791739823487	-10.788737924880218	TCGA-THCA
113	TCGA-J8-A4HY-01A	pre	0.1946335273428166	-11.875222532006719	TCGA-THCA
114	TCGA-DJ-A3UP-01A	pre	2.713170386259517	-12.632897765278178	TCGA-THCA
115	TCGA-EM-A3FR-01A	pre	0.7532800448928434	-12.25154278260535	TCGA-THCA
116	TCGA-DJ-A4UQ-01A	pre	9.016814159132336	-8.780902828925202	TCGA-THCA
117	TCGA-ET-A4KQ-01A	pre	2.184890984952526	-13.451325493195142	TCGA-THCA
118	TCGA-CE-A481-01A	pre	8.26395108837822	-7.595792964855815	TCGA-THCA
119	TCGA-EM-A3O3-01A	pre	-3.038166940644396	1.0314881261079816	TCGA-THCA
120	TCGA-EM-A2CP-01A	pre	2.204877741456424	-4.063333897554749	TCGA-THCA
121	TCGA-EL-A3GZ-11A	pre	1.6764794141389985	-12.150086250811182	TCGA-THCA
122	TCGA-EL-A3H3-01A	pre	2.703284358128385	-3.941720990947339	TCGA-THCA
123	TCGA-EL-A3CS-01A	pre	1.0761023061453994	-12.860303798000873	TCGA-THCA
124	TCGA-BJ-A0Z3-01A	pre	6.333172824958799	-7.873430065648375	TCGA-THCA
125	TCGA-DJ-A2PT-01A	pre	6.892911338956865	-2.7917353767126407	TCGA-THCA
126	TCGA-ET-A39I-01A	pre	-1.5300153125525648	-17.51257261966136	TCGA-THCA
127	TCGA-FK-A3SD-01A	pre	-6.671396035261256	-12.116100925351054	TCGA-THCA
128	TCGA-DJ-A13W-01A	pre	-49.69825431040546	-3.819755061736868	TCGA-THCA
129	TCGA-DJ-A13R-01A	pre	-30.247214746852684	0.7020074176042697	TCGA-THCA
130	TCGA-DJ-A1QI-01A	pre	8.854136122512982	-11.583724614048355	TCGA-THCA
131	TCGA-EL-A3ZK-01A	pre	3.630048940824211	-6.302179881151857	TCGA-THCA
132	TCGA-ET-A3DW-11A	pre	0.8921224054954516	-12.529394710736026	TCGA-THCA
133	TCGA-EL-A4JZ-01A	pre	8.366283065521843	-5.309123648451066	TCGA-THCA
134	TCGA-ET-A2N4-01A	pre	1.899238560330867	-15.3981108956682	TCGA-THCA
135	TCGA-ET-A3DS-01A	pre	-5.293017826587491	-10.497602426600812	TCGA-THCA
136	TCGA-EL-A3D4-01A	pre	2.7345220342969956	-11.369216292968819	TCGA-THCA
137	TCGA-DJ-A2PZ-01A	pre	4.105544270408992	-10.312725491737806	TCGA-THCA
138	TCGA-FY-A3RA-01A	pre	4.004347146224104	-14.689006220139687	TCGA-THCA
139	TCGA-EM-A4FV-01A	pre	6.539984134906788	-8.981662362491939	TCGA-THCA
140	TCGA-EM-A3AN-01A	pre	7.762093345544215	-12.643326722720852	TCGA-THCA
141	TCGA-DJ-A3UN-01A	pre	2.7816765685152496	-14.027097802561862	TCGA-THCA
142	TCGA-J8-A42S-01A	pre	7.740074033138331	-10.227151623770304	TCGA-THCA
143	TCGA-EL-A4JX-01A	pre	-4.523828998942087	-2.1074363433624135	TCGA-THCA
144	TCGA-DE-A0Y2-01A	pre	3.0451432846324815	-15.331633361722846	TCGA-THCA
145	TCGA-EL-A4JV-01A	pre	-0.4900367492594003	-12.226498996012046	TCGA-THCA
146	TCGA-KS-A4I1-01A	pre	-2.5720769005777604	-9.994072721813525	TCGA-THCA
147	TCGA-CE-A27D-01A	pre	8.62321303278	-4.36065805703585	TCGA-THCA
148	TCGA-BJ-A0Z0-01A	pre	-3.7497883392387816	-15.801981442424333	TCGA-THCA
149	TCGA-EL-A3CU-01A	pre	7.4819074853719	-7.10359315172306	TCGA-THCA
150	TCGA-EM-A1CV-11A	pre	-2.4678825071399495	-14.224228075663431	TCGA-THCA
151	TCGA-EL-A3MY-11A	pre	3.2719320566460652	-10.532846701668115	TCGA-THCA
152	TCGA-EM-A2CK-01A	pre	-2.69647430144613	-13.675256845277296	TCGA-THCA
153	TCGA-FK-A4UB-01A	pre	-3.8908973573385497	-11.05052148438104	TCGA-THCA
154	TCGA-ET-A2N5-01A	pre	-3.10134266303734	-13.382454554146618	TCGA-THCA
155	TCGA-ET-A2N5-11B	pre	-0.87983346708714	-11.489702086938337	TCGA-THCA
156	TCGA-EM-A2P0-01A	pre	8.908364734923344	-13.128487141344175	TCGA-THCA
157	TCGA-H2-A421-01A	pre	0.17174462319823122	-5.42229556874019	TCGA-THCA
158	TCGA-CE-A483-01A	pre	2.351445750080239	-14.278248465091437	TCGA-THCA
159	TCGA-FY-A76V-01A	pre	7.581306332031172	-11.009522170568145	TCGA-THCA
160	TCGA-EL-A3GX-01A	pre	5.274210054174414	-9.21496387905573	TCGA-THCA
161	TCGA-DO-A2HM-01B	pre	8.382245296001399	0.6603703722309188	TCGA-THCA
162	TCGA-IM-A3U2-01A	pre	1.1322020759287452	-9.517418562879103	TCGA-THCA
163	TCGA-EL-A3T0-11A	pre	2.9817063883482957	-6.727972088565639	TCGA-THCA
164	TCGA-EL-A3T0-01A	pre	9.068993872359023	-9.407101875941683	TCGA-THCA
165	TCGA-E3-A3E1-01A	pre	5.917995609849534	-12.403616820146274	TCGA-THCA
166	TCGA-ET-A3BX-01A	pre	4.460975094507002	-12.539328514531622	TCGA-THCA
167	TCGA-BJ-A0ZJ-01A	pre	6.110009564914515	-8.141911301897863	TCGA-THCA
168	TCGA-EL-A3T9-01A	pre	6.162412724767944	1.0065466837758759	TCGA-THCA
169	TCGA-EM-A1YD-01A	pre	0.5864523799546089	-8.784745454331938	TCGA-THCA
170	TCGA-EL-A3T6-11A	pre	5.773131328637054	-4.2739252252968365	TCGA-THCA
171	TCGA-ET-A3BP-01A	pre	1.2958708858474968	-13.42753115336529	TCGA-THCA
172	TCGA-EL-A3H1-01A	pre	2.8470666160707947	-11.331579183346458	TCGA-THCA
