axis	axis_label	model	r_squared	unexplained_fraction	claim_boundary
rai_differentiation_score	RAI differentiation	driver_only	0.3092715777702798	0.6907284222297202	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
rai_differentiation_score	RAI differentiation	driver_stage	0.3292807924634771	0.6707192075365229	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
rai_differentiation_score	RAI differentiation	driver_stage_epithelial	0.4478584745432199	0.5521415254567801	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
rai_differentiation_score	RAI differentiation	driver_stage_epithelial_age_sex	0.45939599047899526	0.5406040095210047	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
hla_i_apm_score	HLA-I/APM	driver_only	0.15648675966347902	0.843513240336521	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
hla_i_apm_score	HLA-I/APM	driver_stage	0.16191779009671192	0.8380822099032881	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
hla_i_apm_score	HLA-I/APM	driver_stage_epithelial	0.18216488605421144	0.8178351139457886	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
hla_i_apm_score	HLA-I/APM	driver_stage_epithelial_age_sex	0.20294219506258737	0.7970578049374126	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
immune_visibility_score	Immune visibility	driver_only	0.12469144567698909	0.8753085543230109	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
immune_visibility_score	Immune visibility	driver_stage	0.12555051490109936	0.8744494850989006	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
immune_visibility_score	Immune visibility	driver_stage_epithelial	0.14681321474745224	0.8531867852525478	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
immune_visibility_score	Immune visibility	driver_stage_epithelial_age_sex	0.16900471584303967	0.8309952841569603	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
cd8_exclusion_proxy	CD8 exclusion	driver_only	0.16169008137940655	0.8383099186205935	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
cd8_exclusion_proxy	CD8 exclusion	driver_stage	0.1794080044369405	0.8205919955630595	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
cd8_exclusion_proxy	CD8 exclusion	driver_stage_epithelial	0.22367647375827182	0.7763235262417282	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
cd8_exclusion_proxy	CD8 exclusion	driver_stage_epithelial_age_sex	0.2238860335865388	0.7761139664134612	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
myeloid_caf_barrier_score	Myeloid/CAF barrier	driver_only	0.18189109357454336	0.8181089064254566	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
myeloid_caf_barrier_score	Myeloid/CAF barrier	driver_stage	0.1898433857049383	0.8101566142950617	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
myeloid_caf_barrier_score	Myeloid/CAF barrier	driver_stage_epithelial	0.23902834878870338	0.7609716512112966	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
myeloid_caf_barrier_score	Myeloid/CAF barrier	driver_stage_epithelial_age_sex	0.24946023798267558	0.7505397620173244	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
drug_delivery_failure_proxy	Drug-delivery failure	driver_only	0.33180428522312044	0.6681957147768796	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
drug_delivery_failure_proxy	Drug-delivery failure	driver_stage	0.35885661713391903	0.641143382866081	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
drug_delivery_failure_proxy	Drug-delivery failure	driver_stage_epithelial	0.4008357469517615	0.5991642530482385	Descriptive variance check; omitted fusions, CNV, methylation, purity, and treatment variables may contribute.
