endpoint	axis	axis_label	n	n_events	cox_hr_per_sd	cox_p	median_split_logrank_p	claim_boundary	cox_fdr_q	logrank_fdr_q
PFI	rai_differentiation_score	RAI differentiation	504	52	0.7988550994307705	0.05552387415375533	0.007081873456440219	Exploratory survival association only; not validated and not treatment-predictive.	0.22209549661502132	0.1133099753030435
PFI	hla_i_apm_score	HLA-I/APM	504	52	1.0870386032142734	0.554004388929166	0.2390959436249348	Exploratory survival association only; not validated and not treatment-predictive.	0.8058245657151506	0.7651070195997913
PFI	immune_visibility_score	Immune visibility	504	52	1.035769067982331	0.8039595245581879	0.9143249471631592	Exploratory survival association only; not validated and not treatment-predictive.	0.9188108852093576	0.9143249471631592
PFI	cd8_exclusion_proxy	CD8 exclusion	504	52	1.0679565486569507	0.6422263604170046	0.7240758424879341	Exploratory survival association only; not validated and not treatment-predictive.	0.8563018138893396	0.8245903202386877
PFI	myeloid_caf_barrier_score	Myeloid/CAF barrier	504	52	0.9951051543479813	0.9724364238514032	0.49833722292831295	Exploratory survival association only; not validated and not treatment-predictive.	0.9724364238514032	0.814442323187733
PFI	drug_delivery_failure_proxy	Drug-delivery failure proxy	504	52	1.2683744837366253	0.09361993453861768	0.12216353805153381	Exploratory survival association only; not validated and not treatment-predictive.	0.22384968663608926	0.48865415220613523
PFI	aggressive_dedifferentiation_score	Aggressive dedifferentiation	504	52	1.234072618213841	0.17194718259452696	0.03388437687121326	Exploratory survival association only; not validated and not treatment-predictive.	0.33256915582043783	0.18071667664647073
PFI	proliferation_score	Proliferation	504	52	1.513814673984553	0.002725999769967368	0.014233896697370877	Exploratory survival association only; not validated and not treatment-predictive.	0.043615996319477886	0.11387117357896702
OS	rai_differentiation_score	RAI differentiation	504	16	1.0349676353481627	0.8870121793187269	0.6807537268872159	Exploratory survival association only; not validated and not treatment-predictive.	0.946146324606642	0.8245903202386877
OS	hla_i_apm_score	HLA-I/APM	504	16	0.5769851424748357	0.05503642875538499	0.3523649129746915	Exploratory survival association only; not validated and not treatment-predictive.	0.22209549661502132	0.814442323187733
OS	immune_visibility_score	Immune visibility	504	16	0.5529083637915041	0.05354726832778688	0.42954502442477693	Exploratory survival association only; not validated and not treatment-predictive.	0.22209549661502132	0.814442323187733
OS	cd8_exclusion_proxy	CD8 exclusion	504	16	1.503954501887947	0.09793423790328905	0.7730534252237697	Exploratory survival association only; not validated and not treatment-predictive.	0.22384968663608926	0.8245903202386877
OS	myeloid_caf_barrier_score	Myeloid/CAF barrier	504	16	1.0796933771036157	0.7726319820032733	0.7292134425665804	Exploratory survival association only; not validated and not treatment-predictive.	0.9188108852093576	0.8245903202386877
OS	drug_delivery_failure_proxy	Drug-delivery failure proxy	504	16	1.6104069330390978	0.07376843909634752	0.5354109941829134	Exploratory survival association only; not validated and not treatment-predictive.	0.22384968663608926	0.814442323187733
OS	aggressive_dedifferentiation_score	Aggressive dedifferentiation	504	16	0.722890652389229	0.18707015014899628	0.5599290971915665	Exploratory survival association only; not validated and not treatment-predictive.	0.33256915582043783	0.814442323187733
OS	proliferation_score	Proliferation	504	16	0.7343864193887404	0.2272704506686129	0.5159865696921611	Exploratory survival association only; not validated and not treatment-predictive.	0.3636327210697806	0.814442323187733
