module	n_samples	spearman_dediff_order_rho	spearman_p	mean_PTC	mean_PDTC	mean_ATC	claim_boundary	fdr_q
RAI_differentiation_protein	461	-0.4199744701099231	4.006596073573345e-21	0.033917690937862496	-0.20451350780578695	-0.6970088705680058	Bulk proteomics dedifferentiation trend; not spatial and not treatment-response proof.	4.0065960735733454e-20
myeloid_suppressive_protein	461	0.40780597856046347	6.711327617750789e-20	-0.2875971893006654	-0.1905874259011102	0.7971896143594186	Bulk proteomics dedifferentiation trend; not spatial and not treatment-response proof.	3.3556638088753945e-19
TGFB_barrier_single_protein	461	0.3424113631893416	3.978185625972716e-14	-0.1884751755998683	0.2314690920093111	0.8894150927252107	Bulk proteomics dedifferentiation trend; not spatial and not treatment-response proof.	1.3260618753242387e-13
protein_aggressive_visibility_score	461	0.3233282139864257	1.116610167189255e-12	-0.31729129627945746	-0.5340551003273429	1.9675026584372968	Bulk proteomics dedifferentiation trend; not spatial and not treatment-response proof.	2.791525417973137e-12
HLA_I_APM_protein	461	0.09321981488014008	0.04545296690752788	0.004223583959070433	-0.5479811822320197	0.47330417350987236	Bulk proteomics dedifferentiation trend; not spatial and not treatment-response proof.	0.09090593381505575
checkpoint_suppression_protein	461	0.08608759806425914	0.06477747980086664	-0.07959366977716029	-0.058113591005236345	0.18032033824915733	Bulk proteomics dedifferentiation trend; not spatial and not treatment-response proof.	0.10796246633477773
IFN_APM_activation_protein	461	0.07390211209075684	0.11305605278370652	0.06836362487604056	-0.39171280999332814	0.4402264017770062	Bulk proteomics dedifferentiation trend; not spatial and not treatment-response proof.	0.16150864683386645
CD8_cytotoxic_protein	461	0.059387691928461134	0.20309979691965593	-0.045892366566946986	-0.20562430782551913	0.11063249955374907	Bulk proteomics dedifferentiation trend; not spatial and not treatment-response proof.	0.2538747461495699
TLS_B_cell_protein	461	-0.036101471459461236	0.43935718106682514	-0.022106357435735358	-0.3075434445620879	0.017849316673568358	Bulk proteomics dedifferentiation trend; not spatial and not treatment-response proof.	0.4881746456298057
HLA_II_APC_protein	461	0.012970224387046017	0.7812133630628121	0.06354263305792775	-0.10737389736461714	0.32627666130199107	Bulk proteomics dedifferentiation trend; not spatial and not treatment-response proof.	0.7812133630628121
