protein_module	n_requested	n_found	found_proteins	claim_boundary
RAI_differentiation_protein	7	7	SLC5A5,TPO,TG,TSHR,PAX8,FOXE1,DIO1	Bulk proteomics availability; not spatial proteomics.
HLA_I_APM_protein	5	5	B2M,TAP1,TAP2,PSMB8,PSMB9	Bulk proteomics availability; not spatial proteomics.
HLA_II_APC_protein	1	1	CD74	Bulk proteomics availability; not spatial proteomics.
CD8_cytotoxic_protein	2	2	CD8A,PRF1	Bulk proteomics availability; not spatial proteomics.
IFN_APM_activation_protein	4	4	STAT1,IRF1,PSMB8,PSMB9	Bulk proteomics availability; not spatial proteomics.
checkpoint_suppression_protein	4	4	TOX,LAG3,CD274,PDCD1LG2	Bulk proteomics availability; not spatial proteomics.
myeloid_suppressive_protein	4	4	ITGAM,MRC1,CD163,TGFB1	Bulk proteomics availability; not spatial proteomics.
TLS_B_cell_protein	6	6	CXCL13,CCL21,JCHAIN,MS4A1,CD79A,MZB1	Bulk proteomics availability; not spatial proteomics.
TGFB_barrier_single_protein	1	1	TGFB1	Bulk proteomics availability; not spatial proteomics.
