model	subset	n	AUROC	AUROC_lo95	AUROC_hi95	ECE
W7-A_GPquantum	ITSNdb_combined	319	0.7622950819672131	0.7091304347826087	0.8128622976966557	0.1020194271185744
W7-B_StackedLR	ITSNdb_combined	319	0.8019929283188685	0.754085764869347	0.8442221082610251	0.1344520618603473
W7-A_QK_only	ITSNdb_combined	319	0.7673175827708132	0.7139461830251305	0.8196975148719606	0.1061207941837196
W7-A_GPRBF_only	ITSNdb_combined	319	0.7434104789456766	0.6893103216696514	0.7956487944461186	0.0987646828528889
W7-A_GPquantum	ITSNdb_no_overlap	106	0.5649647156496472	0.4370138888888888	0.6736219399731724	0.2502294028848053
W7-B_StackedLR	ITSNdb_no_overlap	106	0.5512660855126609	0.4378846577555816	0.6579262416604893	0.27067282143867
W7-A_QK_only	ITSNdb_no_overlap	106	0.6089663760896638	0.4811088651546847	0.717834705127237	0.2304844900144563
W7-A_GPRBF_only	ITSNdb_no_overlap	106	0.5110004151100042	0.3955731483128743	0.6209282081377152	0.2380605518981926
W7-A_GPquantum	ITSNdb_in_master	213	0.8502206531332746	0.7978023679677889	0.8977271989877031	0.0816307757006144
W7-B_StackedLR	ITSNdb_in_master	213	0.8975286849073257	0.8572473768107574	0.9355693268250608	0.1165263617954464
W7-A_QK_only	ITSNdb_in_master	213	0.8357016769638129	0.7825672992056487	0.8844697472543575	0.1090615467997899
W7-A_GPRBF_only	ITSNdb_in_master	213	0.8483671668137688	0.7952572489391796	0.894562194091632	0.1054073580208904
W7-A_GPquantum	VenusVaccine_top10_mean	0				
W7-B_StackedLR	VenusVaccine_top10_mean	0				
W7-B_StackedLR	LOSO_CEDAR	909	0.8785809797803801	0.8336706534189287	0.9196388480612152	0.1940380662173627
W7-B_StackedLR	LOSO_NEPdb	572	0.8529203567664501	0.8212533987681628	0.8846475323408012	0.1472946261049871
W7-B_StackedLR	LOSO_TESLA_mmc4	605	0.8704320517700801	0.822064783585344	0.9117636010298068	0.2483382357525931
W7-B_StackedLR	LOSO_TESLA_mmc7_validation	310	0.957516339869281	0.8574202496532594	1.0	0.1329303009346897
W7-B_StackedLR	PerAllele_HLA-A*02:01	111	0.682498373454782	0.5779052515281328	0.7834633626177744	0.2569906321455367
W7-A_GPquantum	PerAllele_HLA-A*02:01	111	0.6919323357189331	0.5908891287632342	0.7891781424888386	0.169641228466494
W7-B_StackedLR	PerAllele_HLA-A*01:01	42	0.925925925925926	0.8269301470588236	0.9938020833333332	0.1128102950627303
W7-A_GPquantum	PerAllele_HLA-A*01:01	42	0.9166666666666669	0.8092841198979591	0.9914529914529914	0.1661192065844898
W7-B_StackedLR	PerAllele_HLA-A*03:01	21	0.7375	0.3947368421052631	1.0	0.3447409629535719
W7-A_GPquantum	PerAllele_HLA-A*03:01	21	0.7	0.2628654970760234	1.0	0.3217973246180532
W7-B_StackedLR	PerAllele_HLA-A*11:01	27	1.0	1.0	1.0	0.0320677305408161
W7-A_GPquantum	PerAllele_HLA-A*11:01	27	0.992063492063492	0.9565217391304348	1.0	0.1587739070331451
W7-B_StackedLR	PerAllele_HLA-B*27:05	21	0.6470588235294117	0.35	1.0	0.5072820695488852
W7-A_GPquantum	PerAllele_HLA-B*27:05	21	0.6323529411764706	0.3444444444444444	1.0	0.4861423499443091
W7-B_StackedLR	PerAllele_HLA-A*24:02	12	0.7777777777777778	0.4464646464646465	1.0	0.3665256343697031
W7-A_GPquantum	PerAllele_HLA-A*24:02	12	0.6666666666666667	0.261952861952862	1.0	0.3823727429853565
Wave3_MHCflurry	ITSNdb_combined	319	0.63673256187721	0.5731747306895	0.6998426784993951	0.3787840378938122
Wave3_MHCflurry	ITSNdb_no_overlap	106	0.668327106683271	0.5356060560896241	0.7873267176671381	0.5353227804148546
Wave3_MHCflurry	ITSNdb_in_master	213	0.6415710503089145	0.5658789774326809	0.7166353154459189	0.3030672139111167
Wave3_BIGMHC	ITSNdb_combined	319	0.7476695596271296	0.6950626393267717	0.7960062436820278	0.1392575469798118
Wave3_BIGMHC	ITSNdb_no_overlap	106	0.6259858862598588	0.5077774577572965	0.7265760931776557	0.1575410698845283
Wave3_BIGMHC	ITSNdb_in_master	213	0.8415710503089144	0.7887023792968725	0.8919091710758378	0.1982573592431924
Wave3_PRIME	ITSNdb_combined	319	0.5673015107682416	0.4991512273332786	0.6291570402421696	0.4263322874012539
Wave3_PRIME	ITSNdb_no_overlap	106	0.572436695724367	0.4573288695396944	0.6858711192810457	0.3113207537169811
Wave3_PRIME	ITSNdb_in_master	213	0.5638570167696382	0.490930217841549	0.6378498678573814	0.4835680741173708
Wave3_NETMHCPAN	ITSNdb_combined	319	0.5668796207007393	0.5010774725889162	0.6322281970693018	0.4263322874012539
Wave3_NETMHCPAN	ITSNdb_no_overlap	106	0.5502283105022832	0.4206035539215686	0.6780896874400989	0.3113207537169811
Wave3_NETMHCPAN	ITSNdb_in_master	213	0.5709179170344219	0.4925355998679184	0.6493987933344159	0.4835680741173708
Wave3_DEEPIMMUNO	ITSNdb_combined	319	0.7019045323047252	0.642803294259241	0.7626214902149443	0.2153785594670846
Wave3_DEEPIMMUNO	ITSNdb_no_overlap	106	0.5790784557907845	0.4640518575851393	0.6976638889917657	0.4282133112264151
Wave3_DEEPIMMUNO	ITSNdb_in_master	213	0.8025595763459842	0.7408958001063264	0.8555260665869218	0.1278511626291079
Wave3_TRANSPHLA	ITSNdb_combined	318	0.5797004654928152	0.5152982383456273	0.6419226859490331	
Wave3_TRANSPHLA	ITSNdb_no_overlap	106	0.5550020755500208	0.4402471076458752	0.6731392195767195	0.6758828346851754
Wave3_TRANSPHLA	ITSNdb_in_master	212	0.5831996434937612	0.5084838922835687	0.6534740293021993	
Wave2_Wave1_Bayesian	ITSNdb_combined	319	0.7840628984275395			
Wave2_Structure_LR	ITSNdb_combined	319	0.6893752656183595			
Wave2_Wave1+Structure_avg50	ITSNdb_combined	319	0.7724606884827879			
Wave2_VQC_8q3l_quantum	ITSNdb_combined	319	0.5895400895400895			
Wave2_LR_8d_PCA_classical	ITSNdb_combined	319	0.6632885632885633			
Wave2_QK_SVM_4q_quantum	ITSNdb_combined	319	0.5846560846560847			
Wave2_RBF_SVM_8d_classical	ITSNdb_combined	319	0.6485144485144485			
Wave2_GP_RBF_8d_classical_Bayesian	ITSNdb_combined	319	0.6564916564916565			
Wave2_GP_quantum_4q_Bayesian	ITSNdb_combined	319	0.6009768009768011			
Wave2_Ensemble_core_mean	ITSNdb_combined	319	0.7437932437932437			
Wave2_Ensemble_W1+VQC+Struct	ITSNdb_combined	319	0.7572649572649572			
Wave2_Wave1_Bayesian	ITSNdb_no_overlap	111	0.4106514084507042			
Wave2_Structure_LR	ITSNdb_no_overlap	111	0.653169014084507			
Wave2_Wave1+Structure_avg50	ITSNdb_no_overlap	111	0.585387323943662			
Wave2_VQC_8q3l_quantum	ITSNdb_no_overlap	111	0.5826740506329113			
Wave2_LR_8d_PCA_classical	ITSNdb_no_overlap	111	0.6159018987341772			
Wave2_QK_SVM_4q_quantum	ITSNdb_no_overlap	111	0.5739715189873418			
Wave2_RBF_SVM_8d_classical	ITSNdb_no_overlap	111	0.5320411392405063			
Wave2_GP_RBF_8d_classical_Bayesian	ITSNdb_no_overlap	111	0.5118670886075949			
Wave2_GP_quantum_4q_Bayesian	ITSNdb_no_overlap	111	0.5632911392405063			
Wave2_Ensemble_core_mean	ITSNdb_no_overlap	111	0.600870253164557			
Wave2_Ensemble_W1+VQC+Struct	ITSNdb_no_overlap	111	0.5882120253164558			
Wave2_Wave1_Bayesian	ITSNdb_in_master	208	0.9384972170686456			
Wave2_Structure_LR	ITSNdb_in_master	208	0.689517625231911			
Wave2_Wave1+Structure_avg50	ITSNdb_in_master	208	0.8421150278293136			
Wave2_VQC_8q3l_quantum	ITSNdb_in_master	208	0.596938775510204			
Wave2_LR_8d_PCA_classical	ITSNdb_in_master	208	0.6875695732838589			
Wave2_QK_SVM_4q_quantum	ITSNdb_in_master	208	0.588126159554731			
Wave2_RBF_SVM_8d_classical	ITSNdb_in_master	208	0.6883116883116883			
Wave2_GP_RBF_8d_classical_Bayesian	ITSNdb_in_master	208	0.7067717996289425			
Wave2_GP_quantum_4q_Bayesian	ITSNdb_in_master	208	0.6289424860853432			
Wave2_Ensemble_core_mean	ITSNdb_in_master	208	0.8012987012987013			
Wave2_Ensemble_W1+VQC+Struct	ITSNdb_in_master	208	0.8244897959183674			
Wave1_BayesianMLP	ITSNdb_combined	311	0.7840628984275395	0.7319863326397947	0.8355814942553131	0.10567242565916399
Wave1_BayesianMLP	ITSNdb_no_overlap	103	0.4106514084507042	0.29388011165195393	0.5297936347278451	0.22030873330097084
Wave1_BayesianMLP	ITSNdb_in_master	208	0.9384972170686456	0.9065837539170851	0.9659151715578047	0.2014282361057692
