feature	lr_coef	abs_lr_coef	perm_importance_no_overlap
chg_sum	-0.6763414465516706	0.6763414465516706	0.07650477376504775
pwm_sum	1.0285702127150878	1.0285702127150878	0.050477376504773776
pwm_mean	0.7570373957639182	0.7570373957639182	0.04109589041095892
mhc_present	0.8941585842169139	0.8941585842169139	0.015442092154420928
hla_pc16	-0.27067010116489626	0.27067010116489626	0.011955168119551673
hla_pc8	-0.14208536295647003	0.14208536295647003	0.011955168119551662
hla_pc12	-0.09333271151286955	0.09333271151286955	0.010502283105022815
kd_max	0.2308945729970975	0.2308945729970975	0.008758821087588197
hla_pc4	-0.1490761043279251	0.1490761043279251	0.00809464508094645
hla_pc6	-0.5412447766171127	0.5412447766171127	0.007845579078455789
hla_pc14	-0.3767243056437395	0.3767243056437395	0.0057700290577002876
she_mean	0.15994597791092435	0.15994597791092435	0.005479452054794498
pwm_p2	-0.51004330346821	0.51004330346821	0.0032793690327937107
mhc_aff_log	0.8253045793763687	0.8253045793763687	0.001992528019925277
blosum_max	-0.07876428401602659	0.07876428401602659	0.0016604400166044142
aromatic_frac	-0.1388551571156349	0.1388551571156349	0.0015774180157741902
hla_pc5	-0.012301784801332476	0.012301784801332476	0.0006226650062266526
hla_pc15	0.0913691307186811	0.0913691307186811	0.00045662100456620445
hla_pc7	0.01622724806815327	0.01622724806815327	0.00012453300124533052
pep_len	-0.7065918622698215	0.7065918622698215	-0.00020755500207552123
hel_std	0.005786847748462245	0.005786847748462245	-0.00024906600249064993
hla_pc10	-0.4071569547486012	0.4071569547486012	-0.0006226650062266415
pwm_pct	-0.41732702785159703	0.41732702785159703	-0.0009547530095475376
hla_pc1	0.259787756482018	0.259787756482018	-0.0012868410128683895
hla_pc9	0.5237805615058951	0.5237805615058951	-0.001328352013283507
hla_pc3	-0.07214206217319916	0.07214206217319916	-0.0015359070153590504
kd_std	-0.11539423860626592	0.11539423860626592	-0.001909506019095042
mhc_process	-0.025494790417827966	0.025494790417827966	-0.0031133250311332294
hel_mean	-0.04731528132069973	0.04731528132069973	-0.003860523038605257
pwm_pOmega	-0.25455700559275674	0.25455700559275674	-0.004773765047737644
kd_min	-0.09743806172053983	0.09743806172053983	-0.005022831050228304
blosum_mean	0.12319260178346886	0.12319260178346886	-0.007845579078455811
hla_pc11	0.3332949040079491	0.3332949040079491	-0.012494811124948069
pwm_raw	2.9524322919427117	2.9524322919427117	-0.022789539227895395
she_std	-0.31141750628441395	0.31141750628441395	-0.026068908260689118
kd_mean	-0.35643554861344035	0.35643554861344035	-0.02677459526774595
chg_mean	0.31469438806593864	0.31469438806593864	-0.03262764632627646
hla_pc13	-0.633385909287719	0.633385909287719	-0.03806558738065587
hla_pc2	-0.7205994996099546	0.7205994996099546	-0.04487339144873389
