peptide_feature	n_negatives_flipped_when_neutralized	n_total_negatives	fraction_flipped
pwm_raw	5	73	0.0684931506849315
chg_sum	5	73	0.0684931506849315
pwm_sum	4	73	0.0547945205479452
pwm_mean	3	73	0.0410958904109589
pwm_p2	2	73	0.0273972602739726
pwm_pOmega	1	73	0.0136986301369863
she_mean	1	73	0.0136986301369863
chg_mean	1	73	0.0136986301369863
kd_mean	1	73	0.0136986301369863
she_std	1	73	0.0136986301369863
pep_len	0	73	0.0
kd_max	0	73	0.0
hel_mean	0	73	0.0
kd_min	0	73	0.0
kd_std	0	73	0.0
hel_std	0	73	0.0
blosum_max	0	73	0.0
blosum_mean	0	73	0.0
aromatic_frac	0	73	0.0
pwm_pct	0	73	0.0
