benchmark_scope	method	method_family	n_scored	n_pos	prevalence	AUPRC	AUROC	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10	top20_precision	recall_at_20	enrichment_at_20	coverage	claim_boundary
strict_product_demo_set_n89	Product_testset_aware_upper_bound	CROSS_Neo_product_upper_bound	89.0	21.0	0.23595505617977527	0.633729950850952	0.7773109243697479	0.8	0.19047619047619047	3.390476190476191	0.9	0.42857142857142855	3.8142857142857145	0.5	0.47619047619047616	2.119047619047619	1.0	testset-aware upper bound; do not claim generalization
strict_product_demo_set_n89	v2_selective_exact	CROSS_Neo_v2_internal	89.0	21.0	0.23595505617977527	0.636884934026875	0.759453781512605	1.0	0.23809523809523808	4.238095238095238	0.7	0.3333333333333333	2.9666666666666663	0.65	0.6190476190476191	2.7547619047619047	1.0	internal locked/product component; not external validation
strict_product_demo_set_n89	v2_selective_hla	CROSS_Neo_v2_internal	89.0	21.0	0.23595505617977527	0.5935584751199867	0.7738095238095237	0.8	0.19047619047619047	3.390476190476191	0.7	0.3333333333333333	2.9666666666666663	0.55	0.5238095238095238	2.330952380952381	1.0	internal locked/product component; not external validation
strict_product_demo_set_n89	Product_fixed_pan_allele_score	CROSS_Neo_product	89.0	21.0	0.23595505617977527	0.5821996424819937	0.7745098039215687	0.8	0.19047619047619047	3.390476190476191	0.7	0.3333333333333333	2.9666666666666663	0.5	0.47619047619047616	2.119047619047619	1.0	customer-demo main score; internal retrospective only
strict_product_demo_set_n89	v2_selective_near	CROSS_Neo_v2_internal	89.0	21.0	0.23595505617977527	0.518668956892469	0.7226890756302521	0.8	0.19047619047619047	3.390476190476191	0.7	0.3333333333333333	2.9666666666666663	0.4	0.38095238095238093	1.6952380952380954	1.0	internal locked/product component; not external validation
strict_product_demo_set_n89	hard_decoy_near_meta	CROSS_Neo_v1_internal	89.0	21.0	0.23595505617977527	0.5385738736398837	0.7093837535014006	1.0	0.23809523809523808	4.238095238095238	0.6	0.2857142857142857	2.5428571428571427	0.4	0.38095238095238093	1.6952380952380954	1.0	internal locked/product component; not external validation
strict_product_demo_set_n89	hard_decoy_rule_hla	CROSS_Neo_v1_internal	89.0	21.0	0.23595505617977527	0.5206423079199776	0.7233893557422969	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.5	0.47619047619047616	2.119047619047619	1.0	internal locked/product component; not external validation
strict_product_demo_set_n89	MHCflurry_presentation	public_predictor	89.0	21.0	0.23595505617977527	0.48889081744007584	0.6582633053221288	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.45	0.42857142857142855	1.9071428571428573	1.0	competitor benchmark only; public predictor scores are not clean CROSS-Neo training features
strict_product_demo_set_n89	MHCflurry_wave11	public_predictor	89.0	21.0	0.23595505617977527	0.48889081744007584	0.6582633053221288	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.45	0.42857142857142855	1.9071428571428573	1.0	competitor benchmark only; public predictor scores are not clean CROSS-Neo training features
strict_product_demo_set_n89	Public_binding_mean	public_predictor_panel	89.0	21.0	0.23595505617977527	0.44114161528324414	0.6449579831932774	0.8	0.19047619047619047	3.390476190476191	0.6	0.2857142857142857	2.5428571428571427	0.4	0.38095238095238093	1.6952380952380954	1.0	competitor benchmark only; public predictor scores are not clean CROSS-Neo training features
