panel_a	panel_b	pearson_r	abs_r
mean_ht	mean_tls	0.9220690085895593	0.9220690085895593
mean_ht	mean_cyto	0.8974582463411321	0.8974582463411321
mean_cyto	mean_tls	0.8889138720517425	0.8889138720517425
mean_ht	mean_mapk	0.2326136014338382	0.2326136014338382
mean_fa	mean_cyto	-0.22566052295407824	0.22566052295407824
mean_mapk	mean_cyto	0.18074420548723008	0.18074420548723008
mean_mapk	mean_tls	0.1604812735071172	0.1604812735071172
mean_fa	mean_tls	-0.15847003112773173	0.15847003112773173
mean_ht	mean_fa	-0.1560452494720581	0.1560452494720581
mean_mapk	mean_fa	0.006939844867183424	0.006939844867183424
