sample_id	dataset	condition	gene_dropped	n_genes_used	DM1_drop_epi25_mean	NONOVERLAP_epi25_mean	n_spots_post_qc	n_spots_epi25
GSM7221915_P1	GSE230424	PTC_HT	TPO	7	-0.2801708240910822	0.19047926985339617	3566	892
GSM7221915_P1	GSE230424	PTC_HT	DIO1	7	-0.291231118888768	0.19047926985339617	3566	892
GSM7221915_P1	GSE230424	PTC_HT	TSHR	7	-0.3005001424636922	0.19047926985339617	3566	892
GSM7221915_P1	GSE230424	PTC_HT	PAX8	7	-0.28514026162647316	0.19047926985339617	3566	892
GSM7221915_P1	GSE230424	PTC_HT	TG	7	-0.2564644141929589	0.19047926985339617	3566	892
GSM7221915_P1	GSE230424	PTC_HT	FOXE1	7	-0.3121890995962531	0.19047926985339617	3566	892
GSM7221915_P1	GSE230424	PTC_HT	NKX2-1	7	-0.30212238883565073	0.19047926985339617	3566	892
GSM7221915_P1	GSE230424	PTC_HT	SLC5A5	7	-0.32461797101589046	0.19047926985339617	3566	892
GSM7221915_P1	GSE230424	PTC_HT	(none, full RAI_8)	8	-0.29405452758884615	0.19047926985339617	3566	892
GSM7221916_P2	GSE230424	PTC_HT	TPO	7	-0.10260253554106942	0.06845264998252623	3005	752
GSM7221916_P2	GSE230424	PTC_HT	DIO1	7	-0.11580478456294514	0.06845264998252623	3005	752
GSM7221916_P2	GSE230424	PTC_HT	TSHR	7	-0.10026669032703596	0.06845264998252623	3005	752
GSM7221916_P2	GSE230424	PTC_HT	PAX8	7	-0.08707377910095097	0.06845264998252623	3005	752
GSM7221916_P2	GSE230424	PTC_HT	TG	7	-0.09149177695002632	0.06845264998252623	3005	752
GSM7221916_P2	GSE230424	PTC_HT	FOXE1	7	-0.09710760977523546	0.06845264998252623	3005	752
GSM7221916_P2	GSE230424	PTC_HT	NKX2-1	7	-0.10000341627930195	0.06845264998252623	3005	752
GSM7221916_P2	GSE230424	PTC_HT	SLC5A5	7	-0.122346029200041	0.06845264998252623	3005	752
GSM7221916_P2	GSE230424	PTC_HT	(none, full RAI_8)	8	-0.10208707771707576	0.06845264998252623	3005	752
GSM7221917_P3	GSE230424	PTC_HT	TPO	7	-0.14937908140047174	0.16902325154273432	2961	741
GSM7221917_P3	GSE230424	PTC_HT	DIO1	7	-0.16376342766898927	0.16902325154273432	2961	741
GSM7221917_P3	GSE230424	PTC_HT	TSHR	7	-0.1661539514528058	0.16902325154273432	2961	741
GSM7221917_P3	GSE230424	PTC_HT	PAX8	7	-0.14922158688795342	0.16902325154273432	2961	741
GSM7221917_P3	GSE230424	PTC_HT	TG	7	-0.14999328690690272	0.16902325154273432	2961	741
GSM7221917_P3	GSE230424	PTC_HT	FOXE1	7	-0.16249405618443893	0.16902325154273432	2961	741
GSM7221917_P3	GSE230424	PTC_HT	NKX2-1	7	-0.1693491899063129	0.16902325154273432	2961	741
GSM7221917_P3	GSE230424	PTC_HT	SLC5A5	7	-0.16796515662322975	0.16902325154273432	2961	741
GSM7221917_P3	GSE230424	PTC_HT	(none, full RAI_8)	8	-0.15978996712888804	0.16902325154273432	2961	741
GSM7221918_P4	GSE230424	PTC_HT	TPO	7	-0.054372747769744	0.07355887740750028	4601	1151
GSM7221918_P4	GSE230424	PTC_HT	DIO1	7	-0.07973496663004993	0.07355887740750028	4601	1151
GSM7221918_P4	GSE230424	PTC_HT	TSHR	7	-0.06805520424551509	0.07355887740750028	4601	1151
GSM7221918_P4	GSE230424	PTC_HT	PAX8	7	-0.07684416826685275	0.07355887740750028	4601	1151
GSM7221918_P4	GSE230424	PTC_HT	TG	7	-0.04826097199439173	0.07355887740750028	4601	1151
GSM7221918_P4	GSE230424	PTC_HT	FOXE1	7	-0.08346165368874092	0.07355887740750028	4601	1151
GSM7221918_P4	GSE230424	PTC_HT	NKX2-1	7	-0.07956134073764819	0.07355887740750028	4601	1151
GSM7221918_P4	GSE230424	PTC_HT	SLC5A5	7	-0.08273529935402682	0.07355887740750028	4601	1151
GSM7221918_P4	GSE230424	PTC_HT	(none, full RAI_8)	8	-0.07162829408587118	0.07355887740750028	4601	1151
GSM7908359_C1	GSE248205	CONTROL	TPO	7	-0.0492390249288519	0.03353447075030577	1064	266
GSM7908359_C1	GSE248205	CONTROL	DIO1	7	-0.06645618083202356	0.03353447075030577	1064	266
GSM7908359_C1	GSE248205	CONTROL	TSHR	7	-0.042540707311672234	0.03353447075030577	1064	266
GSM7908359_C1	GSE248205	CONTROL	PAX8	7	-0.05554467326021574	0.03353447075030577	1064	266
GSM7908359_C1	GSE248205	CONTROL	TG	7	-0.0327596089851625	0.03353447075030577	1064	266
GSM7908359_C1	GSE248205	CONTROL	FOXE1	7	-0.06733385407319512	0.03353447075030577	1064	266
GSM7908359_C1	GSE248205	CONTROL	NKX2-1	7	-0.05193761806154534	0.03353447075030577	1064	266
GSM7908359_C1	GSE248205	CONTROL	SLC5A5	7	-0.05994393407560543	0.03353447075030577	1064	266
GSM7908359_C1	GSE248205	CONTROL	(none, full RAI_8)	8	-0.05321945019103397	0.03353447075030577	1064	266
GSM7908360_C2	GSE248205	CONTROL	TPO	7	-0.003356515819280453	-0.0044323076130172705	1744	436
GSM7908360_C2	GSE248205	CONTROL	DIO1	7	-0.0018054166605900256	-0.0044323076130172705	1744	436
GSM7908360_C2	GSE248205	CONTROL	TSHR	7	-0.012427994474913995	-0.0044323076130172705	1744	436
GSM7908360_C2	GSE248205	CONTROL	PAX8	7	-0.007236816499311153	-0.0044323076130172705	1744	436
GSM7908360_C2	GSE248205	CONTROL	TG	7	0.006368462105731997	-0.0044323076130172705	1744	436
GSM7908360_C2	GSE248205	CONTROL	FOXE1	7	-0.006318518077594935	-0.0044323076130172705	1744	436
GSM7908360_C2	GSE248205	CONTROL	NKX2-1	7	-0.006858646854701034	-0.0044323076130172705	1744	436
GSM7908360_C2	GSE248205	CONTROL	SLC5A5	7	-0.008067424574753027	-0.0044323076130172705	1744	436
GSM7908360_C2	GSE248205	CONTROL	(none, full RAI_8)	8	-0.004962858856926575	-0.0044323076130172705	1744	436
