	mean_DM1high	mean_DM1low	delta
DIO1	5.494384615384618	11.831461538461541	-6.337076923076923
TPO	9.65307692307692	15.659076923076924	-6.006000000000004
SLC5A5	2.3459999999999996	6.112923076923076	-3.7669230769230766
TG	17.71276923076923	20.248923076923077	-2.536153846153848
FOXE1	11.83007692307693	13.060615384615383	-1.230538461538453
PAX8	13.497153846153838	14.65146153846153	-1.1543076923076931
HHEX	10.820307692307695	11.905846153846161	-1.0855384615384658
TSHR	12.86646153846154	13.766230769230765	-0.8997692307692251
DNMT3B	5.442923076923078	6.270538461538461	-0.8276153846153829
NKX2-1	12.122538461538454	12.648769230769227	-0.5262307692307733
TRPS1	8.576769230769232	8.615307692307692	-0.038538461538459856
JUNB	12.398307692307693	12.365307692307692	0.03300000000000125
STAT3	12.209076923076916	11.843999999999998	0.3650769230769182
DNMT1	10.205615384615383	9.77176923076923	0.43384615384615266
FOSL1	6.742769230769229	5.535692307692307	1.2070769230769214
