	score	abs_score	p
INTERFERON_GAMMA_RESPONSE	15.431276031118932	15.431276031118932	0.0
ALLOGRAFT_REJECTION	14.955584746745254	14.955584746745254	0.0
INFLAMMATORY_RESPONSE	13.730473032929469	13.730473032929469	1.734667368987691e-41
TNFA_SIGNALING_VIA_NFKB	12.633693014634554	12.633693014634554	2.369409180258315e-35
INTERFERON_ALPHA_RESPONSE	10.032813382492273	10.032813382492273	1.2433530814533833e-22
EPITHELIAL_MESENCHYMAL_TRANSITION	9.941598160529173	9.941598160529173	2.587986563024027e-22
COMPLEMENT	9.137641586905945	9.137641586905945	4.9822835713112875e-19
E2F_TARGETS	8.587437735078824	8.587437735078824	5.900126446363547e-17
IL2_STAT5_SIGNALING	8.574966215839291	8.574966215839291	5.900126446363547e-17
IL6_JAK_STAT3_SIGNALING	8.002570583881496	8.002570583881496	6.421467734450941e-15
APOPTOSIS	7.774432781272999	7.774432781272999	3.610400349453487e-14
KRAS_SIGNALING_UP	7.419275764397872	7.419275764397872	5.102241871189628e-13
MYC_TARGETS_V1	7.395791754520515	7.395791754520515	5.619128751709057e-13
G2M_CHECKPOINT	7.178979549941222	7.178979549941222	2.5959466781050322e-12
P53_PATHWAY	7.092883113902012	7.092883113902012	4.523935046019112e-12
APICAL_JUNCTION	6.859753945144473	6.859753945144473	2.2184129533364683e-11
MITOTIC_SPINDLE	6.555329364263166	6.555329364263166	1.6726613150108705e-10
COAGULATION	5.33486458371897	5.33486458371897	2.5434988515371515e-07
ESTROGEN_RESPONSE_LATE	5.118148244615973	5.118148244615973	7.784968261148606e-07
ESTROGEN_RESPONSE_EARLY	4.7891113889017065	4.7891113889017065	4.01708712161053e-06
MYC_TARGETS_V2	4.072866631894944	4.072866631894944	0.00010594632476568222
ANDROGEN_RESPONSE	2.9072506807830902	2.9072506807830902	0.007300406228750944
HYPOXIA	2.848803630941968	2.848803630941968	0.008447811007499695
UV_RESPONSE_UP	2.5633897498797293	2.5633897498797293	0.019208863377571106
MTORC1_SIGNALING	2.4236723802973295	2.4236723802973295	0.026505596935749054
CHOLESTEROL_HOMEOSTASIS	2.029762207335573	2.029762207335573	0.07065648585557938
ANGIOGENESIS	1.8680880169246767	1.8680880169246767	0.09650683403015137
GLYCOLYSIS	1.8214919332226553	1.8214919332226553	0.10385909676551819
KRAS_SIGNALING_DN	1.7745786224350009	1.7745786224350009	0.11173920333385468
PROTEIN_SECRETION	1.6814030179766906	1.6814030179766906	0.13242889940738678
MYOGENESIS	1.3920881669783554	1.3920881669783554	0.2276543527841568
TGF_BETA_SIGNALING	1.292562721024856	1.292562721024856	0.26510435342788696
UV_RESPONSE_DN	1.0827453584286406	1.0827453584286406	0.36701905727386475
DNA_REPAIR	0.9794045555058902	0.9794045555058902	0.4165326654911041
APICAL_SURFACE	0.967659466074937	0.967659466074937	0.4165326654911041
PI3K_AKT_MTOR_SIGNALING	0.9168610666357437	0.9168610666357437	0.4380810558795929
NOTCH_SIGNALING	0.8234874617978789	0.8234874617978789	0.4883817136287689
SPERMATOGENESIS	0.6643335278872013	0.6643335278872013	0.5889354944229126
HEDGEHOG_SIGNALING	0.4419887468709109	0.4419887468709109	0.7482978701591492
PEROXISOME	0.23899043630040984	0.23899043630040984	0.8368586897850037
REACTIVE_OXYGEN_SPECIES_PATHWAY	0.13133882982712375	0.13133882982712375	0.8955085873603821
XENOBIOTIC_METABOLISM	-0.22739164572092876	0.22739164572092876	0.8368586897850037
UNFOLDED_PROTEIN_RESPONSE	-0.3482254723495064	0.3482254723495064	0.7741218209266663
HEME_METABOLISM	-0.3616356716984525	0.3616356716984525	0.7741218209266663
WNT_BETA_CATENIN_SIGNALING	-0.42067077856882995	0.42067077856882995	0.7488889098167419
BILE_ACID_METABOLISM	-1.9823894531601027	1.9823894531601027	0.07653111964464188
PANCREAS_BETA_CELLS	-2.5090493009624097	2.5090493009624097	0.021631214767694473
FATTY_ACID_METABOLISM	-3.2292528604377955	3.2292528604377955	0.0025898723397403955
ADIPOGENESIS	-3.5452356799452636	3.5452356799452636	0.0008546854951418936
OXIDATIVE_PHOSPHORYLATION	-5.482145820423938	5.482145820423938	1.1812922195986175e-07
