sample_id	dataset	condition	n_epi_spots	spearman_rho_dist_vs_DM1	spearman_p	interp
GSM7221915_P1	GSE230424	PTC_HT	1783	-0.2887682594414804	1.380253546302274e-35	negative ρ → DM1 lower deeper into epi-rich (tumor-like) tissue
GSM7221916_P2	GSE230424	PTC_HT	1503	-0.013703142538283324	0.5955339475734401	negative ρ → DM1 lower deeper into epi-rich (tumor-like) tissue
GSM7221917_P3	GSE230424	PTC_HT	1481	-0.1434942173886584	2.9184486312492607e-08	negative ρ → DM1 lower deeper into epi-rich (tumor-like) tissue
GSM7221918_P4	GSE230424	PTC_HT	2301	-0.0646363422842609	0.0019216392907132254	negative ρ → DM1 lower deeper into epi-rich (tumor-like) tissue
GSM7908359_C1	GSE248205	CONTROL	532	-0.10600751899938883	0.014436223140272307	negative ρ → DM1 lower deeper into epi-rich (tumor-like) tissue
GSM7908360_C2	GSE248205	CONTROL	872	0.02209416807226921	0.5146743282083039	negative ρ → DM1 lower deeper into epi-rich (tumor-like) tissue
GSM7908361_HT1	GSE248205	HT	964	-0.29693366022805384	4.484420735817566e-21	negative ρ → DM1 lower deeper into epi-rich (tumor-like) tissue
GSM7908362_HT2	GSE248205	HT	1298	-0.0621820036604075	0.025072198277156454	negative ρ → DM1 lower deeper into epi-rich (tumor-like) tissue
GSM7908363_HT3	GSE248205	HT	990	-0.38147475349064097	1.203473698666749e-35	negative ρ → DM1 lower deeper into epi-rich (tumor-like) tissue
GSM7908364_GD1	GSE248205	GD	1133	0.0014693901499791848	0.9605963840852668	negative ρ → DM1 lower deeper into epi-rich (tumor-like) tissue
GSM7908365_GD2	GSE248205	GD	1003	-0.05570877844389031	0.07782019027244945	negative ρ → DM1 lower deeper into epi-rich (tumor-like) tissue
GSM7908366_GD3	GSE248205	GD	985	-0.015104930445060236	0.6358644092822877	negative ρ → DM1 lower deeper into epi-rich (tumor-like) tissue
GSM7980860_N-1	GSE250521	PT	1698	-0.3048846638213437	7.412356754732128e-38	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980861_N-2	GSE250521	PT	1890	-0.10758223362802558	2.7648183815925663e-06	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980862_N-3	GSE250521	PT	2269	-0.04582421355952607	0.02905530410901212	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980863_N-4	GSE250521	PT	1514	-0.005899762573663671	0.8185789758461397	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980864_PTC-1	GSE250521	PTC	1131	-0.15947547866797548	6.974498984971491e-08	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980865_PTC-2	GSE250521	PTC	2474	-0.08120812795499033	5.257473821129671e-05	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980866_PTC-3	GSE250521	PTC	2258	-0.01180339456300164	0.575078718245303	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980867_PTC-4	GSE250521	PTC	2249	-0.03366953317823745	0.11042269621089053	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980868_LPTC-1	GSE250521	LPTC	760	0.025879929619261187	0.4762137707542402	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980869_LPTC-2	GSE250521	LPTC	2036	-0.43910732862759266	9.90244924242141e-97	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980870_LPTC-3	GSE250521	LPTC	1668	-0.2119212530098915	2.1684935795074573e-18	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980871_LPTC-4	GSE250521	LPTC	2354	-0.09055939087557922	1.0801450962677791e-05	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980872_ATC-1	GSE250521	ATC	2358	-0.09669689694545724	2.550321154616519e-06	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980873_ATC-2	GSE250521	ATC	1177	-0.00013247564351964307	0.9963775605112817	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980874_ATC-3	GSE250521	ATC	811	0.008552001831772026	0.8078711964169402	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
GSM7980875_ATC-4	GSE250521	ATC	1293	0.11918525006101027	1.732195477312594e-05	negative ρ → DM1 lower deeper into epi-rich tissue (raw DM1)
