sample_id	dataset	condition	celltype	fraction_top1	n_spots
GSM7221915_P1	GSE230424	PTC_HT	Epithelial	0.20947840717891195	3566
GSM7221915_P1	GSE230424	PTC_HT	Stromal	0.13039820527201346	3566
GSM7221915_P1	GSE230424	PTC_HT	Immune_T	0.13937184520471116	3566
GSM7221915_P1	GSE230424	PTC_HT	Immune_B	0.18900729108244532	3566
GSM7221915_P1	GSE230424	PTC_HT	Macrophage	0.15731912507010656	3566
GSM7221915_P1	GSE230424	PTC_HT	Endothelial	0.17442512619181155	3566
GSM7221916_P2	GSE230424	PTC_HT	Epithelial	0.19434276206322795	3005
GSM7221916_P2	GSE230424	PTC_HT	Stromal	0.14675540765391015	3005
GSM7221916_P2	GSE230424	PTC_HT	Immune_T	0.1444259567387687	3005
GSM7221916_P2	GSE230424	PTC_HT	Immune_B	0.18302828618968386	3005
GSM7221916_P2	GSE230424	PTC_HT	Macrophage	0.1600665557404326	3005
GSM7221916_P2	GSE230424	PTC_HT	Endothelial	0.1713810316139767	3005
GSM7221917_P3	GSE230424	PTC_HT	Epithelial	0.19621749408983452	2961
GSM7221917_P3	GSE230424	PTC_HT	Stromal	0.11550151975683891	2961
GSM7221917_P3	GSE230424	PTC_HT	Immune_T	0.14826072272880783	2961
GSM7221917_P3	GSE230424	PTC_HT	Immune_B	0.18980074299223235	2961
GSM7221917_P3	GSE230424	PTC_HT	Macrophage	0.18912529550827423	2961
GSM7221917_P3	GSE230424	PTC_HT	Endothelial	0.16109422492401215	2961
GSM7221918_P4	GSE230424	PTC_HT	Epithelial	0.23103673114540318	4601
GSM7221918_P4	GSE230424	PTC_HT	Stromal	0.127798304716366	4601
GSM7221918_P4	GSE230424	PTC_HT	Immune_T	0.14518582916757228	4601
GSM7221918_P4	GSE230424	PTC_HT	Immune_B	0.16474679417517932	4601
GSM7221918_P4	GSE230424	PTC_HT	Macrophage	0.15431427950445556	4601
GSM7221918_P4	GSE230424	PTC_HT	Endothelial	0.1769180612910237	4601
GSM7908359_C1	GSE248205	CONTROL	Epithelial	0.2518796992481203	1064
GSM7908359_C1	GSE248205	CONTROL	Stromal	0.17387218045112782	1064
GSM7908359_C1	GSE248205	CONTROL	Immune_T	0.1287593984962406	1064
GSM7908359_C1	GSE248205	CONTROL	Immune_B	0.18796992481203006	1064
GSM7908359_C1	GSE248205	CONTROL	Macrophage	0.10056390977443609	1064
GSM7908359_C1	GSE248205	CONTROL	Endothelial	0.15695488721804512	1064
GSM7908360_C2	GSE248205	CONTROL	Epithelial	0.2408256880733945	1744
GSM7908360_C2	GSE248205	CONTROL	Stromal	0.19036697247706422	1744
GSM7908360_C2	GSE248205	CONTROL	Immune_T	0.13360091743119265	1744
GSM7908360_C2	GSE248205	CONTROL	Immune_B	0.12327981651376146	1744
GSM7908360_C2	GSE248205	CONTROL	Macrophage	0.07568807339449542	1744
GSM7908360_C2	GSE248205	CONTROL	Endothelial	0.23623853211009174	1744
GSM7908361_HT1	GSE248205	HT	Epithelial	0.20083030617540218	1927
GSM7908361_HT1	GSE248205	HT	Stromal	0.11157239231966788	1927
GSM7908361_HT1	GSE248205	HT	Immune_T	0.20134924753502853	1927
GSM7908361_HT1	GSE248205	HT	Immune_B	0.15568240788790866	1927
