gene	mean_hi	mean_lo	log2FC	delta_mean	t	p	fdr
100130426	0.04107692307692307	0.022384615384615385	0.8474695093489709	0.01869230769230769	1.212683425642664	0.22643479495622656	0.29789645273894416
100133144	2.1153846153846154	2.551769230769231	-0.2704612891077992	-0.4363846153846156	-3.134571383291137	0.0019204346050262571	0.0037975845156221406
100134869	2.526692307692308	2.7125384615384616	-0.10235450046770649	-0.18584615384615377	-1.7963986264877747	0.07362093367365911	0.11013303942510883
10357	7.058153846153846	6.87823076923077	0.03724801071161953	0.17992307692307552	2.5179046950782045	0.012412222690058016	0.021554976469877436
10431	9.704461538461539	9.840384615384615	-0.02006448592678189	-0.13592307692307593	-3.0931374793740147	0.0021992431081409953	0.00431318886225971
136542	0.0	0.0	0.0	0.0			1.0
155060	7.052615384615384	7.250230769230769	-0.0398629766049997	-0.19761538461538475	-1.7246442676596252	0.08581193962201027	0.12649666980971286
26823	0.427923076923077	0.7036923076923077	-0.7162745279779891	-0.2757692307692307	-4.228248447600026	3.304819559809015e-05	8.393906416290868e-05
280660	0.40492307692307694	0.4530769230769231	-0.16173035825444942	-0.04815384615384616	-0.5863137538977167	0.5581966423914669	0.6399964854404566
317712	0.0	0.0	0.0	0.0			1.0
340602	0.6548461538461539	1.0206153846153847	-0.6394228188550853	-0.36576923076923085	-4.074575686950059	6.259191576554008e-05	0.00015336102526155126
388795	0.8225384615384616	1.3707692307692307	-0.7361298665126129	-0.5482307692307692	-5.822429881796759	1.8242890011140294e-08	6.965343721939934e-08
390284	3.197538461538461	3.309615384615385	-0.04968658197500159	-0.11207692307692385	-1.3559571348200596	0.17630254684647492	0.239416013147118
391343	0.2416923076923077	0.3070769230769231	-0.34416223742616103	-0.06538461538461537	-1.0474954641476644	0.2959034699348317	0.37578239748621145
391714	0.19230769230769235	0.19630769230769232	-0.029548154613760737	-0.003999999999999976	-0.09313595228177225	0.9258679798224556	0.9639469357348249
404770	0.0	0.0	0.0	0.0			1.0
441362	0.0	0.0026153846153846158	-0.0026153846153846158	-0.0026153846153846158	-1.0000000000000002	0.3191826100670386	0.3975019098984718
442388	0.0	0.0	0.0	0.0			1.0
553137	0.566	1.2827692307692307	-1.1789652478914479	-0.7167692307692307	-7.973690496697687	6.428834342812057e-14	4.74421168432536e-13
57714	8.435000000000002	8.053692307692307	0.066729616646069	0.38130769230769523	3.4089728611957617	0.000756597721395134	0.001584509968401724
645851	2.5920769230769234	2.8806153846153846	-0.15221278469302504	-0.2885384615384612	-2.3774389842466634	0.018171313453233348	0.03058095460241664
652919	2.590307692307692	2.718692307692308	-0.06976310990852885	-0.12838461538461576	-0.4168906931610497	0.677107857578235	0.7501901951473915
653553	8.239692307692307	8.308923076923076	-0.012069577797174375	-0.06923076923076898	-0.7140616851199657	0.4758345849830571	0.5596730970648565
728045	0.0	0.0	0.0	0.0			1.0
728603	0.08476923076923078	0.46484615384615385	-2.4413214951780646	-0.3800769230769231	-4.542592901982874	1.0830037643517314e-05	2.9328673370453826e-05
728788	0.5997692307692307	1.0087692307692306	-0.7491427917952385	-0.4089999999999999	-4.405949775322295	1.5588377608269476e-05	4.128878754970614e-05
729884	4.98323076923077	1.2337692307692307	2.0131294285226193	3.7494615384615386	12.088850734362731	5.468372258502036e-26	2.1926891106845076e-24
8225	9.466	9.546999999999999	-0.012291244296697609	-0.08099999999999952	-1.4904642074170211	0.13738747027846915	0.19249060020589445
90288	4.074846153846154	5.639923076923077	-0.46883166678040683	-1.5650769230769237	-13.031752588658827	1.4971786492095035e-29	1.1469058831444444e-27
A1BG	6.9557692307692305	6.624923076923077	0.07029600989412911	0.3308461538461538	2.263618666228617	0.024439751596195172	0.040191292876472835
A1CF	0.04723076923076923	0.06684615384615385	-0.4923132127554816	-0.019615384615384618	-0.7612884801215654	0.44718118384899	0.5307335937345222
