gene_dropped	n_samples	spearman_rho	spearman_p	pearson_r	pearson_p
TG	12	-0.9440559440559443	3.927261080965947e-06	-0.9873362598453409	2.511146342828e-09
DIO1	12	-0.9300699300699302	1.1702227928659685e-05	-0.9857981544045957	4.442904334884044e-09
(none, full RAI_8)	12	-0.9370629370629372	6.9931649532105415e-06	-0.9846359489316029	6.5709134379374545e-09
NKX2-1	12	-0.9230769230769231	1.8621951098680993e-05	-0.9845908717695303	6.66737008217845e-09
TSHR	12	-0.9580419580419581	9.543581826838402e-07	-0.9841626302762414	7.641307326583782e-09
PAX8	12	-0.9510489510489512	2.0384246324655774e-06	-0.9836598722600618	8.926135509227018e-09
SLC5A5	12	-0.9230769230769231	1.8621951098680993e-05	-0.9827017773493334	1.1849381775485743e-08
TPO	12	-0.8881118881118882	0.00011413359814618021	-0.9822638116789312	1.3417468913143006e-08
FOXE1	12	-0.9300699300699302	1.1702227928659685e-05	-0.9814080304064878	1.695791271374502e-08
