covariate	n	HR	HR_ci_lo	HR_ci_hi	p	outcome	model
dm1_z	561	1.2920944105831518	1.0544144724318507	1.5833507690858506	0.013479687126438773	PFI	univariate
braf	561	1.4610244747924679	0.8571737882754513	2.4902680706525047	0.16346339197580584	PFI	univariate
ras	561	1.165682627464773	0.5560948060063956	2.4434969960096145	0.6847566490788581	PFI	univariate
age_z	548	1.4988230188727525	1.1809897675157355	1.9021929771909725	0.0008746482286580557	PFI	univariate
stage_ord	557	1.6144587770305996	1.3684151260046955	1.9047415460403174	1.3635290840713604e-08	PFI	univariate
dm1_z	384	1.3809689380856551	1.0468502414389549	1.8217268645188822	0.022375589146691313	DFI	univariate
braf	384	1.5267128249606958	0.6717873730427376	3.4696276581417442	0.3124052325247413	DFI	univariate
ras	384	1.893276539158387	0.7195819035126411	4.981359364694737	0.19593160505865082	DFI	univariate
age_z	379	0.8569859446984827	0.5826347867738687	1.2605236180238488	0.4330802325497418	DFI	univariate
stage_ord	384	1.3597733938195649	0.8928019854501232	2.0709896625144455	0.1522270162866447	DFI	univariate
dm1_z	561	0.8628061980948244	0.5548329515176077	1.3417273315051486	0.5124314989227495	OS	univariate
braf	561	0.48209238219760403	0.19050951479398007	1.2199551566980567	0.12349730164755113	OS	univariate
ras	561	0.6337778132795246	0.08376887436892344	4.7950306081036365	0.6587011075579357	OS	univariate
age_z	548	6.2193676620897005	3.1543861936613946	12.262459870631565	1.3158608475220706e-07	OS	univariate
stage_ord	557	2.0937733433402794	1.5808171369458694	2.7731776881872494	2.5526637614525135e-07	OS	univariate
dm1_z	555	0.8883196634305831	0.45736580570277974	1.725340667356822	0.7266109615762543	DSS	univariate
braf	555	0.4961639354797334	0.12358919781421925	1.9919107432090934	0.32302065270533664	DSS	univariate
ras	555	1.0565982073839828e-07	0.0	inf	0.9961777229580595	DSS	univariate
age_z	542	8.860426773705907	1.8814768968751117	41.726349519675026	0.005790158337642722	DSS	univariate
stage_ord	551	3.0834609975735994	1.9603025634986744	4.850134821324997	1.101885685659708e-06	DSS	univariate
dm1_z	544	1.3265644603928075	1.0304944877684175	1.7076978950058526	0.028301445749267157	PFI	multivariate
braf	544	1.5226181618712464	0.7922758999528193	2.926210512017636	0.20717206816560765	PFI	multivariate
ras	544	2.0905309258402958	0.8165082114381529	5.352450215040756	0.12420913516134444	PFI	multivariate
age_z	544	1.0736280611988354	0.7989899582830604	1.4426679607720525	0.6374334940714574	PFI	multivariate
stage_ord	544	1.4723329001754555	1.1826978442761464	1.8328977087683942	0.0005374764513094863	PFI	multivariate
dm1_z	379	1.413732815896632	1.0440612071438353	1.9142943546485751	0.025170985219913882	DFI	multivariate
braf	379	1.7993069257660246	0.7215587741812327	4.486821488357958	0.2076813204939647	DFI	multivariate
ras	379	4.066305367808607	1.178815353380727	14.026657607443605	0.02639407386613581	DFI	multivariate
age_z	379	0.6807604327841053	0.4259939548077589	1.0878904773508804	0.10788787089418359	DFI	multivariate
stage_ord	379	1.6506681413179174	0.9954525467937436	2.737152385151819	0.05210075091227541	DFI	multivariate
dm1_z	544	0.9389245254804254	0.5678443244366893	1.5525016745094402	0.8059795088725761	OS	multivariate
braf	544	0.7493183973327778	0.26918918280976945	2.085812121871732	0.5806012228757947	OS	multivariate
ras	544	1.0720994830073838	0.18786536542547733	6.118196927153363	0.9375531658729608	OS	multivariate
age_z	544	2.965039126261933	1.8023247690006767	4.8778428679858115	1.8752409019366e-05	OS	multivariate
stage_ord	544	1.4250074322857889	0.9384850930988845	2.1637490003858546	0.09650584596546473	OS	multivariate
dm1_z	538	1.0633024792824237	0.5390508835139927	2.097412687792767	0.8594374913864824	DSS	multivariate
braf	538	0.853868511269115	0.19607470646653802	3.7184369553620176	0.8333164018115355	DSS	multivariate
ras	538	0.6172079033592879	0.06254660124596562	6.090588271472862	0.6795103107664483	DSS	multivariate
age_z	538	1.6566374334583724	0.7939291801521537	3.4567914299479194	0.17860150755067564	DSS	multivariate
stage_ord	538	2.0609595572036654	1.2171861921165694	3.48965041169506	0.007114522152414605	DSS	multivariate
