cancer_type	n	mean_DM1	mean_RAI	mean_NONOV	cor_DM1_NONOV
READ	170	0.025647820231196362	-0.025647820231196362	1.00507837346948e-15	-0.09799371554425293
COAD	492	0.020734465138979773	-0.020734465138979773	-1.5400959640379457e-15	-0.2524789967132761
UCEC	555	0.009894592400307276	-0.009894592400307276	5.56111713235664e-17	-0.09337642489787296
LIHC	426	0.0022908102158990425	-0.0022908102158990425	-0.00410724508397199	-0.174485653691507
STAD	450	0.0009822932795847856	-0.0009822932795847856	0.0007834109249905983	-0.3053468518550059
THCA	572	1.5651815508002207e-15	-1.5651815508002207e-15	4.18468678512559e-15	-0.8916356497807434
BRCA	1215	7.496975148590203e-16	-7.496975148590203e-16	1.6056657603879218e-15	-0.27960652986678985
SARC	265	5.467324706172941e-16	-5.467324706172941e-16	1.0684325541699267e-15	-0.3864312014215963
PAAD	183	5.369111348597069e-16	-5.369111348597069e-16	-5.460113235861426e-16	-0.18878392175304146
LUAD	576	3.903368754763924e-16	-3.903368754763924e-16	-3.710380768061504e-16	-0.2532808112298562
PRAD	550	1.4291598207902016e-16	-1.4291598207902016e-16	-1.241431200262675e-16	-0.4074639399200238
TGCT	139	1.0103828245689374e-16	-1.0103828245689374e-16	-3.2827457778484843e-16	-0.44243320694843785
DLBC	48	7.748431526029738e-17	-7.748431526029738e-17	4.163336342344337e-17	-0.8172880964196239
CHOL	45	4.255854927729767e-17	-4.255854927729767e-17	-5.193376592968788e-16	-0.2363717254868246
UVM	80	4.5102810375396986e-18	-4.5102810375396986e-18	-1.2490009027033011e-17	-0.12221860146650532
UCS	57	-5.0641752000445734e-17	5.0641752000445734e-17	-2.561303995407159e-16	-0.3422493968062674
PCPG	187	-7.035370503640698e-17	7.035370503640698e-17	2.9833533148349793e-16	-0.2338990742992255
KIRC	606	-7.126679151471715e-17	7.126679151471715e-17	3.4120121469668176e-15	-0.32060004645573104
ACC	79	-7.307797124114954e-17	7.307797124114954e-17	9.064479125104126e-17	0.06153634462732203
LAML	173	-8.471065852631252e-17	8.471065852631252e-17	1.9509121357575005e-16	-0.18242973380142052
KIRP	323	-9.074268684242766e-17	9.074268684242766e-17	1.4161358704197044e-16	-0.2040561533751124
THYM	122	-1.724485763659567e-16	1.724485763659567e-16	-1.0601719866297601e-16	-0.22769138324555754
MESO	87	-2.1119759836260162e-16	2.1119759836260162e-16	-1.0719394720518753e-16	-0.3847672161644531
KICH	91	-2.379049338482478e-16	2.379049338482478e-16	-4.392091086429191e-16	-0.38937602734916305
SKCM	473	-2.5267549387082052e-16	2.5267549387082052e-16	-1.7791734728665299e-16	-0.5478519241720112
ESCA	196	-2.7528999488154394e-16	2.7528999488154394e-16	-4.3247718331699335e-16	-0.23139929192288342
BLCA	427	-5.153306873084451e-16	5.153306873084451e-16	5.885872065562524e-16	-0.24456418551366188
CESC	309	-6.651682081800518e-16	6.651682081800518e-16	-1.4310738857870545e-15	-0.2931816242162856
HNSC	566	-7.718600003356874e-16	7.718600003356874e-16	-3.4228607384644845e-16	-0.4651846396021952
LUSC	555	-0.00114720820347904	0.00114720820347904	0.0004720441921162268	-0.3260274217452988
LGG	541	-0.0016078613958972995	0.0016078613958972995	-0.0016729161015752534	-0.3727072121837302
OV	311	-0.004396842074747326	0.004396842074747326	0.003982300685857012	-0.20993278248483918
GBM	172	-0.004435854803296367	0.004435854803296367	-0.002695429202612916	-0.2771993631337106
